frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-42.908726,-50.72945,-62.5727
9.765625,-38.730995,-50.7619,-62.22911
19.53125,-42.095284,-51.520096,-58.007782
29.296875,-42.362404,-48.100952,-55.00689
39.0625,-35.788105,-42.62651,-50.86921
48.828125,-35.58273,-47.535442,-46.507168
58.59375,-33.38091,-45.488316,-46.896713
68.359375,-30.242863,-44.357075,-48.561176
78.125,-26.21917,-40.90128,-47.13159
87.890625,-29.093855,-38.71838,-45.334583
97.65625,-28.295792,-35.36739,-46.012184
107.421875,-22.428026,-35.378967,-40.617226
117.1875,-24.143425,-36.13813,-37.56114
126.953125,-23.804314,-29.39256,-36.887505
136.71875,-19.999107,-26.678062,-29.755058
146.48438,-6.805556,-24.903086,-29.157982
156.25,-9.123334,-19.955854,-24.542826
166.01562,-6.3620834,-18.438494,-20.33517
175.78125,-6.2529755,-14.604373,-16.607204
185.54688,-1.0345441,-7.733,-12.443381
195.3125,-2.3286767,1.3302836,-5.058889
205.07812,1.5640974,-3.2686005,-5.596996
214.84375,-0.8115155,-0.98071444,-6.236746
224.60938,0.32983825,-1.2474608,0.41233632
234.375,-0.06169136,-1.0293378,-0.19231817
244.14062,0.089969516,0.516464,-0.14932862
253.90625,-0.09038879,0.00048352295,-0.6658441
263.67188,-0.15945046,-0.5389713,-0.14469294
273.4375,0.085507244,-0.106151894,0.3203743
283.20312,0.107909255,0.4472921,-0.4098096
292.96875,-0.0049182703,0.20598134,0.5387093
302.73438,-0.06607837,-0.09130866,-0.3587505
312.5,-0.060550142,0.005317862,-0.10015495
322.26562,-0.05398279,0.23140389,0.020583812
332.03125,-0.017147541,0.33629423,0.1454699
341.79688,0.0146438265,0.051863298,-0.1055108
351.5625,0.06971373,0.12734914,-0.13167892
361.32812,0.18178909,0.14728443,-0.20972589
371.09375,0.18101646,-0.00913181,0.0020439925
380.85938,0.05426498,0.094306126,0.251761
390.625,0.043183967,0.07836923,0.19534408
400.39062,0.0387344,0.013882178,0.06076679
410.15625,0.07993653,0.20852828,0.32233116
419.92188,0.066553324,0.3329322,0.62911487
429.6875,0.0611609,0.22906089,0.36321795
439.45312,0.00040690834,0.21638377,-0.08454764
449.21875,0.054795668,0.09083658,-0.16733176
