group_id,sensor,distance_m,rms_pressure_pa
group01,PG1,2.500,0.205591
group01,PG2,1.500,0.244847
group01,PG3,0.500,0.294908
group01,PG4,0.500,0.294911
group01,PG5,1.500,0.225455
group01,PG6,2.500,0.189344
group01,PG7,4.000,0.148203
group01,PG8,5.500,0.118041
group01,PG9,6.500,0.102197
group01,PG10,7.500,0.089225
group01,PG11,8.500,0.072774
group01,PG12,9.500,0.064475
group01,PG13,10.500,0.057329
group01,PG14,11.500,0.051565
group02,PG1,8.500,0.084427
group02,PG2,7.500,0.096353
group02,PG3,6.500,0.110471
group02,PG4,5.500,0.127713
group02,PG5,4.500,0.136919
group02,PG6,3.500,0.160243
group02,PG7,2.000,0.206125
group02,PG8,0.500,0.271119
group02,PG9,0.500,0.271112
group02,PG10,1.500,0.225169
group02,PG11,2.500,0.174929
group02,PG12,3.500,0.148276
group02,PG13,4.500,0.126784
group02,PG14,5.500,0.109210
group03,PG1,11.500,0.058764
group03,PG2,10.500,0.065805
group03,PG3,9.500,0.074287
group03,PG4,8.500,0.084254
group03,PG5,7.500,0.088980
group03,PG6,6.500,0.101949
group03,PG7,5.000,0.126846
group03,PG8,3.500,0.159937
group03,PG9,2.500,0.188883
group03,PG10,1.500,0.224835
group03,PG11,0.500,0.250297
group03,PG12,0.500,0.250319
group03,PG13,1.500,0.207906
group03,PG14,2.500,0.174700
group04,PG1,2.500,0.205400
group04,PG2,1.500,0.244612
group04,PG3,0.500,0.294603
group04,PG4,0.500,0.294638
group04,PG5,1.500,0.225224
group04,PG6,2.500,0.189196
group04,PG7,4.000,0.148121
group04,PG8,5.500,0.117901
group04,PG9,6.500,0.102148
group04,PG10,7.500,0.089099
group04,PG11,8.500,0.072774
group04,PG12,9.500,0.064399
group04,PG13,10.500,0.057323
group04,PG14,11.500,0.051536
