test_type,mix_design,curing_age_days,specimen_id,temperature_c,cooling_regime,compressive_strength_mpa,tensile_strength_mpa,flexural_strength_mpa,modulus_elasticity_mpa,density_kg_m3,upv_m_s,poisson_ratio,mass_loss_percent,spalling_depth_mm,thermal_expansion_coeff,w_c_ratio,cement_content_kg_m3,rubber_content_percent,rubber_size_mm,admixtures,thermal_strain_microstrain,pore_pressure_mpa,generation_timestamp,dataset_version,research_topic
thermal_exposure,control,28,1,23,furnace_cooling,41.37833742660107,2.9900407826291526,5.802217654220035,31424.992849133283,2683.078350303764,4785.48686521579,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,23,furnace_cooling,44.955911617751106,3.123153163975951,5.239418370260738,28781.1089192782,2701.681345871141,4737.957220888811,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,23,furnace_cooling,42.02821009154696,3.3650179465057426,5.414724356223325,28985.295804952846,2606.422319034979,4650.36908430512,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,23,water_quenching,45.881879655991405,3.2870838663441253,4.955060081078472,30417.689887243745,2573.251529900642,4356.976923514464,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,23,water_quenching,42.41360080349123,3.4103521962810244,5.361671934110962,32655.641190509195,2695.455960029707,4647.547317386689,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,23,water_quenching,44.93154165155032,3.0789376668521204,5.190373169283958,29480.41444994375,2667.1040836979187,4545.5177954870605,0.18,0.0,0.0,1e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,200,furnace_cooling,39.839200333577985,3.3150002747688663,4.114755778241947,23042.31082483357,2639.0252074820646,4110.2343693309085,0.18318600000000002,3.54,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,2,200,furnace_cooling,38.935722994339876,2.804231046662683,4.200633256996314,21456.43679179512,2604.3710462412514,4241.211798252203,0.18318600000000002,3.54,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,3,200,furnace_cooling,42.69049943985283,3.12231499756463,5.055723902324807,21464.080790101132,2648.5096697568883,4329.281618874029,0.18318600000000002,3.54,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
thermal_exposure,control,28,1,200,water_quenching,35.96063758051686,1.769888243284468,2.667472999556958,17352.65594292046,2492.5209531905552,3442.67362480309,0.18318600000000002,3.56,0.0,1.0177000000000001e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
