test_type,mix_design,curing_age_days,specimen_id,temperature_c,cooling_regime,compressive_strength_mpa,tensile_strength_mpa,flexural_strength_mpa,modulus_elasticity_mpa,density_kg_m3,upv_m_s,poisson_ratio,mass_loss_percent,spalling_depth_mm,thermal_expansion_coeff,w_c_ratio,cement_content_kg_m3,rubber_content_percent,rubber_size_mm,admixtures,thermal_strain_microstrain,pore_pressure_mpa,generation_timestamp,dataset_version,research_topic
ambient,control,7,1,23,N/A,25.733494022962244,1.8930609464294565,3.0452389218967983,18007.799557843944,2637.589871139663,3942.5951687410984,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,7,2,23,N/A,27.87684137470464,2.102277422434322,2.725730325622604,17037.134443150106,2625.4388622809397,3981.845076082466,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,7,3,23,N/A,25.229085297700752,1.483032263484049,2.366673499901273,15943.335346051437,2596.3199506222754,3996.3492551722343,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,28,1,23,N/A,41.73111332812364,2.9068324454391776,5.9621373598392085,29593.602659124237,2653.57899484846,4296.371774903752,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,28,2,23,N/A,43.04022219170934,3.546587487678144,4.601483339740403,30676.25643302221,2618.1661494343034,4570.0757484135975,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,28,3,23,N/A,42.83385619597417,4.277956837493754,5.192981443136275,28096.12032787938,2693.594880341469,4410.537430857753,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,56,1,23,N/A,48.923189610856575,2.8624897886762923,4.821907110881232,32458.35345215302,2689.138728739757,4926.171582334941,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,56,2,23,N/A,47.673970434807444,3.607372175587016,4.738313764751118,30693.909529540946,2625.586145139131,5042.079557178601,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,control,56,3,23,N/A,49.441932252463374,2.9507987028016798,5.7406413682383,31338.248071478716,2614.123133983784,4978.724637526692,0.18,0.0,0.0,2e-05,0.45,400,0,N/A,None,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
ambient,rubber_5_fine,7,1,23,N/A,26.590443711632922,2.1315652046857787,2.6095038532048926,16031.940950428225,2594.576629888854,4190.610779769247,0.18089999999999998,0.0,0.0,2.015e-05,0.45,400,5,0.5-2mm,SP + AEA,,,2025-10-18 16:51:36.357651,1.0,Development and Validation of a Thermo-Mechanical Model for Fire-Resistant Structural Elements Utilizing High-Performance Rubberized Concrete
