element_id,element_type,element_size,material_id,interface_refinement
1,TETRA10,1.9778081608960336,5,1
2,HEX20,1.4679721195058744,2,4
3,TETRA10,1.5129975178745272,4,2
4,HEX20,2.1204033785679344,4,4
5,TETRA10,1.7550008546276608,3,2
6,HEX20,1.5638356197140504,4,3
7,WEDGE6,1.6667510684002185,1,1
8,WEDGE6,1.9223254982427083,2,3
9,TETRA10,1.6399473250739,1,1
10,HEX8,1.72962892746137,3,3
11,WEDGE6,0.9857985269139353,1,3
12,TETRA4,1.7738966050986882,1,3
13,TETRA4,1.5857364153886542,2,3
14,HEX20,2.172917451547547,2,2
15,HEX8,1.6240836886825007,5,1
16,HEX20,2.572313733231033,1,2
17,TETRA10,1.980847681146424,2,2
18,WEDGE6,1.318827810551506,1,3
19,HEX8,1.1384917795610123,1,2
20,HEX20,1.608321911328264,3,3
21,HEX20,1.6628564103462313,3,1
22,TETRA4,0.9907868002806657,1,2
23,TETRA10,1.623211812464338,3,3
24,HEX20,1.493734233859753,2,1
25,TETRA4,1.751276672926694,1,2
26,HEX8,3.0198367381661435,3,4
27,HEX20,0.999049807751588,2,3
28,TETRA4,2.1889852525865483,1,2
29,TETRA10,1.907321978401253,1,1
30,WEDGE6,1.4203751413745953,3,1
31,HEX8,1.660729661916743,2,4
32,HEX20,2.1685842980652157,1,3
33,TETRA4,1.7046863434642545,1,4
34,HEX20,0.9223633439498384,5,4
35,WEDGE6,1.8392850283347266,1,3
36,HEX20,2.0473921371639596,5,1
37,HEX20,1.4564305317356832,5,1
38,TETRA4,2.1364222375060566,2,2
39,WEDGE6,2.1875979595882584,4,2
40,HEX8,2.439261555222436,5,2
41,TETRA4,2.2276125579360837,2,2
42,WEDGE6,3.5380185195593694,3,3
43,WEDGE6,2.3391628760356395,5,3
44,HEX20,1.7349796317640622,4,2
45,TETRA10,2.096698688482607,3,3
46,TETRA10,1.7151617093097906,5,1
47,HEX8,1.5303502351017442,5,2
48,HEX20,1.2064841521414578,4,1
49,TETRA10,1.5907609980593655,1,1
50,TETRA4,2.156982958695646,4,3
51,HEX8,1.296163014029446,2,1
52,HEX20,1.8696614885757203,2,4
53,TETRA4,1.4906942571389894,4,2
54,TETRA10,1.674722817111814,4,4
55,TETRA10,1.646781345885453,4,1
56,TETRA10,1.775780871116686,4,1
57,TETRA10,3.307562712138187,4,2
58,WEDGE6,1.4349060650364427,5,1
59,HEX8,1.659560468223105,3,4
60,HEX8,1.5735909397459549,2,2
61,TETRA10,1.0699394287376536,2,3
62,HEX8,2.1722048762414063,3,2
63,TETRA4,1.3072159810166293,4,2
64,TETRA4,2.5334382657480434,3,1
65,HEX8,1.3265601280861707,4,3
66,TETRA10,1.8831195570292256,2,2
67,HEX20,2.822340864721325,1,5
68,TETRA10,1.923282203645543,2,1
69,WEDGE6,1.4065986826099217,2,3
