#,DENS [kg/m^3]
Temperature_C,density_kgm3
20.0,2110.098900991518
40.0,2109.964692713837
60.0,2108.990740229669
80.0,2102.6366244195465
100.0,2078.731446425258
120.0,2054.8260760936682
140.0,2048.471311956826
160.0,2047.4960148061443
180.0,2047.359267199665
200.0,2047.3363695186615
220.0,2047.325355372492
240.0,2047.3094627890537
260.0,2047.281133235425
280.0,2047.2298077992916
300.0,2047.1370150054918
320.0,2046.970281091036
340.0,2046.6740241620412
360.0,2046.1579640579298
380.0,2045.2893290947973
400.0,2043.9083427643295
420.0,2041.9002937229764
440.0,2039.3294820939034
460.0,2036.5255569060964
480.0,2033.9547452770241
500.0,2031.9466962356764
520.0,2030.5657099052457
540.0,2029.6970749423906
560.0,2029.1810148403285
580.0,2028.884757926475
600.0,2028.718024123899
620.0,2028.6252321567865
640.0,2028.5739128290897
660.0,2028.5456284110078
680.0,2028.5300693346426
700.0,2028.5215193811218
720.0,2028.5168237635994
740.0,2028.51424575822
760.0,2028.5128306187887
780.0,2028.5120538833967
800.0,2028.5116275747416
