#,CP [J/kg/K]
Temperature_C,specific_heat_jkgk
20.0,850.9175170950878
40.0,871.9501744989795
60.0,1050.7154401909688
80.0,1693.705235885551
100.0,2415.606726019011
120.0,2126.1582013659868
140.0,1310.959003942375
160.0,931.4990937974583
180.0,867.5913322057818
200.0,864.5429031483241
220.0,866.0018652292762
240.0,867.600012610786
260.0,869.2000282107983
280.0,870.8003329181025
300.0,872.4032276234533
320.0,874.0256827655949
340.0,875.7677313139512
360.0,878.0990833309238
380.0,882.7554798669651
400.0,894.6827503922751
420.0,924.328994311265
440.0,986.5621232170994
460.0,1090.7561452535938
480.0,1223.6192276723634
500.0,1341.3775955547549
520.0,1390.0
540.0,1344.577595554755
560.0,1230.0192276723635
580.0,1100.3561452535937
600.0,999.3621232170993
620.0,940.328994311265
640.0,913.8827503922752
660.0,905.1554798669652
680.0,903.6990833309237
700.0,904.5677313139512
720.0,906.0256827655949
740.0,907.6032276234533
760.0,909.2003329180735
780.0,910.8000281841744
800.0,912.4000019583337
