#,EX [Pa]
Temperature_C,elastic_modulus_pa
20.0,59696231361.85335
40.0,59614660466.92347
60.0,59511468889.907684
80.0,59381097856.23572
100.0,59216662638.97171
120.0,59009697880.16561
140.0,58749891308.56927
160.0,58424831110.749954
180.0,58019810144.62495
200.0,57517754454.884476
220.0,56899373035.81264
240.0,56143655625.14647
260.0,55228864257.29642
280.0,54134152383.20286
300.0,52841874407.84583
320.0,51340489979.490906
340.0,49627712005.15456
360.0,47713235095.698975
380.0,45620125599.62364
400.0,43383929781.239975
420.0,41048919684.78537
440.0,38661664706.34313
460.0,36263099936.71887
480.0,33881139371.35954
500.0,31526390278.680744
520.0,29193520737.60435
540.0,26870014108.673622
560.0,24551614593.42332
580.0,22259127380.55419
600.0,20046496794.246883
620.0,17991347196.08955
640.0,16170155772.508883
660.0,14632695131.820946
680.0,13390536828.755852
700.0,12422253676.763107
720.0,11687287754.77919
740.0,11139417231.026493
760.0,10735487988.130487
780.0,10439342157.35485
800.0,10222577007.656216
