#,ALPX [1/K]
Temperature_C,cte_1k
20.0,9.53719073545905e-06
40.0,9.555730456331317e-06
60.0,9.596861496829462e-06
80.0,9.759528566440793e-06
100.0,1.0307817279779277e-05
120.0,1.0885237389901061e-05
140.0,1.114002213444257e-05
160.0,1.1336498713426985e-05
180.0,1.154163607762801e-05
200.0,1.1738027284303753e-05
220.0,1.1925225063418332e-05
240.0,1.2109919154872725e-05
260.0,1.2295745102751877e-05
280.0,1.2485826984207981e-05
300.0,1.267771677363629e-05
320.0,1.2870290441966051e-05
340.0,1.3071183158552367e-05
360.0,1.3288466468309077e-05
380.0,1.3527308050399957e-05
400.0,1.3790579225588436e-05
420.0,1.4078269814251904e-05
440.0,1.4385163109286162e-05
460.0,1.4699421289829852e-05
480.0,1.500588853788633e-05
500.0,1.5292559303366684e-05
520.0,1.555380441896009e-05
540.0,1.5788752478219778e-05
560.0,1.5998495605661848e-05
580.0,1.6184533290053586e-05
600.0,1.634835789015303e-05
620.0,1.649148082906059e-05
640.0,1.661550630520837e-05
660.0,1.672214506282765e-05
680.0,1.6813175565638873e-05
700.0,1.689038261589608e-05
720.0,1.6955496488448687e-05
740.0,1.7010144504092718e-05
760.0,1.705581874544989e-05
780.0,1.709385898324796e-05
800.0,1.7125447859299915e-05
