#,DENS [kg/m^3]
Temperature_C,density_kgm3
20.0,1877.519485866683
40.0,1877.257341788722
60.0,1875.9886657774678
80.0,1869.1587582136149
100.0,1844.6261516541663
120.0,1816.3207148824993
140.0,1797.1529358656826
160.0,1775.6655537546733
180.0,1754.9323917461384
200.0,1741.5021088910948
220.0,1734.8776783123985
240.0,1731.5679192386274
260.0,1728.7738826576626
280.0,1725.1607455988599
300.0,1721.7464894748464
320.0,1719.780547073402
340.0,1718.818019691215
360.0,1718.119094384175
380.0,1717.2528272816319
400.0,1715.96568526016
420.0,1714.1187477859314
440.0,1711.7605765849728
460.0,1709.1901387091175
480.0,1706.8337744968717
500.0,1704.9933177271341
520.0,1703.72761060198
540.0,1702.9314914501756
560.0,1702.458514880735
580.0,1702.1869915671123
600.0,1702.0341780015444
620.0,1701.9491330712094
640.0,1701.902098315674
660.0,1701.876175324314
680.0,1701.8619152548392
700.0,1701.8540791261312
720.0,1701.8497755399103
740.0,1701.8474127690556
760.0,1701.8461157779032
780.0,1701.8454038912137
800.0,1701.8450131745572
