#,EX [Pa]
Temperature_C,elastic_modulus_pa
20.0,48120720727.64361
40.0,48040911930.049576
60.0,47934831395.61576
80.0,47792699866.03433
100.0,47600927499.708176
120.0,47341154378.83674
140.0,46990060085.518875
160.0,46521417125.432365
180.0,45912209426.2182
200.0,45152619415.040436
220.0,44253948184.99329
240.0,43244521068.00446
260.0,42152076532.89003
280.0,40986661190.35604
300.0,39737996463.40901
320.0,38385620167.20118
340.0,36911469982.32459
360.0,35308360226.91738
380.0,33583360020.92838
400.0,31757098390.042477
420.0,29859982602.950356
440.0,27926192435.00566
460.0,25986629843.806866
480.0,24062502724.30503
500.0,22161565968.867615
520.0,20279031468.19526
540.0,18404507794.275833
560.0,16534382073.83346
580.0,14685323053.998526
600.0,12900767984.872509
620.0,11243277306.03064
640.0,9774502214.01069
660.0,8534567403.3698845
680.0,7532795830.815279
700.0,6751901864.508374
720.0,6159173869.252919
740.0,5717333803.766714
760.0,5391578406.547354
780.0,5152747086.818731
800.0,4977933748.4156885
