cycle,material,critical_strain_threshold,measured_strain,strain_ratio,crack_probability,crack_detected,crack_length_um,crack_opening_um
1,YSZ,0.002,0.00043032668422633496,0.21516334211316748,0.0,False,0.0,0.0
1,Ni-YSZ,0.0025,-0.00025744499013123125,-0.1029779960524925,0.0,False,0.0,0.0
1,GDC,0.0018,0.00012603055092194325,0.07001697273441292,0.0,False,0.0,0.0
1,LSM,0.0022,-8.995336036759277e-05,-0.040887891076178524,0.0,False,0.0,0.0
2,YSZ,0.002,0.00030123313738539503,0.15061656869269752,0.0,False,0.0,0.0
2,Ni-YSZ,0.0025,0.0004529676873531702,0.18118707494126807,0.0,False,0.0,0.0
2,GDC,0.0018,0.00021341060360845953,0.11856144644914418,0.0,False,0.0,0.0
2,LSM,0.0022,0.00046433753658883564,0.21106251663128892,0.0,False,0.0,0.0
3,YSZ,0.002,0.0008485326067557727,0.42426630337788634,0.0,False,0.0,0.0
3,Ni-YSZ,0.0025,0.0005192063811838946,0.20768255247355782,0.0,False,0.0,0.0
3,GDC,0.0018,0.0003757461226034458,0.20874784589080322,0.0,False,0.0,0.0
3,LSM,0.0022,0.0005979503698877042,0.2717956226762292,0.0,False,0.0,0.0
4,YSZ,0.002,0.0011215798431041966,0.5607899215520983,0.0,False,0.0,0.0
4,Ni-YSZ,0.0025,0.0007089984307862391,0.2835993723144956,0.0,False,0.0,0.0
4,GDC,0.0018,0.0006709741097827115,0.3727633943237286,0.0,False,0.0,0.0
4,LSM,0.0022,0.0010108369847822707,0.4594713567192139,0.0,False,0.0,0.0
5,YSZ,0.002,0.0008090322256889977,0.40451611284449884,0.0,False,0.0,0.0
5,Ni-YSZ,0.0025,0.0007592938627610363,0.3037175451044145,0.0,False,0.0,0.0
5,GDC,0.0018,0.00048718568936227343,0.27065871631237415,0.0,False,0.0,0.0
5,LSM,0.0022,0.0012632831704781117,0.5742196229445962,0.0,False,0.0,0.0
6,YSZ,0.002,0.0010403916400028507,0.5201958200014254,0.0,False,0.0,0.0
6,Ni-YSZ,0.0025,0.001311664487601517,0.5246657950406068,0.0,False,0.0,0.0
6,GDC,0.0018,0.0007175415055225139,0.3986341697347299,0.0,False,0.0,0.0
6,LSM,0.0022,0.001086946827741719,0.4940667398825995,0.0,False,0.0,0.0
7,YSZ,0.002,0.000826145068121095,0.4130725340605475,0.0,False,0.0,0.0
7,Ni-YSZ,0.0025,0.001407717896070936,0.5630871584283743,0.0,False,0.0,0.0
7,GDC,0.0018,0.000631074131544969,0.35059673974720496,0.0,False,0.0,0.0
7,LSM,0.0022,0.0009328877123886021,0.4240398692675464,0.0,False,0.0,0.0
8,YSZ,0.002,0.0010843234262963384,0.5421617131481692,0.0,False,0.0,0.0
8,Ni-YSZ,0.0025,0.0016907900852479157,0.6763160340991663,0.0,False,0.0,0.0
8,GDC,0.0018,0.0009512908523129374,0.528494917951632,0.0,False,0.0,0.0
8,LSM,0.0022,0.001615953972698996,0.7345245330449982,0.0,False,0.0,0.0
9,YSZ,0.002,0.0014808576856856776,0.7404288428428388,0.0,False,0.0,0.0
9,Ni-YSZ,0.0025,0.00169172523224417,0.6766900928976679,0.0,False,0.0,0.0
