cycle,temperature_C,material,d_spacing_A,d0_spacing_A,lattice_strain,thermal_strain,mechanical_strain,measurement_error
1,600.0,YSZ,2.9758148300669167,2.958,0.006022592990843902,0.0060374999999999995,-2.0770987785489542e-05,5.863978629391982e-06
1,600.0,NiO,2.431322200287616,2.412,0.008010862474135986,0.0081075,-9.410500555202352e-05,-2.5325203119909434e-06
1,600.0,Ni,2.0496198619709056,2.034,0.007679381499953542,0.0076475,2.8169307853613845e-05,3.7121920999283117e-06
1,600.0,GDC,3.146567651564152,3.124,0.007223960167782479,0.0071875,4.867941442767626e-05,-1.2219246645198134e-05
1,621.0526315789474,YSZ,2.976514313884395,2.958,0.0062590648696398575,0.006258552631578948,-4.232071232727524e-06,4.744309293637679e-06
1,621.0526315789474,NiO,2.4324690119970334,2.412,0.008486323381854528,0.008404342105263158,6.610539269295516e-05,1.5875883898414794e-05
1,621.0526315789474,Ni,2.050187326429862,2.034,0.007958370909470104,0.0079275,4.6899098275552334e-05,-1.6028188805448235e-05
1,621.0526315789474,GDC,3.147361445525717,3.124,0.007478055546004014,0.007450657894736843,4.4580012879484104e-05,-1.7182361612313145e-05
1,642.1052631578948,YSZ,2.9764821336144798,2.958,0.006248185806112147,0.006479605263157895,-0.0002149360048866404,-1.6483452159107327e-05
1,642.1052631578948,NiO,2.432878398251778,2.412,0.00865605234319165,0.008701184210526318,-4.4245401354599574e-05,-8.864659800690566e-07
1,642.1052631578948,Ni,2.0510817493733042,2.034,0.008398106869864513,0.008207500000000001,0.0001883415907091723,2.2652791553390283e-06
1,642.1052631578948,GDC,3.1479958485912882,3.124,0.00768112951065553,0.007713815789473685,-3.360908442486935e-05,9.228056067145732e-07
1,663.1578947368421,YSZ,2.9777779256259365,2.958,0.0066862493664423366,0.0067006578947368415,-6.409289815508657e-06,-7.999238478995953e-06
1,663.1578947368421,NiO,2.4338051207940383,2.412,0.009040265669170116,0.008998026315789474,5.5223215131058966e-05,-1.298386175041695e-05
1,663.1578947368421,Ni,2.0509540422523815,2.034,0.008335320674720611,0.0084875,-0.00013732057433617174,-1.485875094321687e-05
1,663.1578947368421,GDC,3.149002949299441,3.124,0.008003504897388334,0.007976973684210527,2.5178009287727246e-05,1.3532038900792437e-06
1,684.2105263157895,YSZ,2.9780567615374265,2.958,0.006780514380468581,0.006921710526315789,-0.0001246339467782396,-1.6562199068968254e-05
1,684.2105263157895,NiO,2.434114216246358,2.412,0.009168414695836657,0.009294868421052632,-0.0001258035053959564,-6.502198200177001e-07
1,684.2105263157895,Ni,2.0515445009242046,2.034,0.008625615006983653,0.0087675,-0.0001267511964430472,-1.513379657329915e-05
1,684.2105263157895,GDC,3.149404876316599,3.124,0.008132162713379848,0.008240131578947369,-0.00010310232623796854,-4.866539329552444e-06
1,705.2631578947369,YSZ,2.9789958843893647,2.958,0.007098000131630904,0.007142763157894737,-4.1506608386538093e-05,-3.2564178772944916e-06
1,705.2631578947369,NiO,2.4355743694046237,2.412,0.009773784993625018,0.009591710526315791,0.0001783586926431169,3.715774666110394e-06
1,705.2631578947369,Ni,2.052102294034865,2.034,0.008899849574663377,0.0090475,-0.00014501154381711136,-2.638881519511152e-06
1,705.2631578947369,GDC,3.1509551502265807,3.124,0.008628409163438176,0.00850328947368421,0.00012797968932690135,-2.8599995729357286e-06
1,726.3157894736842,YSZ,2.9800902189542935,2.958,0.007467957726265582,0.007363815789473684,0.00010869462796911036,-4.5526911772115e-06
1,726.3157894736842,NiO,2.435799703432229,2.412,0.009867207061454992,0.009888552631578947,-3.157170761531345e-05,1.0226137491357173e-05
1,726.3157894736842,Ni,2.0533222738311525,2.034,0.009499642984834085,0.009327499999999999,0.00016181823260343523,1.0324752230650089e-05
1,726.3157894736842,GDC,3.1510712677688346,3.124,0.008665578671201669,0.008766447368421052,-8.383539032053197e-05,-1.703330689885145e-05
1,747.3684210526316,YSZ,2.980702239214834,2.958,0.0076748611273948185,0.007584868421052631,9.624645865810192e-05,-6.253752315914761e-06
1,747.3684210526316,NiO,2.436371984895558,2.412,0.01010447134973387,0.010185394736842105,-9.734338487457535e-05,1.641999776634019e-05
1,747.3684210526316,Ni,2.0539425539043923,2.034,0.009804598773054363,0.0096075,0.0002025655668370634,-5.466793782700138e-06
1,747.3684210526316,GDC,3.15217342121611,3.124,0.009018380670969847,0.009029605263157894,-1.3907757894501392e-05,2.683165706453619e-06
1,768.421052631579,YSZ,2.9813391829185196,2.958,0.007890190303759054,0.007805921052631578,7.933798297713311e-05,4.931268150343629e-06
1,768.421052631579,NiO,2.4373739168068367,2.412,0.01051986600615121,0.010482236842105263,2.1868958403351132e-05,1.576020564259678e-05
1,768.421052631579,Ni,2.054290257619324,2.034,0.009975544552273657,0.0098875,8.431156875247924e-05,3.7329835211770412e-06
1,768.421052631579,GDC,3.152718662254821,3.124,0.00919291365391193,0.009292763157894738,-0.00010170667104563593,1.857167062828055e-06
1,789.4736842105264,YSZ,2.9817074230028036,2.958,0.00801467985219853,0.008026973684210527,-3.3398851748966467e-07,-1.1959843494505767e-05
1,789.4736842105264,NiO,2.4384585089159443,2.412,0.010969531059678477,0.010779078947368423,0.00018955373698389003,8.983753261634225e-07
1,789.4736842105264,Ni,2.0543287738953855,2.034,0.0099944807745259,0.010167500000000001,-0.00015430742675727572,-1.87117987168247e-05
1,789.4736842105264,GDC,3.1539187006633713,3.124,0.009577048867916644,0.00955592105263158,1.695123675732409e-05,4.1765785277411704e-06
1,810.5263157894738,YSZ,2.982575953209094,2.958,0.00830830061159353,0.008248026315789475,4.696381233336589e-05,1.3310483470689582e-05
1,810.5263157894738,NiO,2.438970867815797,2.412,0.011181951830761558,0.01107592105263158,0.00010133620850783481,4.694569622142389e-06
