position_um,material,psi_deg,sin2_psi,strain,d_spacing_A,two_theta_deg,peak_shift_deg,calculated_stress_MPa,measurement_quality
0.0,YSZ,0,0.0,4.2551945925015547e-07,2.9580012586865605,30.189059498115732,-1.3151716874659769e-05,-0.0,excellent
0.0,YSZ,15,0.06698729810778066,-5.537813745379458e-07,2.957998361914694,30.18908976581422,1.7115981613358144e-05,-0.0,excellent
0.0,YSZ,30,0.24999999999999994,-6.996476938113123e-07,2.957997930442122,30.189094274176483,2.16243438764252e-05,-0.0,fair
0.0,YSZ,45,0.4999999999999999,-8.870905636273533e-07,2.9579973759861127,30.189100067567693,2.7417735086743278e-05,-0.0,good
0.0,YSZ,60,0.7499999999999999,-2.616916743737929e-07,2.9579992259160277,30.189080738057918,8.088225310842745e-06,-0.0,good
0.0,YSZ,75,0.9330127018922194,-3.0693396439477086e-07,2.9579990920893335,30.189082136382694,9.486550087700607e-06,-0.0,good
0.0,Ni,0,0.0,1.4801333841772317e-06,2.034003010591303,44.50776547775435,-6.940303374136647e-05,-0.0,excellent
0.0,Ni,15,0.06698729810778066,-1.3456773211972436e-06,2.033997262892328,44.50789797940849,6.309862040154712e-05,-0.0,fair
0.0,Ni,30,0.24999999999999994,-1.6311965867745862e-07,2.033999668214614,44.507842529436154,7.648648065128327e-06,-0.0,excellent
0.0,Ni,45,0.4999999999999999,4.4358915269243393e-07,2.0340009022603365,44.50781408099542,-2.0799792665116e-05,-0.0,excellent
0.0,Ni,60,0.7499999999999999,1.073625117495649e-06,2.034002183753489,44.50778453878926,-5.034199882913981e-05,-0.0,fair
0.0,Ni,75,0.9330127018922194,-8.609311961505306e-07,2.033998248865947,44.50787524970963,4.036892153891358e-05,-0.0,good
66.66666666666667,YSZ,0,0.0,0.00018180302058067553,2.9585377733348777,30.183454640043934,-0.005618009788673106,-61.83698030697371,fair
66.66666666666667,YSZ,15,0.06698729810778066,0.00015671422342889693,2.958463560672903,30.184229798889845,-0.004842850942761601,-61.83698030697371,good
66.66666666666667,YSZ,30,0.24999999999999994,8.518117598149314e-05,2.9582519659185533,30.186440149037644,-0.002632500794963022,-61.83698030697371,fair
66.66666666666667,YSZ,45,0.4999999999999999,-9.289152820759128e-06,2.9579725226859566,30.189359756650546,0.00028710681793953086,-61.83698030697371,good
66.66666666666667,YSZ,60,0.7499999999999999,-0.00010886121179815475,2.957677988535501,30.192437652259933,0.0033650024273264023,-61.83698030697371,good
66.66666666666667,YSZ,75,0.9330127018922194,-0.00017886000840474004,2.957470932095139,30.194601782045623,0.005529132213016652,-61.83698030697371,good
66.66666666666667,Ni,0,0.0,0.0001925736532624233,2.0343916948107355,44.498807026491995,-0.009027854296093096,-61.83698030697371,good
