plate_id,edge_crack_risk,max_edge_stress,delamination_risk,thermal_shock_risk,overall_failure_risk,measurement_snr,stress_uniformity,edge_quality
SOFC_0001,0,43951538.28570976,0.0767145960080974,0.023638908889740406,0.03010605146935134,4.30981856459862,0.7688091856270926,1.0
SOFC_0002,0,40652146.67818773,0.03533648393545524,0.07940287760015725,0.034421808460683746,3.9217165046868336,0.7321904058047628,1.0
SOFC_0003,0,36610069.49726377,0.07917469559512616,0.12697173170833084,0.061843928191037095,3.9554498106822464,0.7929844551409984,1.0
SOFC_0004,0,36344334.0644712,0.08220159000846605,0.07039258530582315,0.045778252594286764,3.9307782808078446,0.7795074006338485,1.0
SOFC_0005,0,46394845.72516459,0.04613980618289875,0.01940748514320001,0.019664187397829627,4.552925722615159,0.7792867738974737,1.0
SOFC_0006,0,40478825.8115356,0.04033426036982669,0.1969738282313457,0.07119242658035171,4.293986612098263,0.7625192415781435,1.0
SOFC_0007,0,39922329.64140476,0.06913875082557744,0.16266286851818856,0.0695404858031298,4.349829576569143,0.7812781806926417,1.0
SOFC_0008,0,37640700.615679085,0.06724147516902404,0.07608738088776024,0.04299865681703528,3.9253850955146654,0.7781799923164132,1.0
SOFC_0009,0,43563993.42920209,0.087221196563537,0.06634375055898752,0.04606948413675735,4.1056672405288035,0.7491999343253797,1.0
SOFC_0010,0,39294224.79065978,0.07196721519562198,0.058670573475823495,0.03919133660143364,3.762205273695486,0.7307723759420832,1.0
SOFC_0011,0,42123724.65331865,0.04276339035403449,0.0921385242187683,0.04047057437184083,4.094778799093885,0.7820295614984105,1.0
SOFC_0012,0,42797335.17134132,0.05929892365695007,0.02120840753225761,0.024152199356762303,4.157389590234805,0.7667402164891984,1.0
SOFC_0013,0,45716744.496698976,0.06146823439144824,0.0038487055338765064,0.019595081977597423,4.507188843372831,0.794966642428037,1.0
SOFC_0014,0,43046988.986918665,0.06533817296208365,0.04960836052063655,0.03448396004481606,4.188886172977059,0.7612326574894146,1.0
SOFC_0015,0,41890104.146214224,0.05569035204907454,0.10666115731321879,0.048705452808688,4.066815683726627,0.7724693401652541,1.0
SOFC_0016,0,45475775.8473911,0.05436940423633143,0.12920123079593124,0.05507119050967879,4.964545218273172,0.809913530273248,1.0
SOFC_0017,0,44898779.64735951,0.05117254835206527,0.011523646949752608,0.018808858590545364,4.3863511589664865,0.7781933931395832,1.0
SOFC_0018,0,36176770.650233924,0.03457076699670563,0.12257720156633445,0.04714439056891202,3.8591810675202076,0.7202167810575306,1.0
SOFC_0019,0,38531424.20527151,0.04278440914800923,0.06654678053588443,0.0327993569051681,4.087818343521123,0.8092330061582932,1.0
SOFC_0020,0,45218797.264498055,0.044844882959465884,0.014201849206012973,0.017714019649643656,4.429438327264485,0.7807141801872384,1.0
SOFC_0021,0,48947476.873435855,0.049368476718294245,0.18444970515139802,0.07014545456090768,4.844968377097211,0.7853957320977181,1.0
SOFC_0022,0,44200993.686465345,0.07019990603431572,0.04616267701405855,0.03490877491451228,4.312959951854297,0.7783958557779437,1.0
SOFC_0023,0,42704364.387546316,0.0612695134343218,0.1476024319031747,0.06266158360124895,4.540535780403616,0.7771850176043509,1.0
SOFC_0024,0,37928052.98831274,0.04627787233854779,0.004296672927191751,0.015172363579721862,4.105313442866688,0.8159147351249587,1.0
