Sample_ID,Rho,Gc_YSZ_GDC,Gc_GDC_LSCF,R_system
1,0.0,3.9445,1.9952,5.9397
2,0.0,4.2547,2.9534,7.2081
3,0.0,2.6892,1.8942,4.5834
4,0.0,3.8278,2.3026,6.1304
5,0.0,3.7349,2.0704,5.8053
6,0.0,4.3489,2.8597,7.2086
7,0.0,3.7878,3.0646,6.8525
8,0.0,4.0551,2.0678,6.1229
9,0.0,3.9877,2.0275,6.0151
10,0.0,4.3482,2.4273,6.7755
11,0.0,3.6298,2.1422,5.772
12,0.0,4.6098,2.3776,6.9874
13,0.0,3.4828,2.2863,5.7691
14,0.0,4.1,2.6354,6.7354
15,0.0,4.0175,2.6698,6.6873
16,0.0,5.3886,2.2619,7.6504
17,0.0,3.4335,2.0866,5.5201
18,0.0,4.1586,3.0657,7.2243
19,0.0,3.6738,2.0757,5.7495
20,0.0,3.2562,2.7886,6.0448
21,0.0,4.2495,2.7299,6.9794
22,0.0,3.3453,2.5668,5.9121
23,0.0,3.8206,2.56,6.3805
24,0.0,4.343,2.5624,6.9055
25,0.0,4.2033,2.4845,6.6878
26,0.0,3.9341,2.7779,6.712
27,0.0,2.9245,2.3011,5.2256
28,0.0,3.458,2.1601,5.6181
29,0.0,3.5746,3.2961,6.8707
30,0.0,3.2334,2.9696,6.2031
31,0.0,2.8145,2.2941,5.1087
32,0.0,3.8506,2.7532,6.6038
33,0.0,4.2265,2.8685,7.095
34,0.0,3.5302,2.237,5.7672
35,0.0,4.3331,2.3603,6.6934
36,0.0,3.016,1.9586,4.9747
37,0.0,3.2041,2.7051,5.9092
38,0.0,3.8373,2.8107,6.648
39,0.0,3.4835,2.5296,6.0131
40,0.0,4.1654,2.3058,6.4712
41,0.0,4.0477,2.1503,6.198
42,0.0,3.5216,2.273,5.7946
43,0.0,3.0572,2.6996,5.7569
44,0.0,3.4586,2.4575,5.9161
45,0.0,4.0642,2.6781,6.7423
46,0.0,4.1937,2.4041,6.5978
47,0.0,3.4858,2.4131,5.8988
48,0.0,2.8124,1.8406,4.653
49,0.0,2.9921,2.0121,5.0042
50,0.0,4.0087,2.049,6.0577
51,0.0,3.5126,3.1708,6.6834
52,0.0,3.5257,2.837,6.3627
53,0.0,3.1964,2.3537,5.5501
54,0.0,3.1875,2.2923,5.4798
55,0.0,4.3201,1.7412,6.0614
56,0.0,4.0324,2.5696,6.602
57,0.0,3.3861,1.841,5.2271
58,0.0,3.7918,2.2074,5.9992
59,0.0,3.8966,2.4621,6.3586
60,0.0,4.9165,2.338,7.2545
61,0.0,3.148,2.5401,5.6881
62,0.0,3.8882,3.2087,7.0969
63,0.0,4.3163,2.631,6.9473
64,0.0,4.8022,1.9372,6.7395
65,0.0,3.36,2.0405,5.4005
66,0.0,3.5057,1.8665,5.3721
67,0.0,4.1722,2.3459,6.5181
68,0.0,2.9177,2.0048,4.9226
69,0.0,3.9504,2.8941,6.8445
70,0.0,5.2576,4.3656,9.6231
71,0.0,4.0187,2.0152,6.0339
72,0.0,2.6078,2.5849,5.1928
73,0.0,3.2626,2.2579,5.5205
74,0.0,3.3758,2.384,5.7599
75,0.0,4.4889,2.5289,7.0178
76,0.0,3.646,1.9969,5.6429
77,0.0,2.8184,2.2264,5.0448
78,0.0,3.7115,3.4792,7.1908
79,0.0,3.8294,2.9782,6.8075
80,0.0,3.4411,1.9387,5.3798
81,0.0,3.1794,2.1235,5.3029
82,0.0,5.3765,2.0834,7.4599
83,0.0,4.3188,2.05,6.3688
84,0.0,4.3876,2.6457,7.0332
85,0.0,3.6473,2.4317,6.079
86,0.0,3.3514,2.6779,6.0293
87,0.0,3.4671,1.9231,5.3902
88,0.0,3.0149,2.5367,5.5516
89,0.0,4.8976,2.5304,7.428
90,0.0,3.6709,2.5942,6.2651
91,0.0,4.6756,2.5603,7.236
92,0.0,3.4931,3.0519,6.5451
93,0.0,4.0285,3.3229,7.3514
94,0.0,3.864,1.9236,5.7876
95,0.0,2.969,3.3995,6.3686
96,0.0,5.0193,2.3658,7.3852
97,0.0,3.5096,3.2743,6.7839
98,0.0,3.1037,2.0534,5.157
99,0.0,4.178,2.2672,6.4452
100,0.0,3.7423,2.3734,6.1157
101,0.0,3.9666,3.2395,7.2061
102,0.0,3.8037,2.7849,6.5886
103,0.0,2.6443,2.4279,5.0722
104,0.0,3.2459,1.9257,5.1716
105,0.0,3.2267,2.2945,5.5212
106,0.0,4.3759,1.8851,6.2611
107,0.0,3.7651,2.2273,5.9924
108,0.0,3.5429,2.99,6.5329
109,0.0,4.104,3.1949,7.2989
110,0.0,3.6486,2.1358,5.7844
111,0.0,3.6059,2.5721,6.1779
112,0.0,3.8596,1.9777,5.8373
113,0.0,3.8036,2.5648,6.3684
114,0.0,5.7437,3.5551,9.2988
115,0.0,3.2404,2.3158,5.5562
116,0.0,2.9214,2.1808,5.1022
117,0.0,3.9518,3.1127,7.0645
118,0.0,3.3094,2.1536,5.463
119,0.0,2.6011,2.3737,4.9748
120,0.0,3.1273,2.2074,5.3347
121,0.0,3.2274,2.4061,5.6335
122,0.0,2.779,1.8333,4.6123
123,0.0,5.3772,1.8997,7.277
124,0.0,3.1091,3.5271,6.6361
125,0.0,6.1345,1.9438,8.0783
126,0.0,3.5185,2.623,6.1415
127,0.0,5.0236,2.0163,7.0399
128,0.0,3.5928,2.8594,6.4522
129,0.0,4.0326,2.2755,6.3081
130,0.0,3.6614,1.8671,5.5285
131,0.0,3.5971,2.3255,5.9226
132,0.0,3.8962,2.1961,6.0924
133,0.0,4.0579,2.9959,7.0538
134,0.0,3.8458,2.6283,6.4741
135,0.0,3.7796,2.4515,6.2311
