Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,Gc_YSZ_GDC_800C,Gc_GDC_LSCF_800C,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime,HT_scaling_factor,sigma_HT_assumed_equal_RT
1,3.7354,1.7834,3.7354,1.7834,168.5,176.16,102.41,11.042,13.364,16.901,564.1,220.7,351.46,0.0,0.0,0.0,800C,0.72,True
2,2.8737,2.3642,2.8737,2.3642,192.01,183.68,87.01,11.226,13.693,16.349,552.1,261.51,269.33,0.0,0.0,0.0,800C,0.72,True
3,3.229,2.0309,3.229,2.0309,199.69,163.28,94.7,11.002,13.443,17.354,556.0,271.03,355.08,0.0,0.0,0.0,800C,0.72,True
4,2.4356,1.3137,2.4356,1.3137,191.22,174.06,87.01,11.195,13.23,16.93,549.7,213.93,354.03,0.0,0.0,0.0,800C,0.72,True
5,2.9072,1.5084,2.9072,1.5084,199.62,170.74,87.66,11.31,13.492,15.518,549.9,239.46,190.22,0.0,0.0,0.0,800C,0.72,True
6,3.2313,1.8372,3.2313,1.8372,179.62,166.58,106.92,10.811,13.423,17.192,539.2,252.9,338.52,0.0,0.0,0.0,800C,0.72,True
7,2.2354,1.8657,2.2354,1.8657,185.91,170.38,106.23,10.792,12.154,15.837,539.3,136.55,338.43,0.0,0.0,0.0,800C,0.72,True
8,3.1431,1.8203,3.1431,1.8203,178.92,165.49,101.54,11.05,13.275,16.439,549.0,218.54,287.45,0.0,0.0,0.0,800C,0.72,True
9,2.2159,1.8629,2.2159,1.8629,185.5,168.28,110.98,11.634,13.188,16.655,570.4,164.39,332.77,0.0,0.0,0.0,800C,0.72,True
10,2.8942,2.1714,2.8942,2.1714,185.37,162.88,107.22,11.099,13.509,15.912,552.9,246.98,216.47,0.0,0.0,0.0,800C,0.72,True
11,3.1526,1.3539,3.1526,1.3539,165.11,170.29,103.44,10.647,12.591,17.23,570.8,183.26,450.85,0.0,0.0,0.0,800C,0.72,True
12,2.3689,2.0457,2.3689,2.0457,163.9,182.64,84.07,10.909,13.59,17.286,545.0,239.47,367.97,0.0,0.0,0.0,800C,0.72,True
13,1.7883,2.1437,1.7883,2.1437,184.33,181.91,89.15,11.588,13.674,16.729,561.6,216.02,312.04,0.0,0.0,0.0,800C,0.72,True
14,2.1866,1.5459,2.1866,1.5459,198.97,169.08,99.9,10.868,12.859,16.6,555.0,219.92,351.08,0.0,0.0,0.0,800C,0.72,True
15,3.7331,1.7041,3.7331,1.7041,204.74,167.72,98.02,10.962,12.844,15.909,545.1,210.02,280.26,0.0,0.0,0.0,800C,0.72,True
16,2.4801,1.8726,2.4801,1.8726,196.37,166.32,82.34,11.022,13.529,17.116,560.1,275.73,334.12,0.0,0.0,0.0,800C,0.72,True
17,2.604,1.4623,2.604,1.4623,190.25,174.12,75.71,10.855,12.725,16.332,550.7,195.98,345.87,0.0,0.0,0.0,800C,0.72,True
18,2.8224,3.1056,2.8224,3.1056,172.44,152.99,88.85,10.91,13.07,17.145,538.1,200.43,335.43,0.0,0.0,0.0,800C,0.72,True
19,3.302,1.9543,3.302,1.9543,185.63,181.98,92.84,11.281,12.902,16.835,559.3,168.34,400.32,0.0,0.0,0.0,800C,0.72,True
20,2.8273,2.1557,2.8273,2.1557,183.44,160.45,81.19,11.099,13.35,16.235,541.3,223.56,250.54,0.0,0.0,0.0,800C,0.72,True
21,3.0811,1.3731,3.0811,1.3731,179.99,165.09,90.06,11.401,13.266,16.639,548.8,184.2,305.65,0.0,0.0,0.0,800C,0.72,True
22,2.9977,1.7592,2.9977,1.7592,204.67,157.98,96.99,10.792,13.272,16.54,534.6,271.41,276.01,0.0,0.0,0.0,800C,0.72,True
23,3.9793,1.6373,3.9793,1.6373,187.16,157.81,93.35,10.867,13.465,16.791,555.6,270.16,291.65,0.0,0.0,0.0,800C,0.72,True
24,3.5693,1.2656,3.5693,1.2656,199.93,143.73,100.49,11.411,13.867,16.054,554.2,272.12,174.24,0.0,0.0,0.0,800C,0.72,True
