Scenario,Rho,Temperature,J_applied_Jm2,P_failure,P_failure_95CI_lower,P_failure_95CI_upper,N_samples
rho0.00_RT,0.0,RT,1.0,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,1.25,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,1.5,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,1.75,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,2.0,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,2.25,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,2.5,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,2.75,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,3.0,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,3.25,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,3.5,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,3.75,0.0,0.0,0.0,10000
rho0.00_RT,0.0,RT,4.0,0.0001,0.0,0.000296,10000
rho0.00_RT,0.0,RT,4.25,0.001,0.000381,0.001619,10000
rho0.00_RT,0.0,RT,4.5,0.0057,0.004224,0.007176,10000
rho0.00_RT,0.0,RT,4.75,0.0174,0.014837,0.019963,10000
rho0.00_RT,0.0,RT,5.0,0.0428,0.038833,0.046767,10000
rho0.00_RT,0.0,RT,5.25,0.0899,0.084294,0.095506,10000
rho0.00_RT,0.0,RT,5.5,0.165,0.157725,0.172275,10000
rho0.00_RT,0.0,RT,5.75,0.2674,0.258725,0.276075,10000
rho0.00_RT,0.0,RT,6.0,0.3791,0.369591,0.388609,10000
rho0.00_RT,0.0,RT,6.25,0.4951,0.4853,0.5049,10000
rho0.00_RT,0.0,RT,6.5,0.6136,0.604056,0.623144,10000
rho0.00_RT,0.0,RT,6.75,0.7187,0.709887,0.727513,10000
rho0.00_RT,0.0,RT,7.0,0.8038,0.796016,0.811584,10000
rho0.00_RT,0.0,RT,7.25,0.8706,0.864021,0.877179,10000
rho0.00_RT,0.0,RT,7.5,0.9153,0.909843,0.920757,10000
rho0.00_RT,0.0,RT,7.75,0.9483,0.94396,0.95264,10000
rho0.00_RT,0.0,RT,8.0,0.9695,0.96613,0.97287,10000
rho0.00_RT,0.0,RT,8.25,0.9825,0.97993,0.98507,10000
rho0.50_RT,0.5,RT,1.0,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,1.25,0.0,0.0,0.0,10000
rho0.50_RT,0.5,RT,1.5,0.0,0.0,0.0,10000
