Temperature_C,Strain,Stress_MPa,E_tangent_GPa,Phase
25,0.0,0.0,119.44,linear
25,4e-05,4.82,119.44,linear
25,8.1e-05,9.64,119.44,linear
25,0.000121,14.46,119.44,linear
25,0.000161,19.28,119.44,linear
25,0.000202,24.1,119.44,linear
25,0.000242,28.92,119.44,linear
25,0.000283,33.74,119.44,linear
25,0.000323,38.56,119.44,linear
25,0.000363,43.38,119.44,linear
25,0.000404,48.2,119.44,linear
25,0.000444,53.02,119.44,linear
25,0.000484,57.84,119.44,linear
25,0.000525,62.66,119.44,linear
25,0.000565,67.48,119.44,linear
25,0.000605,72.3,119.44,linear
25,0.000646,77.12,119.44,linear
25,0.000686,79.71,35.83,ferroelastic
25,0.000726,81.15,35.83,ferroelastic
25,0.000767,82.6,35.83,ferroelastic
25,0.000807,84.05,35.83,ferroelastic
25,0.000848,85.49,35.83,ferroelastic
25,0.000888,86.94,35.83,ferroelastic
25,0.000928,88.38,35.83,ferroelastic
25,0.000969,89.83,35.83,ferroelastic
25,0.001009,91.28,35.83,ferroelastic
25,0.001049,92.72,35.83,ferroelastic
25,0.00109,94.17,35.83,ferroelastic
25,0.00113,95.62,35.83,ferroelastic
25,0.00117,97.06,35.83,ferroelastic
25,0.001211,98.51,35.83,ferroelastic
25,0.001251,99.95,35.83,ferroelastic
25,0.001291,101.4,35.83,ferroelastic
25,0.001332,102.85,35.83,ferroelastic
25,0.001372,104.29,35.83,ferroelastic
25,0.001413,105.74,35.83,ferroelastic
25,0.001453,107.18,35.83,ferroelastic
25,0.001493,108.63,35.83,ferroelastic
25,0.001534,110.08,35.83,ferroelastic
25,0.001574,111.52,35.83,ferroelastic
25,0.001614,112.97,35.83,ferroelastic
25,0.001655,114.41,35.83,ferroelastic
25,0.001695,115.86,35.83,ferroelastic
25,0.001735,117.31,35.83,ferroelastic
25,0.001776,118.75,35.83,ferroelastic
25,0.001816,120.2,35.83,ferroelastic
25,0.001856,121.64,35.83,ferroelastic
25,0.001897,123.09,35.83,ferroelastic
25,0.001937,124.54,35.83,ferroelastic
25,0.001978,125.98,35.83,ferroelastic
25,0.002018,127.43,35.83,ferroelastic
25,0.002058,128.88,35.83,ferroelastic
25,0.002099,130.32,35.83,ferroelastic
25,0.002139,131.77,35.83,ferroelastic
25,0.002179,133.21,35.83,ferroelastic
25,0.00222,134.66,35.83,ferroelastic
25,0.00226,136.11,35.83,ferroelastic
25,0.0023,137.55,35.83,ferroelastic
25,0.002341,139.0,35.83,ferroelastic
25,0.002381,140.44,35.83,ferroelastic
25,0.002421,141.89,35.83,ferroelastic
25,0.002462,143.34,35.83,ferroelastic
25,0.002502,144.78,35.83,ferroelastic
25,0.002543,146.23,35.83,ferroelastic
25,0.002583,147.67,35.83,ferroelastic
25,0.002623,149.12,35.83,ferroelastic
25,0.002664,150.57,35.83,ferroelastic
25,0.002704,152.01,35.83,ferroelastic
25,0.002744,153.46,35.83,ferroelastic
25,0.002785,154.9,35.83,ferroelastic
25,0.002825,156.35,35.83,ferroelastic
25,0.002865,157.8,35.83,ferroelastic
25,0.002906,159.24,35.83,ferroelastic
25,0.002946,160.69,35.83,ferroelastic
25,0.002986,162.13,35.83,ferroelastic
25,0.003027,163.58,35.83,ferroelastic
25,0.003067,165.03,35.83,ferroelastic
25,0.003108,166.47,35.83,ferroelastic
25,0.003148,167.92,35.83,ferroelastic
25,0.003188,169.37,35.83,ferroelastic
25,0.003229,170.81,35.83,ferroelastic
25,0.003269,172.26,35.83,ferroelastic
25,0.003309,173.7,35.83,ferroelastic
25,0.00335,175.15,35.83,ferroelastic
25,0.00339,176.6,35.83,ferroelastic
25,0.00343,178.04,35.83,ferroelastic
25,0.003471,179.49,35.83,ferroelastic
25,0.003511,180.93,35.83,ferroelastic
25,0.003552,182.38,35.83,ferroelastic
25,0.003592,183.83,35.83,ferroelastic
25,0.003632,185.27,35.83,ferroelastic
25,0.003673,186.72,35.83,ferroelastic
25,0.003713,188.16,35.83,ferroelastic
25,0.003753,189.61,35.83,ferroelastic
25,0.003794,191.06,35.83,ferroelastic
25,0.003834,192.5,35.83,ferroelastic
25,0.003874,193.95,35.83,ferroelastic
25,0.003915,195.39,35.83,ferroelastic
25,0.003955,196.84,35.83,ferroelastic
25,0.003995,198.29,35.83,ferroelastic
25,0.004036,199.73,35.83,ferroelastic
25,0.004076,201.18,35.83,ferroelastic
25,0.004117,202.63,35.83,ferroelastic
25,0.004157,204.07,35.83,ferroelastic
25,0.004197,205.52,35.83,ferroelastic
25,0.004238,206.96,35.83,ferroelastic
25,0.004278,208.41,35.83,ferroelastic
25,0.004318,209.86,35.83,ferroelastic
25,0.004359,211.3,35.83,ferroelastic
25,0.004399,212.75,35.83,ferroelastic
25,0.004439,214.19,35.83,ferroelastic
25,0.00448,215.64,35.83,ferroelastic
25,0.00452,217.09,35.83,ferroelastic
25,0.00456,218.53,35.83,ferroelastic
25,0.004601,219.98,35.83,ferroelastic
25,0.004641,221.42,35.83,ferroelastic
25,0.004682,222.87,35.83,ferroelastic
25,0.004722,224.32,35.83,ferroelastic
25,0.004762,225.76,35.83,ferroelastic
25,0.004803,227.21,35.83,ferroelastic
25,0.004843,228.65,35.83,ferroelastic
25,0.004883,230.1,35.83,ferroelastic
25,0.004924,231.55,35.83,ferroelastic
25,0.004964,232.99,35.83,ferroelastic
25,0.005004,234.44,35.83,ferroelastic
25,0.005045,235.88,35.83,ferroelastic
25,0.005085,237.33,35.83,ferroelastic
25,0.005125,238.78,35.83,ferroelastic
25,0.005166,240.22,35.83,ferroelastic
25,0.005206,241.67,35.83,ferroelastic
25,0.005247,243.12,35.83,ferroelastic
25,0.005287,244.56,35.83,ferroelastic
25,0.005327,246.01,35.83,ferroelastic
25,0.005368,247.45,35.83,ferroelastic
