Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime
1,3.4112,2.5142,201.21,182.09,119.52,10.864,12.358,16.488,542.5,163.09,407.94,0.0,0.0,0.5,RT
2,4.4099,2.4772,218.95,187.32,116.45,10.376,11.892,15.226,546.4,181.33,341.19,0.0,0.0,0.5,RT
3,4.6229,3.7981,198.14,189.44,116.74,10.167,12.578,15.282,544.1,259.97,278.7,0.0,0.0,0.5,RT
4,3.6717,2.4948,200.32,189.93,105.46,10.574,12.894,15.802,553.9,257.51,305.95,0.0,0.0,0.5,RT
5,3.7874,3.1662,216.82,201.59,112.5,10.551,12.588,14.742,545.6,240.99,236.94,0.0,0.0,0.5,RT
6,3.2944,2.0603,215.43,202.38,109.42,10.64,12.492,15.042,566.0,225.86,292.03,0.0,0.0,0.5,RT
7,4.1897,2.6031,211.1,190.28,130.02,10.419,12.171,16.439,537.8,198.89,436.79,0.0,0.0,0.5,RT
8,4.2029,2.8187,219.39,179.73,117.7,10.068,12.015,15.088,560.0,239.18,309.28,0.0,0.0,0.5,RT
9,3.902,2.8874,222.83,177.77,127.89,10.041,12.399,14.797,543.7,285.62,231.8,0.0,0.0,0.5,RT
10,4.0694,2.5175,199.69,195.2,130.08,10.834,12.837,14.539,548.9,219.52,182.4,0.0,0.0,0.5,RT
11,3.1776,1.7527,211.94,181.1,120.08,10.473,12.98,16.308,546.6,290.49,329.48,0.0,0.0,0.5,RT
12,4.5726,3.3263,220.81,188.84,125.76,10.286,12.314,14.784,552.9,247.62,257.85,0.0,0.0,0.5,RT
13,4.9715,3.5939,216.34,193.78,121.49,10.492,12.898,14.684,542.5,282.39,187.72,0.0,0.0,0.5,RT
14,3.2228,2.086,206.87,187.32,127.8,10.4,11.749,16.05,550.8,153.74,443.7,0.0,0.0,0.5,RT
15,4.4519,1.9978,194.59,211.4,112.76,10.708,11.594,15.748,536.8,92.59,471.39,0.0,0.0,0.5,RT
16,3.3376,2.3179,209.84,192.71,104.11,10.187,13.082,15.119,546.4,331.98,214.54,0.0,0.0,0.5,RT
17,3.7829,3.6224,202.87,197.95,121.27,10.327,12.16,14.94,555.1,206.32,305.53,0.0,0.0,0.5,RT
18,5.1716,2.5608,195.57,177.32,105.84,10.941,12.521,15.74,544.9,168.45,311.02,0.0,0.0,0.5,RT
19,4.878,3.353,226.23,193.44,128.45,11.013,12.176,15.682,542.4,142.77,367.93,0.0,0.0,0.5,RT
20,3.433,2.4167,198.22,209.29,132.24,10.743,11.885,15.141,541.7,122.68,369.07,0.0,0.0,0.5,RT
21,4.2173,2.3966,200.95,182.08,122.26,10.078,12.531,15.128,557.0,274.48,263.46,0.0,0.0,0.5,RT
22,3.571,1.9411,202.93,194.23,116.11,10.815,12.919,15.634,553.3,236.17,291.84,0.0,0.0,0.5,RT
23,3.973,3.4658,206.61,177.81,110.97,10.595,12.286,15.649,553.7,193.45,331.06,0.0,0.0,0.5,RT
24,3.5059,2.4915,190.79,188.7,117.16,10.614,12.407,15.906,560.5,191.76,370.0,0.0,0.0,0.5,RT
25,3.5862,2.0807,197.3,176.58,136.22,10.288,12.306,15.291,537.2,213.88,283.09,0.0,0.0,0.5,RT
26,3.8365,2.8619,197.91,175.53,116.11,10.543,11.775,14.439,553.6,135.03,258.82,0.0,0.0,0.5,RT
