Sample_ID,Gc_YSZ_GDC,Gc_GDC_LSCF,E_YSZ_GPa,E_GDC_GPa,E_LSCF_GPa,CTE_YSZ_ppmK,CTE_GDC_ppmK,CTE_LSCF_ppmK,Delta_T_C,Sigma_mismatch_YSZ_GDC_MPa,Sigma_mismatch_GDC_LSCF_MPa,G_thermal_YSZ_GDC_Jm2,G_thermal_GDC_LSCF_Jm2,Rho_assumed,Temperature_regime
1,2.7795,2.616,201.06,192.38,112.98,10.654,12.164,16.127,550.0,166.93,419.39,0.0,0.0,0.0,RT
2,5.0225,1.8092,230.7,198.83,121.03,10.41,12.718,16.196,561.7,299.16,388.39,0.0,0.0,0.0,RT
3,4.3374,2.297,194.6,199.67,128.53,10.433,12.215,15.62,529.6,183.63,360.06,0.0,0.0,0.0,RT
4,3.7068,1.9901,205.2,180.58,120.36,10.388,12.825,16.054,540.4,270.25,315.04,0.0,0.0,0.0,RT
5,3.5388,3.1713,211.29,190.72,113.14,10.446,12.54,16.029,552.3,244.35,367.61,0.0,0.0,0.0,RT
6,4.1352,3.4548,206.98,199.57,126.87,10.559,11.919,14.791,546.1,153.76,312.93,0.0,0.0,0.0,RT
7,4.5747,2.6742,200.83,201.16,108.61,9.908,12.032,14.97,546.2,232.91,322.87,0.0,0.0,0.0,RT
8,5.0366,2.6741,188.26,202.53,134.81,10.471,11.904,14.894,552.2,149.02,334.38,0.0,0.0,0.0,RT
9,4.3111,2.3116,201.7,191.05,122.4,9.971,12.865,15.898,569.0,332.21,329.76,0.0,0.0,0.0,RT
10,3.7882,2.1352,198.49,205.4,117.85,10.378,11.996,15.076,551.1,177.03,348.53,0.0,0.0,0.0,RT
11,4.431,1.9412,230.15,183.43,107.96,10.601,12.352,14.281,553.1,222.87,195.62,0.0,0.0,0.0,RT
12,4.2778,2.3606,237.18,175.05,110.21,10.402,12.468,14.895,555.5,272.21,235.98,0.0,0.0,0.0,RT
13,4.5699,2.8445,209.39,187.22,119.56,10.711,12.589,15.27,531.2,208.87,266.7,0.0,0.0,0.0,RT
14,5.1027,2.8332,193.14,201.96,136.09,10.604,12.316,15.776,553.9,183.08,387.09,0.0,0.0,0.0,RT
