time,max_von_mises,avg_von_mises,max_plastic_strain,max_damage,avg_damage,max_temperature,delamination_area,crack_count
0,1702402.3728684802,307843.92767806974,0.0,0.0,0.0,26.643862910388073,0.0,0
180,386019402.94849527,70322116.97684978,0.0011800970147424763,0.0012157867187268573,0.00026261025627098906,41.182390091805,107.76000000000002,0
370,778264968.7357944,143324189.01378265,0.006282649687357944,0.0032672215849867525,0.0006192709689121102,57.18009542749891,107.92000000000002,0
560,737788608.7461118,109472531.10336053,0.008816829131191676,0.005082426327857282,0.0008678400153053521,49.55995917048537,107.88000000000002,0
750,196246511.8971606,35157677.50645655,0.0009249302379432119,0.004428795890383234,0.0009639115421338758,33.374413259798686,105.36000000000001,0
940,213832319.14122152,38203115.286101185,0.0015958079785305382,0.0056198896280913666,0.0012115640798772232,34.14197657580811,105.84000000000002,0
1130,630208958.1679432,111891468.45562826,0.014406268745038297,0.010614314759573227,0.001765608230800386,49.65164946410974,108.00000000000001,0
1320,663955209.992815,140351633.31795743,0.017988432349748524,0.013504072917351444,0.002243232993895672,55.90584216904955,108.00000000000001,0
1510,364094572.51043636,64806754.059605576,0.008563782900417453,0.010703589039721616,0.0020778830308710475,39.832010600720274,107.88000000000002,0
1700,39801937.30769753,7644431.117829101,0.0,0.009,0.002105567651983323,27.56020266806576,33.52,0
1880,478688030.45349777,77403775.29197045,0.016434401522674887,0.01632691580055309,0.002697687580410163,42.488419022570525,107.88000000000002,0
2070,867502711.8581506,150451836.22687036,0.039462649152198284,0.03459994025137114,0.0037592944561225267,58.455236480088125,107.96000000000002,0
2260,675538746.551011,100371784.07622696,0.03153232479306066,0.028834016779232204,0.0034848110428980727,47.463633324313754,107.80000000000003,0
2450,129827369.0273167,27880249.919847246,0.0,0.01384387789867756,0.0030920286509033526,31.767818810773434,101.92000000000002,0
2640,236030145.0909434,46594134.23640612,0.006022110156366038,0.01664719068940911,0.003463485308924622,36.23023219926241,107.16000000000003,0
2830,640239339.2640071,120560604.31426446,0.03676795044480053,0.03745701126863319,0.004724830523831968,51.582074627034544,107.92000000000002,0
3020,709195609.4373273,131774544.15833654,0.04473564875498618,0.047054625421391924,0.005297773935450807,54.453800800231775,108.00000000000001,0
3210,329321647.29226106,58750163.282501645,0.015242340019842192,0.024065921647318928,0.0043485896751820656,38.56198651194914,107.84000000000002,0
3400,80717943.99074137,14808596.396141836,0.0,0.018698599960944987,0.00421585254182798,29.0787440436045,60.12000000000001,0
3590,512024847.5567076,89106919.42410323,0.03439236051788722,0.04059349204551093,0.005393837138623677,45.00476700275901,107.84000000000002,0
