Country_Code,Country_Name,Year,Quarter,Date,Bank_NPL_to_Total_Loans_%,Bank_Z_Score,Bank_ROA_%,Domestic_Credit_to_Private_Sector_%_GDP,WGI_Regulatory_Quality,Financial_Regulation_Index,Digital_Lending_Regulation,Mobile_Money_Regulation,Data_Protection_Law,Regulatory_Sandbox,Total_FinTech_Regulations,Account_Ownership_%_Adults,Mobile_Money_Account_%_Adults,Bank_Branches_per_100k_Adults,ATMs_per_100k_Adults,Banking_Market_HHI,Interest_Rate_Spread_%,Capital_Adequacy_Ratio_%,Liquid_Assets_to_Deposits_%,Forex_Reserves_Months_Imports,Financial_Stress_Index,Systemic_Risk_Score,Data_Source,Last_Updated,Region,Banking_Health_Index,Regulatory_Strength_Index,Financial_Development_Index
AGO,Angola,2010,Q1,2010-Q1,10.36,11.13,0.253,27.54,-1.061,32.26,0,0,0,0,0,19.09,22.98,1.96,4.52,4964.0,14.9,10.64,24.84,2.64,59.57,112.04,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.12,20.346666666666668,17.689999999999998
AGO,Angola,2010,Q2,2010-Q2,10.3,11.09,0.252,27.52,-1.06,32.23,0,0,0,0,0,19.2,23.24,1.96,4.54,4940.0,14.82,10.63,24.77,2.63,59.1,111.85,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.09625,20.34333333333333,17.767999999999997
AGO,Angola,2010,Q3,2010-Q3,11.1,11.61,0.267,28.42,-1.077,33.29,0,0,0,0,0,19.95,24.68,1.99,4.7,5080.0,15.48,10.98,25.92,2.83,63.53,113.32,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.51875,20.583333333333332,18.480000000000004
AGO,Angola,2010,Q4,2010-Q4,10.98,11.54,0.264,28.34,-1.075,33.19,0,0,0,0,0,20.01,24.87,2.0,4.7,5046.0,15.36,10.95,25.77,2.8,62.73,113.01,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.46875,20.563333333333333,18.524
AGO,Angola,2011,Q1,2011-Q1,11.41,11.82,0.272,28.84,-1.084,33.78,0,0,0,0,0,20.5,25.87,2.02,4.8,5112.0,15.7,11.14,26.39,2.91,65.06,113.77,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.696875,20.7,18.982
AGO,Angola,2011,Q2,2011-Q2,11.73,12.02,0.277,29.21,-1.09,34.21,0,0,0,0,0,20.88,26.66,2.03,4.87,5158.0,15.94,11.28,26.84,2.99,66.76,114.32,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.859375,20.80333333333333,19.328
AGO,Angola,2011,Q3,2011-Q3,11.47,11.87,0.272,28.99,-1.086,33.96,0,0,0,0,0,20.85,26.67,2.03,4.85,5100.0,15.7,11.2,26.5,2.93,65.15,113.73,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.748125,20.746666666666666,19.272
AGO,Angola,2011,Q4,2011-Q4,10.39,11.2,0.251,27.94,-1.065,32.73,0,0,0,0,0,20.22,25.55,2.0,4.69,4894.0,14.78,10.79,25.0,2.65,58.85,111.53,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.223124999999996,20.476666666666667,18.618
AGO,Angola,2012,Q1,2012-Q1,10.1,11.02,0.245,27.67,-1.06,32.41,0,0,0,0,0,20.13,25.44,1.99,4.66,4831.0,14.52,10.69,24.6,2.58,57.14,110.93,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.08625,20.403333333333332,18.502
AGO,Angola,2012,Q2,2012-Q2,10.27,11.13,0.248,27.9,-1.064,32.68,0,0,0,0,0,20.4,26.02,2.0,4.71,4853.0,14.64,10.78,24.85,2.62,57.99,111.18,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,17.183125,20.466666666666665,18.747999999999998
AGO,Angola,2012,Q3,2012-Q3,9.55,10.67,0.234,27.16,-1.049,31.81,0,0,0,0,0,19.97,25.27,1.98,4.6,4707.0,14.01,10.49,23.82,2.44,53.84,109.76,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.818125000000002,20.276666666666667,18.3
AGO,Angola,2012,Q4,2012-Q4,9.46,10.61,0.231,27.1,-1.047,31.74,0,0,0,0,0,20.06,25.53,1.98,4.6,4675.0,13.9,10.47,23.69,2.41,53.17,109.51,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.77625,20.266666666666666,18.358
AGO,Angola,2013,Q1,2013-Q1,8.79,10.17,0.218,26.38,-1.033,30.9,0,0,0,0,0,19.65,24.83,1.96,4.49,4532.0,13.29,10.19,22.7,2.24,49.33,108.22,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.425625,20.080000000000002,17.928
AGO,Angola,2013,Q2,2013-Q2,8.85,10.21,0.219,26.49,-1.035,31.03,0,0,0,0,0,19.85,25.26,1.97,4.52,4534.0,13.32,10.23,22.8,2.26,49.56,108.26,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.464375,20.11,18.098000000000003
AGO,Angola,2013,Q3,2013-Q3,9.02,10.34,0.222,26.74,-1.039,31.32,0,0,0,0,0,20.14,25.88,1.98,4.58,4560.0,13.46,10.33,23.08,2.3,50.45,108.52,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.576249999999998,20.180000000000003,18.363999999999997
AGO,Angola,2013,Q4,2013-Q4,8.9,10.26,0.219,26.63,-1.036,31.19,0,0,0,0,0,20.17,26.02,1.98,4.57,4525.0,13.33,10.29,22.9,2.27,49.66,108.24,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.51625,20.156666666666666,18.372
AGO,Angola,2014,Q1,2014-Q1,9.73,10.84,0.235,27.67,-1.056,32.41,0,0,0,0,0,21.07,27.83,2.02,4.76,4684.0,14.06,10.69,24.19,2.48,54.22,109.67,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.994375,20.429999999999996,19.237999999999996
AGO,Angola,2014,Q2,2014-Q2,9.23,10.5,0.225,27.14,-1.045,31.79,0,0,0,0,0,20.79,27.37,2.01,4.69,4575.0,13.6,10.48,23.45,2.35,51.29,108.68,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.725625,20.296666666666667,18.945999999999998
AGO,Angola,2014,Q3,2014-Q3,8.68,10.13,0.213,26.53,-1.033,31.08,0,0,0,0,0,20.46,26.81,1.99,4.6,4454.0,13.09,10.25,22.61,2.21,48.11,107.62,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.43,20.14,18.59
AGO,Angola,2014,Q4,2014-Q4,7.83,9.54,0.197,25.55,-1.014,29.92,0,0,0,0,0,19.83,25.64,1.96,4.44,4270.0,12.3,9.87,21.31,2.0,43.34,106.08,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.958124999999999,19.88,17.939999999999998
AGO,Angola,2015,Q1,2015-Q1,7.92,9.61,0.198,25.69,-1.016,30.09,0,0,0,0,0,20.04,26.13,1.97,4.48,4279.0,12.36,9.92,21.45,2.02,43.73,106.18,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.014999999999997,19.923333333333332,18.133999999999997
AGO,Angola,2015,Q2,2015-Q2,7.99,9.67,0.199,25.84,-1.018,30.26,0,0,0,0,0,20.29,26.68,1.98,4.52,4285.0,12.42,9.98,21.58,2.04,44.06,106.25,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.073125,19.96666666666667,18.35
AGO,Angola,2015,Q3,2015-Q3,7.88,9.59,0.196,25.73,-1.016,30.14,0,0,0,0,0,20.32,26.84,1.98,4.51,4251.0,12.29,9.94,21.41,2.01,43.35,106.0,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.0125,19.94,18.362000000000002
AGO,Angola,2015,Q4,2015-Q4,7.61,9.39,0.191,25.4,-1.009,29.76,0,0,0,0,0,20.17,26.6,1.97,4.47,4182.0,12.01,9.81,20.97,1.94,41.76,105.49,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.851875,19.86,18.192
AGO,Angola,2016,Q1,2016-Q1,8.01,9.7,0.198,25.99,-1.02,30.44,0,0,0,0,0,20.75,27.83,1.99,4.58,4263.0,12.38,10.04,21.65,2.04,43.92,106.12,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,16.114374999999995,20.013333333333335,18.735999999999997
AGO,Angola,2016,Q2,2016-Q2,7.32,9.2,0.184,25.13,-1.003,29.43,0,0,0,0,0,20.19,26.79,1.96,4.45,4103.0,11.72,9.71,20.53,1.87,40.01,104.89,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.7075,19.790000000000003,18.162
AGO,Angola,2016,Q3,2016-Q3,7.18,9.1,0.181,24.99,-0.999,29.27,0,0,0,0,0,20.2,26.89,1.96,4.43,4063.0,11.57,9.65,20.31,1.83,39.2,104.62,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.62875,19.763333333333332,18.148
AGO,Angola,2016,Q4,2016-Q4,7.41,9.27,0.186,25.34,-1.006,29.68,0,0,0,0,0,20.6,27.76,1.98,4.51,4106.0,11.77,9.79,20.7,1.89,40.36,104.93,Synthetic/Estimated,2025-10-11,Sub-Saharan Africa,15.781875,19.853333333333335,18.524
