time_min,temperature_C,mean_exx,std_exx,max_exx,mean_eyy,std_eyy,max_eyy,mean_von_mises,max_von_mises,hotspot_count,timestamp
0.0,25.0,0.00013708461985707834,0.0012822770877864889,0.012131386114370353,9.595938419236906e-05,0.0008975939098722978,0.008491971013416984,0.00012184500463630024,0.010782611716612782,113,2025-10-03T05:48:25.506902
2.0,39.898989898989896,1.2679879627684771e-06,1.2463024838870386e-09,1.2718936568802293e-06,1.0145654929214911e-06,1.1631045502760075e-09,1.018998036486328e-06,1.1621888599880667e-06,1.1649154401818573e-06,0,2025-10-03T05:50:25.514889
4.0,54.7979797979798,2.5359276128411574e-06,2.496265979588855e-09,2.545507712755058e-06,2.0289968723193713e-06,2.6507602082847934e-09,2.0382777270716313e-06,2.3243026223980626e-06,2.3325946142037403e-06,0,2025-10-03T05:52:25.517825
6.0,69.6969696969697,3.804361981976525e-06,3.5228814811254095e-09,3.816899494857829e-06,3.0431058981129672e-06,3.742497122217914e-09,3.055644904962432e-06,3.4866341428962415e-06,3.4952364149606817e-06,0,2025-10-03T05:54:25.520690
8.0,84.5959595959596,5.907720247485171e-05,0.0007696042348209009,0.011026457419569135,4.186186658050383e-05,0.0005387229409382407,0.007719030186985965,5.26495177670997e-05,0.00980064296491662,0,2025-10-03T05:56:25.523912
10.0,99.4949494949495,6.338758727225725e-06,6.077230382881907e-09,6.359431634367885e-06,5.072244472574779e-06,6.05037179374858e-09,5.089192202963672e-06,5.809980723894774e-06,5.82281349116884e-06,0,2025-10-03T05:58:25.526805
12.0,114.3939393939394,4.859009782736763e-05,0.0007599195996620584,0.014139469319314698,3.477417863212055e-05,0.0005319429434902697,0.009898379746349394,4.339853399920333e-05,0.012567602101202153,29,2025-10-03T06:00:25.529889
14.0,129.2929292929293,8.877658587684071e-06,8.35480478759645e-09,8.905128149691512e-06,7.101237588705353e-06,8.848846561724528e-09,7.136051375968464e-06,8.136228510128989e-06,8.158137272516085e-06,0,2025-10-03T06:02:25.532680
16.0,144.1919191919192,1.014251759513419e-05,1.0425859696715165e-08,1.0179219697892288e-05,8.114771245898497e-06,9.421335373450012e-09,8.140284824821003e-06,9.296029903607568e-06,9.32444771042641e-06,0,2025-10-03T06:04:25.535475
18.0,159.0909090909091,1.1410190624709742e-05,1.1659834825471187e-08,1.1459285696087959e-05,9.128911058636977e-06,1.0950367977274616e-08,9.16311445717932e-06,1.0457873080213273e-05,1.049710724719981e-05,0,2025-10-03T06:06:25.538324
20.0,173.989898989899,1.2678626215753358e-05,1.1589970915378622e-08,1.271459135996121e-05,1.0141103174987373e-05,1.1539223802391029e-08,1.0180954899751065e-05,1.1619577123015334e-05,1.1644489457621652e-05,0,2025-10-03T06:08:25.541154
22.0,188.88888888888889,1.3948575139777039e-05,1.4709183111330513e-08,1.3992576606221492e-05,1.1156541897267244e-05,1.3709208709666053e-08,1.1199694550513242e-05,1.2783339155914683e-05,1.2817670730274721e-05,0,2025-10-03T06:10:25.543956
24.0,203.7878787878788,1.521811505687962e-05,1.3306141568574867e-08,1.527728968715917e-05,1.217530520909049e-05,1.5326415612175193e-08,1.224782008948511e-05,1.3947916192844744e-05,1.399023950735263e-05,0,2025-10-03T06:12:25.546819
26.0,218.6868686868687,1.6482748460323127e-05,1.637500813847458e-08,1.652705019299485e-05,1.3183761451332227e-05,1.6678444412322968e-08,1.326396279511014e-05,1.5105911611085368e-05,1.5145099180822278e-05,0,2025-10-03T06:14:25.549688
28.0,233.5858585858586,1.7753551250714046e-05,1.892135376796082e-08,1.782877846638742e-05,1.4200715672937914e-05,1.787496799601739e-08,1.4265482681629285e-05,1.6270725965899695e-05,1.631945292206746e-05,0,2025-10-03T06:16:25.552429
30.0,248.4848484848485,1.901697959991278e-05,1.94673867591873e-08,1.908002241880772e-05,1.5214968923453042e-05,1.9077084399681416e-08,1.5274372873948467e-05,1.7429828265791628e-05,1.7477557216004358e-05,0,2025-10-03T06:18:25.555222
32.0,263.3838383838384,2.0288914019225696e-05,1.9596840837886757e-08,2.0350368082771243e-05,1.6229596336496632e-05,2.072762269441273e-08,1.628726509613976e-05,1.8594618711470795e-05,1.863512454926572e-05,0,2025-10-03T06:20:25.558049
34.0,278.2828282828283,0.00023198449286864894,0.001710999022505773,0.01414424892277192,0.00016454413825816395,0.0011976991375138677,0.009903125121717505,0.00020678749879128076,0.012572164431428485,149,2025-10-03T06:22:25.561089
36.0,293.1818181818182,0.00011019640761741935,0.0009668412110988242,0.010809307239557517,7.942253015906891e-05,0.0006767877530614794,0.0075687950986146595,9.857676722673165e-05,0.00960803112246397,0,2025-10-03T06:24:25.564045
38.0,308.0808080808081,0.00011585445465955137,0.0010428084820124177,0.013668620961924812,8.351023533955927e-05,0.0007299663098807149,0.009570427068888252,0.00010364094010447283,0.012149471864763773,29,2025-10-03T06:26:25.567162
40.0,322.979797979798,2.5358292096534247e-05,2.721215518092186e-08,2.5495831024168654e-05,2.0286493041870767e-05,2.3957963888169403e-08,2.0364739072977057e-05,2.3241245069738198e-05,2.333229980003378e-05,0,2025-10-03T06:28:25.570088
