date,precipitation_mm,temperature_c,evapotranspiration_mm,antecedent_rain_7d_mm,soil_moisture_index,water_balance_mm,failure_warning_index,warning_level,context_soil_type,source_reference
2022-01-01,2.676,2.996,1.956,2.676,40.769,0.721,2.91,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-02,7.274,3.749,1.947,9.95,44.411,5.326,0.696,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-03,0.0,1.599,2.646,9.95,40.831,-2.646,0.0,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-04,3.259,4.095,2.662,13.209,40.952,0.597,3.185,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-05,2.134,2.35,1.698,15.343,40.976,0.436,0.137,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-06,1.413,5.022,0.518,16.756,43.373,0.896,11.077,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-07,6.427,1.001,0.0,23.184,45.499,6.427,6.927,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-08,3.019,4.148,1.538,23.527,48.365,1.481,3.256,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-09,0.055,4.069,1.404,16.308,49.204,-1.348,8.344,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-10,1.562,3.818,2.413,17.87,49.928,-0.851,7.009,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-11,3.059,4.781,1.978,17.67,50.289,1.081,9.782,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-12,0.0,4.115,2.588,15.536,50.815,-2.588,7.115,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-13,3.492,3.408,1.575,17.615,54.267,1.918,7.787,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-14,3.058,0.629,1.574,14.246,54.727,1.485,11.035,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-15,18.372,3.238,2.835,29.598,61.661,15.537,20.205,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-16,0.0,5.755,3.971,29.543,58.761,-3.971,21.183,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-17,0.236,4.874,1.709,28.217,57.171,-1.473,17.218,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-18,2.323,1.472,2.55,27.482,56.398,-0.226,19.355,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-19,0.625,1.316,2.274,28.107,55.017,-1.649,15.779,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-20,4.331,4.15,1.913,28.946,56.729,2.418,19.723,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-21,6.19,3.525,1.742,32.077,57.102,4.448,19.902,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-22,7.304,5.788,3.778,21.009,58.611,3.526,13.491,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-23,8.344,4.164,1.281,29.354,62.293,7.063,19.972,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-24,3.42,4.47,3.135,32.538,62.387,0.285,23.955,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-25,8.472,3.067,2.512,38.686,67.467,5.96,29.733,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-26,3.051,2.788,1.771,41.112,68.106,1.28,29.064,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-27,12.809,3.098,1.303,49.59,74.247,11.507,43.133,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-28,12.3,2.176,1.594,55.701,78.813,10.706,48.714,moderate,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-29,2.028,2.545,0.0,50.425,79.112,2.028,39.332,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-30,0.0,6.042,3.997,42.081,78.815,-3.997,35.002,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-01-31,3.894,4.338,2.659,42.554,79.739,1.234,37.65,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-01,6.991,3.609,2.833,41.073,82.475,4.158,40.267,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-02,1.083,7.067,4.431,39.105,81.914,-3.348,41.14,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-03,3.021,6.135,3.055,29.316,83.363,-0.034,31.904,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-04,4.996,2.39,1.725,22.013,84.056,3.271,29.106,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-05,6.016,7.967,4.501,26.0,84.845,1.515,37.944,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-06,1.739,5.693,2.689,27.739,83.984,-0.95,35.291,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-07,2.082,6.677,2.9,25.928,82.34,-0.818,34.32,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-08,1.938,3.741,0.221,20.875,83.381,1.717,35.262,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-09,2.264,4.957,3.238,22.057,83.168,-0.973,28.701,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-10,5.122,4.287,2.177,24.158,82.043,2.945,38.589,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-11,3.375,6.586,4.118,22.537,80.626,-0.743,33.589,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-12,0.0,7.141,3.834,16.521,79.926,-3.834,24.265,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-13,0.0,4.162,3.437,14.782,79.896,-3.437,27.804,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-14,1.786,7.787,3.925,14.485,79.104,-2.139,23.977,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-15,5.731,5.558,2.554,18.278,80.008,3.177,25.855,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-16,1.541,6.038,4.191,17.555,77.742,-2.65,19.945,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-17,0.0,6.683,4.604,12.433,75.416,-4.604,13.131,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-18,2.805,6.125,1.853,11.864,75.953,0.953,20.062,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-19,0.784,10.258,5.783,12.648,73.05,-4.999,25.938,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-20,0.0,5.846,2.964,12.648,71.409,-2.964,19.566,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-21,0.868,6.172,3.726,11.73,69.359,-2.858,20.728,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-22,12.412,7.55,2.15,18.411,76.164,10.262,26.341,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-23,4.234,7.581,3.624,21.104,78.942,0.61,29.974,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-24,4.867,10.625,5.053,25.971,79.61,-0.187,36.896,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-25,1.477,6.738,3.437,24.642,79.903,-1.961,29.314,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-26,1.556,8.977,3.453,25.414,78.081,-1.897,27.594,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-27,3.05,9.194,4.358,28.464,77.292,-1.307,28.967,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-02-28,1.293,10.443,4.767,28.889,76.065,-3.474,24.865,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-01,2.283,11.993,5.322,18.76,73.294,-3.038,16.484,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-02,4.134,12.844,5.988,18.66,75.852,-1.855,19.639,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-03,0.0,8.834,4.752,13.793,74.882,-4.752,25.118,low,Clay,Newcastle University style weather context (synthetic reconstruction)
2022-03-04,0.0,10.126,5.123,12.317,72.498,-5.123,14.502,low,Clay,Newcastle University style weather context (synthetic reconstruction)
