record_id,structure_type,soil_type,cover_depth_m,diameter_or_width_m,wall_thickness_m,groundwater_state,surface_settlement_mm,lateral_deflection_mm,earth_pressure_kpa,pore_pressure_kpa,failure_mode,failure_label,source_reference
STR-00001,Shaft lining,Clay-Sand Mix,17.197,7.804,0.485,Perched,15.032,12.116,385.271,131.737,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00002,Basement wall,Sand,16.447,10.936,0.572,Dry,10.312,13.463,238.586,73.364,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00003,Tunnel,Clay,12.481,4.766,0.912,Saturated,7.671,7.656,321.035,171.398,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00004,Shaft lining,Sand,33.489,4.047,0.721,Dry,8.538,5.979,604.281,102.108,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00005,Shaft lining,Sand,30.517,13.766,0.851,Saturated,17.903,18.242,738.539,199.997,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00006,Shaft lining,Sand,29.196,4.969,0.742,Perched,14.238,10.497,539.165,134.859,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00007,Tunnel,Clay,25.332,10.682,1.058,Saturated,18.609,14.159,652.472,191.346,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00008,Tunnel,Clay-Sand Mix,10.245,7.092,0.616,Dry,9.843,11.489,246.591,63.307,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00009,Basement wall,Clay,7.032,8.563,0.633,Saturated,11.074,11.193,196.636,163.065,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00010,Shaft lining,Sand,21.445,4.197,1.092,Dry,0.689,0.411,410.697,92.466,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00011,Basement wall,Clay-Sand Mix,15.405,5.055,0.741,Dry,8.633,6.142,297.169,74.635,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00012,Shaft lining,Clay,16.669,13.142,0.447,Perched,20.668,16.124,366.458,138.764,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00013,Shaft lining,Clay,20.78,10.329,0.789,Perched,12.807,10.946,449.185,124.419,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00014,Basement wall,Clay,19.854,14.327,1.176,Perched,8.797,12.899,446.654,161.938,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00015,Tunnel,Clay,9.379,8.491,0.343,Dry,18.153,17.185,173.645,61.324,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00016,Basement wall,Clay-Sand Mix,9.653,14.655,0.405,Dry,19.59,16.816,194.939,50.485,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00017,Tunnel,Sand,14.237,9.42,1.064,Saturated,7.396,7.555,376.896,172.39,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00018,Shaft lining,Sand,12.589,7.707,0.561,Dry,8.332,6.109,197.036,60.501,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00019,Tunnel,Sand,8.404,11.344,0.751,Saturated,9.888,8.763,205.406,145.199,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00020,Tunnel,Clay,25.305,9.167,0.314,Saturated,42.381,31.019,665.14,175.522,Consolidation settlement,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00021,Shaft lining,Clay,26.283,4.046,0.96,Perched,7.392,7.629,621.542,153.116,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00022,Shaft lining,Sand,25.773,9.517,1.018,Perched,9.168,9.318,527.04,165.536,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00023,Basement wall,Clay,20.229,5.681,0.691,Saturated,13.889,7.148,489.304,183.105,Serviceability exceedance,1,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00024,Basement wall,Clay,10.504,8.244,0.285,Dry,22.576,20.305,170.689,54.313,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00025,Tunnel,Sand,22.153,12.479,0.426,Perched,21.417,17.51,449.073,134.16,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00026,Shaft lining,Sand,25.056,5.995,0.436,Saturated,18.652,10.659,619.02,192.098,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
STR-00027,Basement wall,Clay,23.208,4.995,0.84,Perched,10.923,5.063,551.564,140.08,Stable,0,Kaggle/BGS style infrastructure dataset (synthetic)
