experiment_id,soil_profile,soil_type,flow_condition_lpm,time_min,settlement_mm,sinkhole_diameter_m,pore_pressure_kpa,clay_fraction_pct,initial_void_ratio,groundwater_depth_m,failure_flag,source_reference
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,0,0.0,0.1063,19.433,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,6,0.57,0.0892,18.201,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,12,2.249,0.1142,18.311,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,18,3.019,0.0682,20.33,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,24,3.549,0.1401,18.743,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,30,3.712,0.1039,19.781,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,36,5.989,0.1423,19.26,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,42,5.964,0.1067,17.312,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,48,7.634,0.1224,18.997,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,54,7.94,0.121,22.241,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,60,8.811,0.1411,23.87,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,66,8.561,0.1438,21.001,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,72,8.604,0.1329,25.203,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,78,10.288,0.1446,24.76,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,84,10.784,0.1412,21.373,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,90,11.045,0.1356,21.227,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,96,10.643,0.1393,23.546,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,102,11.806,0.1637,25.746,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
PM-05-01,SC_top + silty_sand_mid + dense_sand_bottom,Sandy clay,5,108,10.856,0.1259,23.708,44.68,0.524,0.961,0,NIH / Mendeley Data (synthetic reconstruction)
