sample_id,soil_type,relative_density_pct,D10_mm,D50_mm,D90_mm,friction_angle_deg,dilation_angle_deg,undrained_shear_strength_cu_kpa,plasticity_index_PI,liquid_limit_pct,plastic_limit_pct,compression_index_Cc,swelling_index_Cs,youngs_modulus_mpa,poisson_ratio,source_reference
SAND-0001,Sandy soil (cohesionless),60.021,0.1844,0.6891,1.7973,36.674,4.968,,,,,,,56.124,0.2622,SoilModels / Mendeley style calibration set (synthetic)
SAND-0002,Sandy soil (cohesionless),74.496,0.1564,0.4336,1.2613,36.733,5.413,,,,,,,78.635,0.3306,SoilModels / Mendeley style calibration set (synthetic)
SAND-0003,Sandy soil (cohesionless),91.965,0.1021,0.3349,0.9194,41.131,9.813,,,,,,,84.28,0.2487,SoilModels / Mendeley style calibration set (synthetic)
SAND-0004,Sandy soil (cohesionless),40.901,0.1175,0.3528,0.6774,34.32,1.092,,,,,,,47.231,0.2987,SoilModels / Mendeley style calibration set (synthetic)
SAND-0005,Sandy soil (cohesionless),83.18,0.1067,0.3185,0.816,38.033,7.901,,,,,,,81.101,0.38,SoilModels / Mendeley style calibration set (synthetic)
SAND-0006,Sandy soil (cohesionless),51.783,0.2561,0.6998,1.3071,36.193,2.004,,,,,,,61.225,0.3617,SoilModels / Mendeley style calibration set (synthetic)
SAND-0007,Sandy soil (cohesionless),38.605,0.1931,0.6724,1.2474,35.992,1.062,,,,,,,42.754,0.2796,SoilModels / Mendeley style calibration set (synthetic)
SAND-0008,Sandy soil (cohesionless),37.6,0.2694,1.1386,2.3998,34.907,2.384,,,,,,,45.178,0.2597,SoilModels / Mendeley style calibration set (synthetic)
SAND-0009,Sandy soil (cohesionless),61.258,0.3059,0.7924,1.3905,38.495,4.711,,,,,,,61.482,0.2818,SoilModels / Mendeley style calibration set (synthetic)
SAND-0010,Sandy soil (cohesionless),53.524,0.1807,0.5841,1.6414,35.738,2.807,,,,,,,51.095,0.2628,SoilModels / Mendeley style calibration set (synthetic)
SAND-0011,Sandy soil (cohesionless),66.329,0.1096,0.4241,1.1373,36.723,5.037,,,,,,,69.788,0.3063,SoilModels / Mendeley style calibration set (synthetic)
SAND-0012,Sandy soil (cohesionless),93.524,0.2329,0.7422,2.1994,39.251,7.291,,,,,,,89.59,0.2809,SoilModels / Mendeley style calibration set (synthetic)
SAND-0013,Sandy soil (cohesionless),44.966,0.2026,0.5758,1.3254,34.545,2.693,,,,,,,42.502,0.2649,SoilModels / Mendeley style calibration set (synthetic)
SAND-0014,Sandy soil (cohesionless),62.295,0.3113,0.9878,2.405,34.973,4.718,,,,,,,66.869,0.2662,SoilModels / Mendeley style calibration set (synthetic)
SAND-0015,Sandy soil (cohesionless),52.151,0.2359,0.7439,1.3803,35.589,1.51,,,,,,,53.365,0.2587,SoilModels / Mendeley style calibration set (synthetic)
SAND-0016,Sandy soil (cohesionless),79.312,0.1321,0.4163,0.7223,36.274,6.889,,,,,,,78.275,0.2951,SoilModels / Mendeley style calibration set (synthetic)
SAND-0017,Sandy soil (cohesionless),87.134,0.2138,0.7969,1.7767,38.341,6.805,,,,,,,91.854,0.308,SoilModels / Mendeley style calibration set (synthetic)
SAND-0018,Sandy soil (cohesionless),53.146,0.3118,0.8394,1.889,34.876,2.265,,,,,,,55.4,0.2276,SoilModels / Mendeley style calibration set (synthetic)
