monitor_point_id,chainage_m,depth_m,date,load_stage_kpa,p_wave_velocity_mps,s_wave_velocity_mps,extensometer_displacement_mm,pressure_cell_kpa,pore_pressure_kpa,creep_rate_mm_per_day,formation,alert_level,source_reference
EMB-01,0.0,2.0,2023-01-01,22.0,1458.936,299.874,1.488,18.884,54.119,7.1553,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-01-11,27.5,1445.72,299.343,1.484,21.564,53.544,0.67,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-01-21,33.0,1456.316,297.061,2.224,27.987,55.824,0.5215,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-01-31,38.5,1456.916,295.632,2.526,28.399,62.83,0.396,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-02-10,44.0,1467.107,299.594,2.659,40.604,64.489,0.3232,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-02-20,49.5,1472.662,293.115,3.071,38.236,65.253,0.2991,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-03-02,55.0,1471.216,292.651,2.975,44.164,68.774,0.2487,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-03-12,60.5,1473.025,299.112,3.955,45.312,66.082,0.2805,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-03-22,66.0,1463.691,306.371,4.69,49.623,69.734,0.2868,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-04-01,71.5,1468.777,304.249,3.658,50.143,67.067,0.2035,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-04-11,77.0,1477.671,307.574,4.134,57.527,71.421,0.2119,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-04-21,82.5,1462.565,312.276,4.554,63.312,72.345,0.2095,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
EMB-01,0.0,2.0,2023-05-01,88.0,1472.514,305.54,4.748,63.245,69.388,0.1998,Clay (Mudstone Formation),low,University of Bath (synthetic reconstruction)
