cell_id,easting_m,northing_m,swelling_clay_index,compressible_ground_index,running_sand_index,corroded_asset_density_per_km2,ground_movement_potential,risk_class,dominant_soil,source_reference
BGS-0001,530000,160000,58.548,28.155,15.091,9.758,52.706,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0002,530000,160250,61.681,45.565,31.587,8.64,61.431,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0003,530000,160500,44.973,40.185,40.977,8.524,55.11,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0004,530000,160750,64.536,34.391,31.357,10.045,61.197,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0005,530000,161000,20.03,31.415,36.498,4.772,34.911,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0006,530000,161250,43.254,28.632,42.229,8.075,49.997,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0007,530000,161500,37.984,30.923,31.659,7.377,45.191,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0008,530000,161750,41.779,37.239,61.439,5.791,52.477,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0009,530000,162000,29.674,63.484,12.194,5.681,45.769,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0010,530000,162250,43.015,39.968,46.222,6.522,51.844,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0011,530000,162500,39.024,20.321,52.808,8.112,47.957,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0012,530000,162750,44.279,32.572,48.813,5.277,48.138,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0013,530000,163000,60.072,41.385,40.001,7.19,58.64,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0014,530000,163250,49.368,26.064,45.37,11.097,57.577,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0015,530000,163500,57.815,41.343,33.007,6.034,54.15,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0016,530000,163750,35.341,43.579,13.676,8.623,46.777,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0017,530000,164000,37.886,43.125,23.626,10.307,52.81,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0018,530000,164250,35.777,62.984,37.969,7.208,56.336,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0019,530250,160000,51.366,29.337,33.866,7.796,50.978,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0020,530250,160250,59.792,23.388,29.448,10.63,56.286,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0021,530250,160500,47.188,27.258,44.751,10.54,56.016,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0022,530250,160750,66.068,17.724,45.984,8.845,57.17,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0023,530250,161000,62.885,32.443,26.893,6.868,53.205,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0024,530250,161250,45.704,29.725,34.457,8.298,49.991,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0025,530250,161500,38.312,38.672,31.659,2.102,38.456,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0026,530250,161750,26.591,54.246,53.621,7.043,53.023,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0027,530250,162000,34.334,12.818,61.22,7.462,44.304,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0028,530250,162250,30.917,25.892,25.101,8.789,41.895,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0029,530250,162500,40.741,41.854,37.269,8.517,53.241,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0030,530250,162750,50.839,35.542,36.441,10.333,58.019,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0031,530250,163000,63.221,27.898,20.829,9.681,55.518,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0032,530250,163250,51.436,46.686,33.851,9.613,60.169,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0033,530250,163500,45.408,26.182,33.05,9.271,50.116,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0034,530250,163750,53.702,58.533,40.567,7.947,63.537,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0035,530250,164000,18.757,33.776,20.386,8.151,37.769,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0036,530250,164250,24.942,24.627,21.532,6.438,34.177,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0037,530500,160000,61.227,21.351,23.201,7.5,49.13,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0038,530500,160250,71.513,22.919,37.793,9.542,60.457,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0039,530500,160500,69.6,35.379,28.63,9.412,61.718,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0040,530500,160750,53.075,38.459,26.89,7.561,52.77,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0041,530500,161000,43.819,29.155,49.645,8.468,52.728,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0042,530500,161250,35.138,26.65,44.813,7.645,46.034,Moderate,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0043,530500,161500,61.885,17.946,33.686,7.313,50.192,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0044,530500,161750,52.304,28.857,39.618,8.888,54.401,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0045,530500,162000,67.502,32.317,57.676,8.108,63.922,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0046,530500,162250,57.048,60.527,49.662,8.966,69.323,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0047,530500,162500,47.619,23.138,31.159,4.65,41.187,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0048,530500,162750,35.387,17.193,23.203,7.098,37.174,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0049,530500,163000,39.771,30.84,21.595,5.052,39.443,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0050,530500,163250,43.385,40.41,56.913,8.091,57.31,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0051,530500,163500,42.548,34.378,29.232,7.604,47.975,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0052,530500,163750,39.164,50.252,25.683,6.964,50.154,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0053,530500,164000,39.78,31.761,14.36,6.49,40.756,Low,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0054,530500,164250,36.496,37.962,32.216,8.016,48.292,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0055,530750,160000,55.43,20.572,42.527,7.092,50.18,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0056,530750,160250,68.397,27.359,42.372,8.923,60.676,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0057,530750,160500,49.027,26.682,26.916,10.815,53.091,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0058,530750,160750,46.65,11.643,48.242,6.235,43.521,Low,Sand,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0059,530750,161000,61.233,23.497,43.606,6.723,52.952,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0060,530750,161250,65.288,47.759,48.492,9.137,68.163,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0061,530750,161500,61.872,31.763,49.571,3.236,51.041,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0062,530750,161750,58.029,43.939,39.885,9.671,63.172,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0063,530750,162000,47.112,27.806,29.701,9.993,51.878,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0064,530750,162250,55.125,33.52,18.21,5.492,46.236,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0065,530750,162500,43.998,25.983,37.236,9.611,51.046,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0066,530750,162750,47.121,42.546,40.196,10.686,60.45,High,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
BGS-0067,530750,163000,45.397,33.119,27.548,12.398,56.888,Moderate,Clay,British Geological Survey (BGS) style (synthetic reconstruction)
