case_id,soil_type,excavation_depth_m,excavation_width_m,prop_spacing_m,wall_thickness_m,stiffness_reduction_factor,max_wall_displacement_mm,toe_heave_mm,factor_of_safety,predicted_failure_mode,source_reference
LC-0001,London Clay,12,10,2.5,0.6,0.8,34.56,13.154,2.2633,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0002,London Clay,12,10,2.5,0.6,1.0,34.679,14.751,2.3052,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0003,London Clay,12,10,2.5,0.6,1.2,29.011,11.188,2.3006,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0004,London Clay,12,10,2.5,0.8,0.8,27.998,11.049,2.359,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0005,London Clay,12,10,2.5,0.8,1.0,29.636,11.796,2.3531,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0006,London Clay,12,10,2.5,0.8,1.2,22.595,9.625,2.4658,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0007,London Clay,12,10,2.5,1.0,0.8,25.452,8.556,2.4639,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0008,London Clay,12,10,2.5,1.0,1.0,16.141,2.58,2.4198,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0009,London Clay,12,10,2.5,1.0,1.2,13.223,5.118,2.4521,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0010,London Clay,12,10,3.5,0.6,0.8,40.63,19.621,2.1275,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0011,London Clay,12,10,3.5,0.6,1.0,33.373,12.542,2.2186,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0012,London Clay,12,10,3.5,0.6,1.2,30.759,14.37,2.274,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0013,London Clay,12,10,3.5,0.8,0.8,34.17,13.245,2.319,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0014,London Clay,12,10,3.5,0.8,1.0,34.6,12.951,2.2819,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0015,London Clay,12,10,3.5,0.8,1.2,32.39,12.405,2.3499,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0016,London Clay,12,10,3.5,1.0,0.8,38.26,14.274,2.3294,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0017,London Clay,12,10,3.5,1.0,1.0,28.534,9.122,2.3896,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0018,London Clay,12,10,3.5,1.0,1.2,21.782,6.793,2.3906,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0019,London Clay,12,10,4.5,0.6,0.8,48.7,19.11,2.0775,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0020,London Clay,12,10,4.5,0.6,1.0,45.836,16.294,2.173,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0021,London Clay,12,10,4.5,0.6,1.2,40.477,18.151,2.1681,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0022,London Clay,12,10,4.5,0.8,0.8,46.445,18.77,2.2866,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0023,London Clay,12,10,4.5,0.8,1.0,42.657,19.354,2.2128,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0024,London Clay,12,10,4.5,0.8,1.2,40.153,16.153,2.3661,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0025,London Clay,12,10,4.5,1.0,0.8,37.003,11.708,2.2637,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0026,London Clay,12,10,4.5,1.0,1.0,35.302,11.931,2.3674,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0027,London Clay,12,10,4.5,1.0,1.2,30.183,8.02,2.3236,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0028,London Clay,12,15,2.5,0.6,0.8,40.795,17.914,2.1339,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0029,London Clay,12,15,2.5,0.6,1.0,34.509,13.937,2.2112,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0030,London Clay,12,15,2.5,0.6,1.2,30.43,10.647,2.2098,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0031,London Clay,12,15,2.5,0.8,0.8,35.298,14.116,2.3068,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0032,London Clay,12,15,2.5,0.8,1.0,29.986,9.683,2.3066,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0033,London Clay,12,15,2.5,0.8,1.2,27.796,11.591,2.29,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0034,London Clay,12,15,2.5,1.0,0.8,30.302,7.805,2.3369,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0035,London Clay,12,15,2.5,1.0,1.0,25.868,9.57,2.3924,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0036,London Clay,12,15,2.5,1.0,1.2,23.538,6.42,2.4158,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0037,London Clay,12,15,3.5,0.6,0.8,47.653,20.136,2.0796,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0038,London Clay,12,15,3.5,0.6,1.0,42.383,20.739,2.1198,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0039,London Clay,12,15,3.5,0.6,1.2,41.675,16.935,2.1841,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0040,London Clay,12,15,3.5,0.8,0.8,42.339,17.102,2.1849,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0041,London Clay,12,15,3.5,0.8,1.0,33.425,11.102,2.2522,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0042,London Clay,12,15,3.5,0.8,1.2,33.072,10.375,2.2438,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0043,London Clay,12,15,3.5,1.0,0.8,40.505,12.661,2.4043,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0044,London Clay,12,15,3.5,1.0,1.0,30.781,8.766,2.3444,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0045,London Clay,12,15,3.5,1.0,1.2,28.387,7.958,2.2916,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0046,London Clay,12,15,4.5,0.6,0.8,50.284,18.833,2.0225,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0047,London Clay,12,15,4.5,0.6,1.0,45.002,17.486,2.1358,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0048,London Clay,12,15,4.5,0.6,1.2,48.947,18.731,2.1498,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0049,London Clay,12,15,4.5,0.8,0.8,46.84,16.562,2.1315,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0050,London Clay,12,15,4.5,0.8,1.0,44.217,19.173,2.073,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0051,London Clay,12,15,4.5,0.8,1.2,39.286,13.451,2.1873,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0052,London Clay,12,15,4.5,1.0,0.8,39.679,10.974,2.2081,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0053,London Clay,12,15,4.5,1.0,1.0,36.044,10.24,2.2531,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0054,London Clay,12,15,4.5,1.0,1.2,35.948,10.949,2.2599,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0055,London Clay,12,20,2.5,0.6,0.8,40.223,18.22,2.0979,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0056,London Clay,12,20,2.5,0.6,1.0,39.765,15.336,2.1501,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0057,London Clay,12,20,2.5,0.6,1.2,30.87,12.434,2.0864,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0058,London Clay,12,20,2.5,0.8,0.8,42.79,16.224,2.147,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0059,London Clay,12,20,2.5,0.8,1.0,35.887,11.148,2.1985,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0060,London Clay,12,20,2.5,0.8,1.2,25.907,7.424,2.168,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0061,London Clay,12,20,2.5,1.0,0.8,31.01,13.042,2.2769,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0062,London Clay,12,20,2.5,1.0,1.0,30.298,9.887,2.2994,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0063,London Clay,12,20,2.5,1.0,1.2,26.771,6.797,2.2805,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0064,London Clay,12,20,3.5,0.6,0.8,49.606,18.58,1.919,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0065,London Clay,12,20,3.5,0.6,1.0,44.845,18.794,1.9316,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0066,London Clay,12,20,3.5,0.6,1.2,37.139,14.883,2.0563,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0067,London Clay,12,20,3.5,0.8,0.8,46.255,16.763,2.086,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0068,London Clay,12,20,3.5,0.8,1.0,44.052,16.551,2.0966,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0069,London Clay,12,20,3.5,0.8,1.2,35.545,13.68,2.1736,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0070,London Clay,12,20,3.5,1.0,0.8,36.043,17.871,2.1704,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0071,London Clay,12,20,3.5,1.0,1.0,32.116,10.736,2.1263,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0072,London Clay,12,20,3.5,1.0,1.2,34.37,10.521,2.3,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0073,London Clay,12,20,4.5,0.6,0.8,55.937,21.392,1.95,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0074,London Clay,12,20,4.5,0.6,1.0,50.987,19.655,1.9409,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0075,London Clay,12,20,4.5,0.6,1.2,46.724,18.352,1.9886,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0076,London Clay,12,20,4.5,0.8,0.8,47.892,17.908,1.9455,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0077,London Clay,12,20,4.5,0.8,1.0,47.554,15.785,2.0845,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0078,London Clay,12,20,4.5,0.8,1.2,44.369,17.73,2.0877,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0079,London Clay,12,20,4.5,1.0,0.8,42.082,15.699,2.1212,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0080,London Clay,12,20,4.5,1.0,1.0,44.935,19.277,2.1793,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0081,London Clay,12,20,4.5,1.0,1.2,34.995,14.504,2.2295,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0082,London Clay,12,25,2.5,0.6,0.8,50.955,24.022,1.9725,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0083,London Clay,12,25,2.5,0.6,1.0,41.422,19.166,1.9538,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0084,London Clay,12,25,2.5,0.6,1.2,41.553,18.027,2.0087,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
LC-0085,London Clay,12,25,2.5,0.8,0.8,40.728,14.888,2.048,Serviceable,Zenodo / Imperial College London (synthetic reconstruction)
