hour,customer_type,tou_period,electricity_rate_kwh,rate_multiplier
0,commercial,off_peak,0.126,0.7
1,commercial,off_peak,0.126,0.7
2,commercial,off_peak,0.126,0.7
3,commercial,off_peak,0.126,0.7
4,commercial,off_peak,0.126,0.7
5,commercial,off_peak,0.126,0.7
6,commercial,off_peak,0.126,0.7
7,commercial,shoulder,0.216,1.2
8,commercial,shoulder,0.216,1.2
9,commercial,shoulder,0.216,1.2
10,commercial,shoulder,0.216,1.2
11,commercial,shoulder,0.216,1.2
12,commercial,shoulder,0.216,1.2
13,commercial,shoulder,0.216,1.2
14,commercial,shoulder,0.216,1.2
15,commercial,shoulder,0.216,1.2
16,commercial,off_peak,0.126,0.7
17,commercial,peak,0.324,1.8
18,commercial,peak,0.324,1.8
19,commercial,peak,0.324,1.8
20,commercial,peak,0.324,1.8
21,commercial,shoulder,0.216,1.2
22,commercial,shoulder,0.216,1.2
23,commercial,off_peak,0.126,0.7
