year,customer_type,electricity_price_kwh,natural_gas_price_therm,location,utility
2015,residential,0.24,1.2,New York,ConEd
2015,commercial,0.2,1.0,New York,ConEd
2015,industrial,0.16000000000000003,0.8,New York,ConEd
2016,residential,0.2472,1.224,New York,ConEd
2016,commercial,0.20600000000000002,1.02,New York,ConEd
2016,industrial,0.16480000000000003,0.8160000000000001,New York,ConEd
2017,residential,0.254616,1.24848,New York,ConEd
2017,commercial,0.21218,1.0404,New York,ConEd
2017,industrial,0.169744,0.8323200000000001,New York,ConEd
2018,residential,0.26225448,1.2734496000000002,New York,ConEd
2018,commercial,0.2185454,1.0612080000000002,New York,ConEd
2018,industrial,0.17483632000000002,0.8489664000000001,New York,ConEd
2019,residential,0.27012211440000006,1.298918592,New York,ConEd
2019,commercial,0.22510176200000004,1.08243216,New York,ConEd
2019,industrial,0.18008140960000005,0.865945728,New York,ConEd
2020,residential,0.27822577783200003,1.3248969638399999,New York,ConEd
2020,commercial,0.23185481486000004,1.1040808032,New York,ConEd
2020,industrial,0.18548385188800004,0.88326464256,New York,ConEd
2021,residential,0.28657255116696,1.3513949031168,New York,ConEd
2021,commercial,0.23881045930580003,1.126162419264,New York,ConEd
2021,industrial,0.19104836744464004,0.9009299354112001,New York,ConEd
2022,residential,0.29516972770196886,1.378422801179136,New York,ConEd
2022,commercial,0.24597477308497406,1.14868566764928,New York,ConEd
2022,industrial,0.19677981846797926,0.9189485341194241,New York,ConEd
2023,residential,0.30402481953302796,1.405991257202719,New York,ConEd
2023,commercial,0.2533540162775233,1.1716593810022657,New York,ConEd
2023,industrial,0.20268321302201864,0.9373275048018126,New York,ConEd
