Material,Temperature_C,CTE_1E-6_K,Linear_Expansion_percent,Measurement_Method
Ni-YSZ,25,11.2,0.000,Dilatometry
Ni-YSZ,100,11.5,0.086,Dilatometry
Ni-YSZ,200,11.8,0.265,Dilatometry
Ni-YSZ,400,12.2,0.707,Dilatometry
Ni-YSZ,600,12.6,1.238,Dilatometry
Ni-YSZ,800,13.0,1.858,Dilatometry
Ni-YSZ,1000,13.4,2.570,Dilatometry
Ni-YSZ,1200,13.8,3.375,Dilatometry
Ni-YSZ,1400,14.2,4.275,Dilatometry
8YSZ,25,10.2,0.000,Dilatometry
8YSZ,100,10.4,0.078,Dilatometry
8YSZ,200,10.6,0.241,Dilatometry
8YSZ,400,10.8,0.641,Dilatometry
8YSZ,600,11.0,1.121,Dilatometry
8YSZ,800,11.2,1.682,Dilatometry
8YSZ,1000,11.4,2.324,Dilatometry
8YSZ,1200,11.6,3.049,Dilatometry
8YSZ,1400,11.8,3.857,Dilatometry
LSM-YSZ,25,11.8,0.000,Dilatometry
LSM-YSZ,100,12.0,0.090,Dilatometry
LSM-YSZ,200,12.2,0.277,Dilatometry
LSM-YSZ,400,12.5,0.738,Dilatometry
LSM-YSZ,600,12.8,1.296,Dilatometry
LSM-YSZ,800,13.1,1.953,Dilatometry
LSM-YSZ,1000,13.4,2.711,Dilatometry
LSM-YSZ,1200,13.7,3.571,Dilatometry
LSM-YSZ,1400,14.0,4.535,Dilatometry
