Temperature_C,Elastic_Modulus_GPa,Standard_Deviation,Residual_Modulus_Ratio,Test_Method,Specimen_ID,Rubber_Content_Percent,Strain_Rate_per_s,Notes
20,32.5,1.8,1.000,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Reference_modulus
20,28.3,1.6,1.000,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Reduced_stiffness
20,24.8,1.4,1.000,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Further_reduction
20,21.5,1.2,1.000,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Lowest_stiffness
100,31.8,1.9,0.978,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Slight_decrease
100,27.7,1.7,0.979,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Slight_decrease
100,24.3,1.5,0.980,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Slight_decrease
100,21.1,1.3,0.981,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Slight_decrease
200,30.2,2.0,0.929,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Dehydration_effects
200,26.5,1.8,0.936,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Better_retention
200,23.4,1.6,0.944,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Better_retention
200,20.5,1.4,0.953,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Best_retention
300,27.8,2.2,0.855,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,C-S-H_degradation
300,24.9,2.0,0.880,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Less_degradation
300,22.4,1.8,0.903,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Good_retention
300,20.1,1.6,0.935,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Excellent_retention
400,24.1,2.4,0.742,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Significant_softening
400,22.3,2.2,0.788,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Moderate_softening
400,20.8,2.0,0.839,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Less_softening
400,19.2,1.8,0.893,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Minimal_softening
500,19.5,2.6,0.600,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Major_stiffness_loss
500,18.7,2.4,0.661,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Better_retention
500,18.0,2.2,0.726,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Good_retention
500,17.2,2.0,0.800,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Excellent_retention
600,14.3,2.8,0.440,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Severe_degradation
600,14.2,2.6,0.502,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Improved_performance
600,14.1,2.4,0.569,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Better_performance
600,13.9,2.2,0.647,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Best_performance
700,9.8,3.0,0.302,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Critical_damage
700,10.3,2.8,0.364,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Marginal_improvement
700,10.7,2.6,0.431,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Moderate_improvement
700,11.2,2.4,0.521,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Significant_improvement
800,6.2,3.2,0.191,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Near_zero_stiffness
800,7.1,3.0,0.251,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Low_stiffness
800,7.9,2.8,0.319,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Moderate_stiffness
800,8.7,2.6,0.405,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Better_stiffness
900,3.5,3.5,0.108,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Minimal_capacity
900,4.5,3.3,0.159,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Low_capacity
900,5.4,3.1,0.218,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Marginal_capacity
900,6.3,2.9,0.293,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Better_capacity
1000,1.8,3.8,0.055,Compression_Test_ASTM_C469,RC-EM-01,0,0.000025,Structural_collapse
1000,2.6,3.6,0.092,Compression_Test_ASTM_C469,RC-EM-02,10,0.000025,Near_collapse
1000,3.4,3.4,0.137,Compression_Test_ASTM_C469,RC-EM-03,20,0.000025,Severe_damage
1000,4.2,3.2,0.195,Compression_Test_ASTM_C469,RC-EM-04,30,0.000025,Major_damage
