Temperature_C,Compressive_Strength_MPa,Standard_Deviation,Residual_Strength_Ratio,Test_Method,Specimen_ID,Rubber_Content_Percent,Loading_Rate_MPa_s,Notes
20,48.5,2.8,1.000,ASTM_C39,RC-CS-01,0,0.50,Reference_strength
20,42.3,2.5,1.000,ASTM_C39,RC-CS-02,10,0.50,10%_rubber_replacement
20,36.8,2.3,1.000,ASTM_C39,RC-CS-03,20,0.50,20%_rubber_replacement
20,31.2,2.1,1.000,ASTM_C39,RC-CS-04,30,0.50,30%_rubber_replacement
100,51.2,3.1,1.056,ASTM_C39,RC-CS-01,0,0.50,Thermal_strengthening
100,44.8,2.8,1.059,ASTM_C39,RC-CS-02,10,0.50,Thermal_strengthening
100,39.1,2.5,1.063,ASTM_C39,RC-CS-03,20,0.50,Thermal_strengthening
100,33.5,2.3,1.074,ASTM_C39,RC-CS-04,30,0.50,Thermal_strengthening
200,48.9,3.2,1.008,ASTM_C39,RC-CS-01,0,0.50,Peak_strength
200,42.8,2.9,1.012,ASTM_C39,RC-CS-02,10,0.50,Peak_strength
200,37.4,2.6,1.016,ASTM_C39,RC-CS-03,20,0.50,Peak_strength
200,32.1,2.4,1.029,ASTM_C39,RC-CS-04,30,0.50,Peak_strength
300,45.2,3.4,0.932,ASTM_C39,RC-CS-01,0,0.50,Strength_decline_starts
300,40.1,3.1,0.948,ASTM_C39,RC-CS-02,10,0.50,Rubber_degradation_begins
300,35.3,2.8,0.959,ASTM_C39,RC-CS-03,20,0.50,Rubber_degradation
300,30.5,2.6,0.978,ASTM_C39,RC-CS-04,30,0.50,Better_retention_with_rubber
400,39.8,3.6,0.821,ASTM_C39,RC-CS-01,0,0.50,C-S-H_degradation
400,36.2,3.3,0.856,ASTM_C39,RC-CS-02,10,0.50,Rubber_voids_forming
400,32.4,3.0,0.880,ASTM_C39,RC-CS-03,20,0.50,Improved_retention
400,28.9,2.8,0.926,ASTM_C39,RC-CS-04,30,0.50,Porous_network_beneficial
500,32.5,3.8,0.670,ASTM_C39,RC-CS-01,0,0.50,Significant_degradation
500,30.8,3.5,0.728,ASTM_C39,RC-CS-02,10,0.50,Better_retention
500,28.6,3.2,0.777,ASTM_C39,RC-CS-03,20,0.50,Better_retention
500,26.5,3.0,0.849,ASTM_C39,RC-CS-04,30,0.50,Best_retention
600,24.8,4.0,0.511,ASTM_C39,RC-CS-01,0,0.50,Severe_damage
600,24.5,3.7,0.579,ASTM_C39,RC-CS-02,10,0.50,Improved_performance
600,23.8,3.4,0.647,ASTM_C39,RC-CS-03,20,0.50,Good_retention
600,22.9,3.2,0.734,ASTM_C39,RC-CS-04,30,0.50,Excellent_retention
700,17.2,4.2,0.355,ASTM_C39,RC-CS-01,0,0.50,Critical_degradation
700,18.1,3.9,0.428,ASTM_C39,RC-CS-02,10,0.50,Moderate_improvement
700,18.8,3.6,0.511,ASTM_C39,RC-CS-03,20,0.50,Significant_improvement
700,19.2,3.4,0.615,ASTM_C39,RC-CS-04,30,0.50,Superior_performance
800,11.5,4.5,0.237,ASTM_C39,RC-CS-01,0,0.50,Near_failure
800,13.2,4.2,0.312,ASTM_C39,RC-CS-02,10,0.50,Residual_strength
800,14.6,3.9,0.397,ASTM_C39,RC-CS-03,20,0.50,Better_residual_strength
800,15.8,3.7,0.506,ASTM_C39,RC-CS-04,30,0.50,Best_residual_strength
900,7.2,4.8,0.148,ASTM_C39,RC-CS-01,0,0.50,Minimal_capacity
900,9.1,4.5,0.215,ASTM_C39,RC-CS-02,10,0.50,Low_capacity
900,10.8,4.2,0.293,ASTM_C39,RC-CS-03,20,0.50,Improved_capacity
900,12.3,4.0,0.394,ASTM_C39,RC-CS-04,30,0.50,Better_capacity
1000,4.1,5.0,0.085,ASTM_C39,RC-CS-01,0,0.50,Structural_failure
1000,5.8,4.7,0.137,ASTM_C39,RC-CS-02,10,0.50,Near_failure
1000,7.4,4.4,0.201,ASTM_C39,RC-CS-03,20,0.50,Marginal_capacity
1000,9.2,4.2,0.295,ASTM_C39,RC-CS-04,30,0.50,Residual_capacity
