Temperature_C,Tensile_Strength_MPa,Standard_Deviation,Residual_Strength_Ratio,Test_Method,Specimen_ID,Rubber_Content_Percent,Failure_Mode,Notes
20,4.25,0.38,1.000,Split_Cylinder,RC-TS-01,0,Brittle_cleavage,Reference_tensile_strength
20,3.82,0.35,1.000,Split_Cylinder,RC-TS-02,10,Semi_ductile,Rubber_improves_ductility
20,3.48,0.32,1.000,Split_Cylinder,RC-TS-03,20,Semi_ductile,More_ductile_behavior
20,3.15,0.30,1.000,Split_Cylinder,RC-TS-04,30,Ductile,Highest_ductility
100,4.38,0.42,1.031,Split_Cylinder,RC-TS-01,0,Brittle_cleavage,Slight_increase
100,3.95,0.39,1.034,Split_Cylinder,RC-TS-02,10,Semi_ductile,Slight_increase
100,3.61,0.36,1.037,Split_Cylinder,RC-TS-03,20,Semi_ductile,Slight_increase
100,3.28,0.34,1.041,Split_Cylinder,RC-TS-04,30,Ductile,Slight_increase
200,4.12,0.45,0.969,Split_Cylinder,RC-TS-01,0,Mixed_mode,Beginning_of_decline
200,3.79,0.42,0.992,Split_Cylinder,RC-TS-02,10,Semi_ductile,Better_retention
200,3.49,0.39,1.003,Split_Cylinder,RC-TS-03,20,Semi_ductile,Better_retention
200,3.21,0.37,1.019,Split_Cylinder,RC-TS-04,30,Ductile,Best_retention
300,3.61,0.48,0.849,Split_Cylinder,RC-TS-01,0,Mixed_mode,Microcracking_evident
300,3.42,0.45,0.895,Split_Cylinder,RC-TS-02,10,Mixed_mode,Less_microcracking
300,3.26,0.42,0.937,Split_Cylinder,RC-TS-03,20,Semi_ductile,Rubber_voids_help
300,3.08,0.40,0.978,Split_Cylinder,RC-TS-04,30,Ductile,Best_performance
400,2.98,0.52,0.701,Split_Cylinder,RC-TS-01,0,Mixed_mode,Extensive_microcracking
400,2.91,0.49,0.762,Split_Cylinder,RC-TS-02,10,Mixed_mode,Moderate_cracking
400,2.83,0.46,0.813,Split_Cylinder,RC-TS-03,20,Mixed_mode,Reduced_cracking
400,2.74,0.44,0.870,Split_Cylinder,RC-TS-04,30,Semi_ductile,Minimal_cracking
500,2.25,0.56,0.529,Split_Cylinder,RC-TS-01,0,Fragmented,Severe_damage
500,2.31,0.53,0.605,Split_Cylinder,RC-TS-02,10,Mixed_mode,Better_integrity
500,2.36,0.50,0.678,Split_Cylinder,RC-TS-03,20,Mixed_mode,Good_integrity
500,2.42,0.48,0.768,Split_Cylinder,RC-TS-04,30,Semi_ductile,Excellent_integrity
600,1.58,0.60,0.372,Split_Cylinder,RC-TS-01,0,Fragmented,Critical_damage
600,1.72,0.57,0.450,Split_Cylinder,RC-TS-02,10,Fragmented,Moderate_improvement
600,1.86,0.54,0.534,Split_Cylinder,RC-TS-03,20,Mixed_mode,Good_improvement
600,2.01,0.52,0.638,Split_Cylinder,RC-TS-04,30,Mixed_mode,Significant_improvement
700,1.02,0.65,0.240,Split_Cylinder,RC-TS-01,0,Pulverized,Near_zero_capacity
700,1.21,0.62,0.317,Split_Cylinder,RC-TS-02,10,Fragmented,Residual_capacity
700,1.39,0.59,0.399,Split_Cylinder,RC-TS-03,20,Fragmented,Better_capacity
700,1.58,0.57,0.502,Split_Cylinder,RC-TS-04,30,Mixed_mode,Good_capacity
800,0.58,0.70,0.136,Split_Cylinder,RC-TS-01,0,Pulverized,Minimal_cohesion
800,0.76,0.67,0.199,Split_Cylinder,RC-TS-02,10,Pulverized,Low_cohesion
800,0.93,0.64,0.267,Split_Cylinder,RC-TS-03,20,Fragmented,Moderate_cohesion
800,1.11,0.62,0.352,Split_Cylinder,RC-TS-04,30,Fragmented,Better_cohesion
900,0.28,0.75,0.066,Split_Cylinder,RC-TS-01,0,Dust,No_cohesion
900,0.42,0.72,0.110,Split_Cylinder,RC-TS-02,10,Pulverized,Minimal_cohesion
900,0.56,0.69,0.161,Split_Cylinder,RC-TS-03,20,Pulverized,Low_cohesion
900,0.71,0.67,0.225,Split_Cylinder,RC-TS-04,30,Fragmented,Marginal_cohesion
1000,0.09,0.80,0.021,Split_Cylinder,RC-TS-01,0,Dust,Complete_loss
1000,0.18,0.77,0.047,Split_Cylinder,RC-TS-02,10,Dust,Nearly_complete_loss
1000,0.28,0.74,0.080,Split_Cylinder,RC-TS-03,20,Pulverized,Severe_loss
1000,0.38,0.72,0.121,Split_Cylinder,RC-TS-04,30,Pulverized,Major_loss
