Temperature_C,Poissons_Ratio,Standard_Deviation,Test_Method,Specimen_ID,Rubber_Content_Percent,Measurement_Technique,Notes
20,0.180,0.012,Compression_Test,RC-PR-01,0,Strain_Gauges,Typical_concrete_value
20,0.195,0.014,Compression_Test,RC-PR-02,10,Strain_Gauges,Rubber_increases_ratio
20,0.210,0.015,Compression_Test,RC-PR-03,20,Strain_Gauges,Higher_lateral_expansion
20,0.228,0.017,Compression_Test,RC-PR-04,30,Strain_Gauges,Highest_lateral_expansion
100,0.182,0.013,Compression_Test,RC-PR-01,0,Strain_Gauges,Minimal_change
100,0.198,0.015,Compression_Test,RC-PR-02,10,Strain_Gauges,Minimal_change
100,0.214,0.016,Compression_Test,RC-PR-03,20,Strain_Gauges,Minimal_change
100,0.232,0.018,Compression_Test,RC-PR-04,30,Strain_Gauges,Minimal_change
200,0.186,0.014,Compression_Test,RC-PR-01,0,Strain_Gauges,Slight_increase
200,0.203,0.016,Compression_Test,RC-PR-02,10,Strain_Gauges,Slight_increase
200,0.220,0.017,Compression_Test,RC-PR-03,20,Strain_Gauges,Slight_increase
200,0.239,0.019,Compression_Test,RC-PR-04,30,Strain_Gauges,Slight_increase
300,0.195,0.016,Compression_Test,RC-PR-01,0,Strain_Gauges,Microcracking_effects
300,0.213,0.018,Compression_Test,RC-PR-02,10,Strain_Gauges,Rubber_voids_forming
300,0.232,0.019,Compression_Test,RC-PR-03,20,Strain_Gauges,Increased_voids
300,0.253,0.021,Compression_Test,RC-PR-04,30,Strain_Gauges,Highest_void_content
400,0.210,0.019,Compression_Test,RC-PR-01,0,Strain_Gauges,Damage_accumulation
400,0.230,0.021,Compression_Test,RC-PR-02,10,Strain_Gauges,Porous_network
400,0.252,0.023,Compression_Test,RC-PR-03,20,Strain_Gauges,Higher_porosity
400,0.276,0.025,Compression_Test,RC-PR-04,30,Strain_Gauges,Highest_porosity
500,0.232,0.023,Compression_Test,RC-PR-01,0,DIC,Extensive_cracking
500,0.255,0.025,Compression_Test,RC-PR-02,10,DIC,Large_void_network
500,0.280,0.027,Compression_Test,RC-PR-03,20,DIC,Very_porous
500,0.308,0.029,Compression_Test,RC-PR-04,30,DIC,Extremely_porous
600,0.261,0.028,Compression_Test,RC-PR-01,0,DIC,Severe_damage
600,0.288,0.030,Compression_Test,RC-PR-02,10,DIC,Interconnected_voids
600,0.318,0.032,Compression_Test,RC-PR-03,20,DIC,High_void_connectivity
600,0.351,0.034,Compression_Test,RC-PR-04,30,DIC,Maximum_void_connectivity
700,0.298,0.035,Compression_Test,RC-PR-01,0,DIC,Critical_state
700,0.330,0.037,Compression_Test,RC-PR-02,10,DIC,Highly_damaged_matrix
700,0.365,0.039,Compression_Test,RC-PR-03,20,DIC,Very_weak_matrix
700,0.403,0.041,Compression_Test,RC-PR-04,30,DIC,Skeletal_structure
800,0.342,0.045,Compression_Test,RC-PR-01,0,DIC,Near_failure_state
800,0.379,0.047,Compression_Test,RC-PR-02,10,DIC,Minimal_integrity
800,0.420,0.049,Compression_Test,RC-PR-03,20,DIC,Very_low_integrity
800,0.465,0.051,Compression_Test,RC-PR-04,30,DIC,Loose_structure
900,0.395,0.058,Compression_Test,RC-PR-01,0,DIC_Estimated,Approaching_limit
900,0.438,0.060,Compression_Test,RC-PR-02,10,DIC_Estimated,Fragmented_matrix
900,0.485,0.062,Compression_Test,RC-PR-03,20,DIC_Estimated,Highly_fragmented
900,0.525,0.064,Compression_Test,RC-PR-04,30,DIC_Estimated,Maximum_fragmentation
1000,0.458,0.075,Compression_Test,RC-PR-01,0,DIC_Estimated,Theoretical_limit
1000,0.495,0.077,Compression_Test,RC-PR-02,10,DIC_Estimated,Near_incompressible
1000,0.535,0.079,Compression_Test,RC-PR-03,20,DIC_Estimated,Powder_like
1000,0.565,0.081,Compression_Test,RC-PR-04,30,DIC_Estimated,Powder_state
