frequency_hz,TL_dB_sensor1,TL_dB_sensor2,TL_dB_sensor3
0.0,-57.52214,-48.764503,-60.4434
9.765625,-55.712624,-49.912067,-61.42491
19.53125,-49.619217,-48.34158,-61.703194
29.296875,-50.72725,-49.4235,-61.48632
39.0625,-53.02567,-45.677917,-57.770123
48.828125,-51.84749,-49.07971,-55.260902
58.59375,-50.110947,-50.151894,-57.24044
68.359375,-47.025177,-49.105125,-54.89523
78.125,-46.735374,-46.190414,-48.395103
87.890625,-43.54881,-44.302845,-46.548927
97.65625,-37.324303,-44.139446,-44.647644
107.421875,-36.444107,-39.87813,-45.68609
117.1875,-34.336933,-33.152744,-44.86255
126.953125,-37.343708,-31.14663,-39.455315
136.71875,-31.01739,-28.619251,-32.7969
146.48438,-23.358381,-26.852835,-31.699045
156.25,-20.435411,-21.29293,-33.2714
166.01562,-19.26468,-18.072947,-28.912682
175.78125,-15.071157,-17.041946,-19.561325
185.54688,-12.407049,-13.256529,-19.178888
195.3125,-7.832445,-5.0014787,-12.94634
205.07812,-3.3428764,-5.4976416,-11.520695
214.84375,-4.0711966,-1.680615,-6.2584596
224.60938,2.7163467,-1.0165105,0.362917
234.375,-1.7553508,1.7121495,-2.694831
244.14062,-0.4354409,-1.3477236,-1.2964855
253.90625,-0.11295223,-0.6693875,0.803197
263.67188,0.07987097,0.27433237,-0.2076848
273.4375,0.18331157,0.18270949,-0.84391606
283.20312,-0.27282608,0.24973495,0.65200853
292.96875,0.13824682,0.36766845,-0.42406696
302.73438,0.007488046,0.0090449685,-0.5077544
312.5,0.2859887,-0.1788725,-0.6495993
322.26562,-0.14393535,-0.019802805,-0.7690582
332.03125,-0.37314788,-0.014481692,-0.28911954
341.79688,0.11867392,-0.098326735,-0.015517595
351.5625,0.421387,0.25849935,-0.0030488842
361.32812,0.06983091,0.16744846,0.0051311906
371.09375,-0.15494534,-0.18999316,0.15983275
380.85938,0.25131002,-0.13171281,0.11738408
390.625,0.44848526,0.116401844,-0.16357692
400.39062,0.27218214,0.13505208,-0.48391607
410.15625,0.11299581,-0.06011574,-0.533116
419.92188,0.06455427,0.12982452,-0.13655822
429.6875,0.11020899,0.4776891,-0.4429763
439.45312,0.1587323,0.29482836,-0.07498714
449.21875,0.013574075,0.14814514,0.17477787
458.98438,-0.019079685,0.1381069,0.19178244
468.75,-0.35487372,-0.07165681,0.5027123
478.51562,-0.15013003,0.34082025,0.10181098
488.28125,0.26905236,0.21457227,-1.6840429
498.04688,0.02208763,0.21170346,-2.1497033
507.8125,0.09670877,-0.7375437,-0.34569913
517.5781,-0.49021992,-0.021966899,0.51448697
527.34375,-0.2059671,0.28281888,1.048968
537.1094,0.6798079,1.0294344,1.0751361
546.875,0.6378161,-0.24427885,1.2096975
