sample_id,peak_temp_c,ramp_rate_c_per_min,hold_time_min,cool_rate_c_per_min,pressure_mpa,atmosphere,green_rel_density,green_porosity_pct,powder_particle_size_d50_um,green_pore_size_d50_um,grain_size_d10_um,grain_size_d50_um,grain_size_d90_um,pore_size_d10_um,pore_size_d50_um,pore_size_d90_um,gb_high_angle_fraction,gb_mean_misorientation_deg,relative_density_final,final_porosity_pct
SPM-42-0000,1419.7134,2.4502,57,6.9505,0.0,air,0.5154,48.4626,2.4718,1.9306,6.7885,10.0465,14.8682,0.5971,0.83,1.1539,0.6027,32.5214,0.8698,13.0173
SPM-42-0001,1534.6502,15.6585,108,4.8739,0.0,vacuum,0.5233,47.6678,2.8741,2.871,7.5996,11.3517,16.9562,0.9179,1.2723,1.7635,0.6604,34.0007,0.8974,10.2641
SPM-42-0002,1409.2599,17.5107,180,12.3923,0.0,argon,0.5992,40.0811,1.2196,1.3777,2.5237,3.9285,6.1153,0.4654,0.661,0.9389,0.6559,35.1913,0.8698,13.0239
SPM-42-0003,1234.9739,18.657,56,14.3869,42.9283,nitrogen,0.6164,38.36,1.1825,1.4831,1.3617,1.9857,2.8957,0.4122,0.6196,0.9313,0.5397,35.3607,0.9004,9.9606
SPM-42-0004,1231.3708,12.5225,102,18.1608,0.0,nitrogen,0.6496,35.0401,0.7647,0.7023,1.348,2.0371,3.0787,0.247,0.3876,0.6083,0.6544,37.9138,0.8451,15.4897
SPM-42-0005,1157.2759,17.9262,164,15.5158,0.0,nitrogen,0.544,45.5975,3.1677,2.3048,5.7394,8.6496,13.0354,0.7806,1.2212,1.9103,0.6504,39.2162,0.8376,16.2448
SPM-42-0006,1561.217,18.5329,125,12.781,0.0,air,0.6394,36.0635,1.237,0.8941,2.6486,4.275,6.9,0.2929,0.4181,0.5968,0.7244,37.9472,0.9092,9.0782
SPM-42-0007,1205.8991,11.7073,51,15.1388,22.9547,air,0.6008,39.9247,0.4565,0.6441,0.7284,1.0352,1.4712,0.2215,0.3337,0.5027,0.5203,31.7338,0.855,14.4997
SPM-42-0008,1133.7002,2.5654,131,7.9477,0.0,argon,0.6003,39.9653,1.0994,2.0134,1.9427,3.0618,4.8254,0.7528,1.0676,1.5141,0.6277,31.3901,0.8599,14.0143
SPM-42-0009,1436.6823,19.715,103,3.7715,41.0267,argon,0.5164,48.361,0.8009,0.7161,2.0447,2.8043,3.846,0.233,0.285,0.3485,0.6702,37.082,0.9182,8.1753
SPM-42-0010,1370.294,2.2656,60,3.6787,0.0,hydrogen,0.5728,42.7154,0.9555,0.7437,2.6318,3.9649,5.9733,0.2086,0.3787,0.6874,0.5973,30.9546,0.859,14.1
SPM-42-0011,1177.3984,7.3407,148,19.4368,7.7431,air,0.547,45.2959,0.6664,1.5708,1.0643,1.5473,2.2494,0.5127,0.7493,1.095,0.6138,32.7234,0.8706,12.9434
SPM-42-0012,1570.7981,12.2542,10,12.4205,23.8651,air,0.5876,41.2449,2.0848,1.3653,4.8364,6.7505,9.4221,0.4589,0.6768,0.998,0.5728,26.5068,0.8819,11.8145
SPM-42-0013,1598.0482,3.3187,67,5.8368,0.0,argon,0.5524,44.7649,0.8755,0.7779,1.8645,3.2414,5.6352,0.2413,0.3165,0.415,0.6804,33.3951,0.9145,8.5502
