temperature_C,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,thermal_diffusivity_m2_s,volumetric_heat_capacity_J_m3K
20,1.3041358524248117,874.0456817174558,2283.377652891182,6.534478848920632e-07,1995776.3772396774
30,1.2805460989951523,951.0633227513466,2282.551076807953,5.89882183617752e-07,2170850.611458636
40,1.249728039925297,930.295737048101,2285.5393692798184,5.877677816978369e-07,2126227.5320966206
50,1.2428829170573654,878.1211897687177,2276.4246361856926,6.217595787250646e-07,1998976.7099462007
60,1.1837657709318758,940.7791137620435,2295.721121523659,5.480989638067069e-07,2159766.4821518324
70,1.2222829346076947,919.5630853509435,2270.325036696388,5.854666764537004e-07,2087707.0954940247
80,1.1965718517687678,915.4575080971175,2277.21503742582,5.739797204364258e-07,2084693.6035631252
90,1.1803935277263926,935.0683919545106,2283.978665539381,5.527024628757651e-07,2135676.258044318
100,1.1680279153615662,935.056980809064,2283.4154230738254,5.4705402201157e-07,2135123.5314322626
110,1.1489834885109902,2345.2690410764935,2293.340431866381,2.1362525260037338e-07,5378500.315505219
120,1.1523432030676777,2330.8735545792515,2284.491565288728,2.164081294209517e-07,5324860.975190856
130,1.1115183938053061,1496.8086559815358,2254.6241501583677,3.2936406446265877e-07,3374740.943942059
140,1.105617979592431,1063.9761653227454,2251.0520360651526,4.616232337445215e-07,2395065.7132745595
150,1.1033333808623682,946.9814311030059,2246.1940095732098,5.187021281849107e-07,2127104.017720637
160,1.118168544820943,950.14610819505,2217.9548565585574,5.305962480953746e-07,2107381.1751114237
170,1.1080300774410938,902.4207946611547,2236.3995411074025,5.49026188435806e-07,2018173.4510659839
180,1.0405432749976482,924.8433481665093,2207.677142410739,5.096316697937378e-07,2041755.5200578196
190,1.0646651444634578,951.4400389003985,2203.2640441625376,5.078846245550491e-07,2096273.627885854
200,1.0275467333501325,921.8107316973477,2202.2256367040713,5.061718734858037e-07,2030035.2255328374
210,1.0219070711910514,1021.1385171857061,2186.9185737511234,4.5760855307290516e-07,2233146.7896061013
220,1.0223208856193324,1075.140598017896,2189.6250124140697,4.34262398284678e-07,2354154.745281806
230,1.035644321013376,1049.3796567167267,2172.636912894414,4.5424570899038997e-07,2279920.977823229
240,1.0073674899684018,1078.3836980185074,2164.3754346947208,4.316005813345045e-07,2334027.1851665075
250,0.9702226368437551,1094.4084176345125,2183.446758805151,4.0602181839399463e-07,2389582.5122931506
260,1.0313134055529598,1121.4420925432573,2172.2049344442166,4.233631111985216e-07,2436002.0471159113
270,1.0004102341206205,1107.987062064287,2160.6849073347666,4.1788039674676324e-07,2394010.9225244946
280,0.955862865993103,1127.0025474380063,2159.822320606028,3.9269255479442966e-07,2434125.25733646
290,0.969995510644677,1113.6386049943335,2151.636551910291,4.0481494102072813e-07,2396145.528124194
300,0.9768414907103447,1133.5003112046109,2175.694977633769,3.9609963735398186e-07,2466150.934234186
310,0.9354618473678282,1176.6190596486938,2148.282434320624,3.700827333843283e-07,2527710.0577301392
320,0.9301611787248072,1156.4493862548181,2160.7563438450197,3.722423515646221e-07,2498805.347685778
330,0.9161022007830882,1201.5761146142436,2143.2700407502734,3.5572611267788603e-07,2575302.088133825
340,0.9186737180587639,1185.8029664863839,2144.58584504571,3.6124789436007775e-07,2543056.2569399113
350,0.8914628577099435,1204.0940106324047,2143.9527036581126,3.45324710719237e-07,2581520.6095538842
360,0.8771824435157783,1208.069067156444,2143.631804661958,3.387255640256591e-07,2589655.274584856
370,0.8756651031661474,1217.9453525776073,2142.164517776026,3.3562740769326223e-07,2609039.318881962
380,0.8483993152401782,1222.337925056514,2120.8573651132747,3.2726349260214534e-07,2592404.3910133857
390,0.8477694086577774,1259.041901382048,2110.094096523689,3.191065619719811e-07,2656696.8833822203
400,0.8302813760428408,1255.2580711281269,2129.726469053885,3.105763955787525e-07,2673356.339575096
410,0.8263232173001942,1231.9135010517668,2126.6878119897374,3.1540312961863115e-07,2619895.4281123993
420,0.8275172434245756,1214.2475366634762,2112.747446599318,3.2256870863766004e-07,2565398.3826252716
430,0.827426109181064,1238.3295389334644,2127.115589266947,3.1412456318980896e-07,2634070.0669151233
440,0.8172066912302964,1212.6193779100613,2110.9535476466426,3.1924840288638126e-07,2559783.177744309
450,0.8400712248658743,1228.7945550863672,2116.512189877011,3.230100660626115e-07,2600758.6546947947
460,0.8119654727355253,1252.4095429486247,2091.2327374599713,3.1001936683607837e-07,2619079.8369214437
470,0.8148668554472885,1260.1642173793305,2114.777634727139,3.0576994910399594e-07,2664967.1029972364
480,0.8153916580511423,1216.1495291668616,2098.617005866334,3.1948178353181314e-07,2552232.0835859105
490,0.8052159295376133,1255.2873228376825,2108.633284050223,3.0420626757432757e-07,2646940.6299818354
500,0.7912185069181219,1280.8106897756625,2098.2967820636622,2.9440459144128433e-07,2687520.948789012
510,0.7829275707948076,1210.3907355495514,2098.516849098017,3.082361244981281e-07,2540025.352542876
520,0.7970793298932047,1247.7893567343938,2094.9204140606125,3.049247955667083e-07,2614019.3958704416
530,0.7597121650720168,1252.058056234021,2077.748915918336,2.920327440928017e-07,2601462.269007056
540,0.8033966122631001,1242.4261296424775,2098.7571472655245,3.0810392535945676e-07,2607550.7195365927
550,0.7522219652385109,1249.3431442873073,2095.5714072152923,2.873173212829761e-07,2618087.7709689303
560,0.7459608491143283,1206.3329732285627,2089.735874861608,2.959084979594531e-07,2520917.291184195
570,0.7246217552244038,1249.0833918881121,2093.04132541383,2.7716738955290657e-07,2614383.1581098964
580,0.7432921126035903,1246.6051696448214,2084.9099740837282,2.8598502564117354e-07,2599059.551936826
590,0.7337569197759197,1228.0613199495672,2102.1438251685445,2.842298794367831e-07,2581561.5206603147
600,0.6885521656459578,1265.3450622309547,2094.808602002533,2.597667287480934e-07,2650655.7208628342
610,0.7288046847894813,1202.8483934324245,2081.992974718532,2.910187717477763e-07,2504321.9047777806
620,0.6927068995256123,1252.3905010485726,2073.863145584407,2.6670407691163937e-07,2597286.504004624
630,0.7265347465741367,1236.5598870610377,2082.49035700587,2.8213582534321363e-07,2575124.0406648787
640,0.6816021122011539,1188.2169214558403,2071.749018182176,2.7688412281270905e-07,2461687.2404135847
650,0.6624231560128351,1209.576765516706,2079.084442418917,2.634085943944191e-07,2514812.2350971783
660,0.6966820677967901,1205.327692077548,2064.6290198180336,2.799545113403033e-07,2488554.5314536
670,0.6851535768418783,1183.7309997494226,2079.00553119902,2.784064312727238e-07,2460983.2959307954
680,0.6558498913933805,1234.2163692143895,2068.693647243136,2.56872118857889e-07,2553215.5623172964
690,0.656683973753101,1195.7647483844864,2066.4451434471525,2.657582715908284e-07,2470982.257004428
700,0.6742928110694881,1185.9699671158355,2058.5563880214145,2.761926204051888e-07,2441386.05180785
710,0.6617545406171048,1194.6432549589697,2044.2330431155947,2.709744169718727e-07,2442129.2165222936
720,0.685133348959832,1190.2863533257885,2032.4748355254223,2.832034083241704e-07,2419227.0602039867
730,0.6401100202890191,1180.8343254159174,2030.022414215761,2.6703293149677267e-07,2397120.14806966
740,0.6266618556093347,1180.9080990865077,2055.71279820367,2.581396515760884e-07,2427607.8927945015
750,0.6184911453154365,1147.3680672716712,2036.6633074317122,2.6467412649252344e-07,2336802.442731053
760,0.6169218958107979,1180.707918862087,2040.1323994282998,2.56111662652372e-07,2408800.4795321035
770,0.647745551772355,1151.9311016059246,2042.3083337674545,2.7533195947960337e-07,2352598.488735704
780,0.6325128972402624,1184.1808948414002,2045.484886017535,2.6112897287676056e-07,2422224.122708804
790,0.6517033290454712,1142.0985606918875,2035.8392054932187,2.802869525293433e-07,2325129.026393921
800,0.6393978064885949,1117.9671899898206,2024.8607090092546,2.8245348051376187e-07,2263727.836971872
810,0.6573183263449612,1145.8528587583858,2012.0215806313947,2.85111183985585e-07,2305480.6800500494
820,0.587120726313393,1114.6921651679577,2019.80665272011,2.607730250679251e-07,2251462.6509412243
830,0.5841502856296706,1167.0796390792352,2041.584070254406,2.451640756735066e-07,2382691.199862428
840,0.588005271562027,1106.9106558844992,2025.4122677258094,2.6227398512893057e-07,2241950.4217048865
850,0.6068493883711245,1139.700533813324,2016.975711459489,2.6399122934895236e-07,2298748.2950388887
860,0.616584609701788,1155.6878439505688,2015.1487496373675,2.6475552122972545e-07,2328882.9137080936
870,0.5687055700386429,1161.428965508182,2025.0077435208345,2.418065944830474e-07,2351902.648703461
880,0.5634034185406502,1155.873950125934,1998.641900826943,2.4387877990683136e-07,2310178.108796044
890,0.5604345001338805,1160.921470687136,2009.524658606923,2.4023079547647525e-07,2332900.3220520136
900,0.5698504072171844,1125.6636571605338,1997.1558414191002,2.534779950054004e-07,2248125.7483713473
910,0.5552611714200226,1119.3313952551296,1995.078848422581,2.48644327345067e-07,2233154.3910488444
920,0.55792791802883,1139.186440441954,1989.071928995424,2.46225369658916e-07,2265923.770575308
930,0.5516746973501983,1127.5064817576895,2005.8929104247006,2.4392497817527254e-07,2261657.2582156463
940,0.5351087715220368,1122.6932583602897,1970.6359603267879,2.418658492990464e-07,2212419.7073412403
950,0.5309288337224921,1149.2954404977559,1983.3353830467586,2.329209045760308e-07,2279438.31271351
960,0.5776185935311291,1093.1456870931493,1988.4064011270261,2.657406338188327e-07,2173617.8815804194
970,0.540152533570376,1138.7746456634634,1978.6628084433778,2.397214177753398e-07,2253251.038572581
980,0.5566213197060556,1140.026896162574,1982.7912822536885,2.4624517996033626e-07,2260435.391245883
990,0.526521328047235,1121.0843436637156,1974.692586375838,2.378363245634946e-07,2213796.9421347613
1000,0.5043341728546463,1155.4020549142056,1972.78404044313,2.212614299280234e-07,2279358.7342299414
1010,0.5178921357330157,1174.9692699824757,1933.7811822565307,2.2793209286936753e-07,2272133.4640218047
1020,0.5482481335850554,1140.97069065733,1963.3778518881522,2.447365231415859e-07,2240156.5836901297
1030,0.504252533890021,1132.91653885448,1963.701736373076,2.2665987671859577e-07,2224710.174514318
1040,0.512561797895864,1129.0601669930234,1963.3509383620587,2.3122309717980835e-07,2216741.3383329753
1050,0.4826356072853114,1148.8788826326013,1958.824949653397,2.1446157236023648e-07,2250452.619430656
1060,0.5467418170105307,1165.667566784386,1958.245764924707,2.395192277860079e-07,2282663.5759656117
1070,0.5062376721702111,1125.1844302861664,1949.0945022930864,2.3083297560662814e-07,2193090.7871365454
1080,0.4911077314119363,1137.6839622890686,1960.9097589934743,2.201392727062005e-07,2230895.5843029986
1090,0.5315367475569026,1161.0800504165506,1958.5417522987345,2.3374282965915468e-07,2274023.756501934
1100,0.5081174701382494,1137.2722465502632,1953.408780033109,2.287212683735072e-07,2221557.5916992626
1110,0.554119341953079,1139.8678452334934,1959.3986808455988,2.480995609629317e-07,2233455.5522888224
1120,0.5278449030899302,1142.5141021830977,1958.150064913212,2.3593848784347909e-07,2237214.063354093
1130,0.5315531181703737,1148.0238536681336,1982.146431965917,2.3359310696746487e-07,2275551.385360053
1140,0.5130974619075038,1110.0228291682115,1970.1654955407876,2.3462011689534238e-07,2186928.6772897765
1150,0.5479571062767717,1163.2806746196404,1961.7533977791209,2.401140852192766e-07,2282069.8160058674
1160,0.5197035162293498,1156.1444817522924,1976.6280842690708,2.2741472568904694e-07,2285267.6521042916
1170,0.5202034295220331,1176.1552118673574,1957.3274193814996,2.2596703839768227e-07,2302120.8456364353
1180,0.5288927728094369,1140.308980307748,1974.3333213581466,2.3492249936318936e-07,2251350.0164655177
1190,0.5171196267949996,1146.359614316628,1965.5665606353657,2.2949984078683324e-07,2253246.124363619
1200,0.5125799206216701,1111.3143762470331,1968.0046337639897,2.3436812214984854e-07,2187071.842022699
