temperature_C,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,thermal_diffusivity_m2_s,volumetric_heat_capacity_J_m3K
20,1.28731972017728,947.0540533719786,2267.1794969883567,5.995504724700351e-07,2147141.532344667
30,1.236521473417691,922.4168665813542,2261.698651895993,5.927064972821366e-07,2086228.9836331748
40,1.2494728601445941,956.4936330185026,2282.6995129079564,5.72263435337144e-07,2183387.5501908977
50,1.2192306203155654,965.0147472542574,2279.908196778394,5.541592042474301e-07,2200145.032277012
60,1.2341624682650836,916.9488963681541,2265.2068526144335,5.941817878328425e-07,2077078.9235503848
70,1.1861915815894133,954.9390497968467,2255.0304599897804,5.508416517977511e-07,2153416.644725587
80,1.223171121211101,939.2622394783574,2277.041047474978,5.719123782111808e-07,2138738.6736354926
90,1.1596418966234177,960.5376039123145,2269.5271148432075,5.319540872637304e-07,2179966.1369055226
100,1.1830710214665077,979.4023286561722,2268.810084146455,5.324165423178964e-07,2222077.879691644
110,1.1534157043366415,2344.919498499277,2267.2206133612744,2.16952241174422e-07,5316449.823670343
120,1.1276029923253086,2322.7276330060777,2231.814083773201,2.1752036291351987e-07,5183896.244112155
130,1.1174803794050874,1509.3949294575996,2249.4493157246116,3.2912495118781694e-07,3395307.3912265957
140,1.0998613901705232,1038.4928646012934,2248.1974573034504,4.7108577191688704e-07,2334737.0176244043
150,1.1077276030556582,965.4644559336317,2226.1338321922244,5.154011915379189e-07,2149253.0891329166
160,1.0902614217797444,968.0032514775842,2210.6036535798453,5.09498542015856e-07,2139871.5243935175
170,1.0798830684597147,935.3286847568465,2184.0554364716772,5.286263664587206e-07,2042809.6988310942
180,1.0448831954860118,960.8149819826024,2200.047350302093,4.9430607759792e-07,2113838.4552413775
190,1.0374852395524339,959.8758309841322,2176.9019713833513,4.965099972151425e-07,2089555.58875259
200,1.024185222607429,928.7284178733092,2180.447455485679,5.057596119407278e-07,2025043.5155890973
210,1.0358186405693837,1056.5674618681971,2199.6446618401965,4.4569109948538295e-07,2324072.977372425
220,1.0261632352837566,1095.189247590589,2179.5502646926284,4.298930168415983e-07,2387020.014474589
230,0.9938999494217498,1065.9672581102886,2158.935305890403,4.318761037768577e-07,2301354.34845749
240,0.9879107072674369,1089.9896201431184,2183.197038623115,4.151474710518306e-07,2379662.1108263903
250,1.0273090506445792,1093.2451863563388,2168.658187626327,4.333037366833796e-07,2370875.124474744
260,0.9663920699440914,1089.0227778283493,2158.637582783782,4.1108976105816987e-07,2350805.4967278675
270,0.990874265409095,1090.7507261825124,2164.1579014288077,4.197629408179128e-07,2360556.802557094
280,0.9776994197794703,1169.282365861416,2168.1916247800314,3.8564552381630167e-07,2535228.2326637027
290,0.9296829369512548,1168.857458498281,2162.7300946844853,3.677654986733527e-07,2527923.201890654
300,0.918438502709426,1123.0410415230683,2132.659122141313,3.834714268232238e-07,2395063.721743253
310,0.9537892844110428,1176.151121542445,2130.424761704854,3.806476129535248e-07,2505701.47284096
320,0.941728772804739,1160.873509242576,2157.5355439742357,3.759957878352028e-07,2504625.8582489607
