temperature_C,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,thermal_diffusivity_m2_s,volumetric_heat_capacity_J_m3K
20,1.2219134579843745,969.970394654618,2172.2354113718757,5.799293381604882e-07,2107004.0392511147
30,1.1904614552144472,983.7657204402881,2170.7957817736815,5.574484137444867e-07,2135554.476185324
40,1.1727315912050587,993.3178458422972,2151.3031096754817,5.487932757056522e-07,2136927.7706566844
50,1.147387423748738,967.1325368402423,2177.8681731783136,5.447440593197646e-07,2106287.1712295664
60,1.1318233581906794,986.7916510617297,2159.3588834370953,5.311636645014791e-07,2130837.3178217043
70,1.12914934562288,968.8355201746039,2156.244908831395,5.405093952153999e-07,2089046.657871506
80,1.106101756388992,955.5302255417455,2153.4305170232665,5.375511426265422e-07,2057667.9476197194
90,1.1154398835076407,987.0709197339203,2148.365557218246,5.260047071517025e-07,2120589.16648809
100,1.087997251688628,941.5237372037224,2164.4777743257514,5.338796830357066e-07,2037907.2031775767
110,1.0758331642117402,2406.581538664281,2177.794775427892,2.0527090428714712e-07,5241040.7015442895
120,1.0599566573613073,2394.444037646131,2134.822844734006,2.0735837180966402e-07,5111713.832004094
130,1.0839122384828503,1582.8207419322666,2130.034684869522,3.2149610204349526e-07,3371463.080246639
140,1.0529417904638776,1084.242328497925,2108.3155296115706,4.606195822460639e-07,2285924.939034385
150,1.0332526156980737,953.4828046078891,2127.3220282116135,5.094017245727801e-07,2028364.9737633523
160,1.0396648296037152,966.0565271420386,2102.0376814373035,5.119768411941094e-07,2030687.2224510242
170,1.0014306181775332,910.5898009689802,2127.1266028976215,5.170169064438949e-07,1936939.7899683681
180,0.989068061812583,923.4428050581984,2094.8942199427956,5.11274435447398e-07,1934514.9947641816
190,1.0206730870301914,997.0072965367305,2084.9533914533854,4.910118528196625e-07,2078713.7442180272
200,0.9989089891622448,975.7133802215321,2077.682096511163,4.927476517429632e-07,2027222.2214126664
210,0.9941817869225003,1066.6348805368473,2056.283641394764,4.5328046276723485e-07,2193303.856188977
220,0.980204414501151,1118.5221654585569,2060.421819815659,4.2532011132132103e-07,2304627.4756582715
230,1.0047747172961736,1100.0417433757516,2069.1358588562366,4.414388234611294e-07,2276135.8174574976
240,0.9575678784688846,1136.5407107374997,2083.548942289704,4.043718045583243e-07,2368038.1957263057
250,0.9051456167444721,1143.1496991018328,2069.402301577574,3.8262242379749457e-07,2365636.618369044
260,0.9493413566791487,1109.339733435747,2060.872897564417,4.1524711550214573e-07,2286208.1908290656
270,0.9275293574016906,1131.2829010392677,2051.3102278750166,3.996916689434101e-07,2320612.18552197
280,0.8966803300069327,1161.408698498627,2035.3991925546848,3.79317579587023e-07,2363930.327150093
290,0.8826541133008459,1177.9942527246437,2048.8771281005006,3.6570547602202673e-07,2413565.481441363
300,0.9117566482943797,1171.0436509323235,2039.6522878629196,3.8172422152456313e-07,2388521.86181146
310,0.8659717019711702,1175.0131089007116,2027.370510572607,3.635196265792869e-07,2382186.926521542
320,0.8788844754603046,1210.6697650090969,2028.0962635518767,3.5794601491552593e-07,2455354.826810178
330,0.8869228398806561,1213.0834966825369,2030.8637542176307,3.600098271952032e-07,2463607.3042521477
340,0.8767360674968875,1192.7925602303326,2028.647024391301,3.6232430110721284e-07,2419755.078027346
350,0.8617305840357585,1208.9823092240676,2039.2057936710517,3.4953486731146673e-07,2465363.7294155257
360,0.8428254298491779,1267.361488347308,2010.5866637389825,3.307610235652581e-07,2548140.1066074856
370,0.8528818781156432,1258.6790896807008,2020.6417377420732,3.353393745109085e-07,2543339.503032022
380,0.8172484831376438,1283.802956520016,2027.0893777891788,3.1403847070749367e-07,2602383.3363360674
390,0.8354856706800288,1278.0652747702586,2007.2576725701142,3.2567381677182807e-07,2565406.3288280326
400,0.8230888987538817,1263.5656152683716,2008.5307300184108,3.2431756032125495e-07,2537910.367661145
410,0.7732727471917938,1313.8443667086765,2005.5059937637445,2.9347074653887373e-07,2634922.752306982
420,0.8080304698358637,1286.819476610032,1999.6564217468572,3.1401813510929844e-07,2573196.8300321805
430,0.8048203549939206,1333.242877834159,1992.6618602553008,3.0293961625108944e-07,2656702.233117146
440,0.7617295970562437,1262.9578426364135,2011.513152740529,2.998396758535677e-07,2540456.311819949
450,0.7596766521450339,1275.9619722652756,2013.4871469747802,2.9569377798810153e-07,2569133.031184723
460,0.7512634942531813,1298.8221674394358,1993.2098878021484,2.901947563439519e-07,2588825.186636901
470,0.750758602789425,1267.4973083686873,2007.0109398481266,2.951233227408304e-07,2543880.96412401
480,0.7496968046822667,1277.081734969541,1985.3826649736577,2.956805386035416e-07,2535495.9383630096
490,0.7730328361963239,1258.7500066337352,2001.4479847106002,3.0684153611323404e-07,2519322.664031544
500,0.7476370032517079,1271.518511387793,1991.5588263816792,2.9523984030549476e-07,2532303.914262053
510,0.758486551011289,1270.5996541745947,1986.621015621361,3.0048591965608343e-07,2524199.9754244834
520,0.7518437541730784,1289.7557923144716,1986.8626774569257,2.9339469540122367e-07,2562567.6467835098
530,0.7225067519201634,1256.1154002756418,1986.4745490257362,2.895538638507878e-07,2495241.2732868376
540,0.7028132346354482,1288.7028962281734,1982.6376983775583,2.750703416201387e-07,2555030.944070319
550,0.6915621160817784,1278.7987474440367,1971.4464949767282,2.7431148894189987e-07,2521083.3084291765
560,0.6871818725561823,1310.1146641167709,1980.8983337794423,2.6478915893177313e-07,2595203.955208925
570,0.709707383254938,1318.4974543300598,1990.9970832579097,2.703518861844886e-07,2625124.585854128
580,0.6879479666337791,1306.1672611914548,1960.4491719145237,2.686588864614522e-07,2560674.525584649
590,0.7057785981812345,1260.301273114777,1956.1619555752825,2.862788747908298e-07,2465353.40303022
600,0.6770249035312548,1276.5898650128681,1968.3230985464145,2.694367695152311e-07,2512741.3186750775
610,0.6749755611450857,1239.2331344878999,1962.0544394953786,2.776028869996871e-07,2431442.8730917573
620,0.6689277583592641,1281.937341740336,1950.4623162440816,2.6753145765895373e-07,2500370.476850637
630,0.6688566420755875,1250.7470103695264,1961.7786754070496,2.7259228572821753e-07,2453688.8132720566
640,0.6738326643782063,1271.5352520178421,1937.48586468893,2.735174960731743e-07,2463581.5772382454
