grain_id,equivalent_diameter_um
1,10.469
2,11.05
3,13.957
4,8.701
5,7.675
6,19.262
7,5.73
8,10.977
9,6.48
10,11.175
11,9.868
12,14.283
13,10.493
14,16.157
15,11.582
16,7.952
17,8.125
18,12.79
19,21.794
20,15.637
21,15.324
22,11.338
23,9.925
24,8.198
25,7.902
26,9.65
27,9.069
28,10.817
29,7.932
30,6.895
31,6.97
32,14.51
33,12.439
34,13.871
35,11.036
36,10.735
37,3.982
38,11.254
39,11.953
40,11.174
41,8.747
42,15.35
43,12.618
44,8.394
45,8.019
46,7.265
47,14.395
48,8.711
49,14.367
50,6.873
51,7.285
52,11.008
53,8.775
54,9.302
55,7.509
56,9.368
57,6.642
58,14.274
59,7.448
60,23.557
61,20.122
62,10.143
63,10.47
64,19.275
65,15.446
66,6.399
67,20.465
68,10.238
69,15.511
70,7.593
71,7.733
72,15.589
73,7.105
74,6.92
75,8.398
76,10.905
77,9.571
78,10.706
79,7.714
80,7.28
81,6.677
82,13.872
83,11.26
84,12.874
85,5.618
86,8.312
87,9.059
88,7.96
89,9.963
90,19.665
91,10.352
92,8.539
93,4.707
94,7.486
95,8.344
96,8.663
97,9.74
98,10.323
99,9.389
100,15.282
101,11.361
102,9.314
103,12.404
104,10.45
105,11.23
106,8.217
107,4.471
108,8.61
109,10.496
110,16.928
111,7.169
112,13.084
113,10.105
114,5.584
115,10.629
116,8.125
117,15.47
118,13.296
119,4.424
120,7.423
121,9.815
122,9.962
123,10.816
124,13.351
125,6.641
126,10.041
127,14.669
128,9.513
129,5.766
130,14.792
131,18.853
132,6.87
133,21.647
134,11.379
135,13.365
136,11.343
137,12.639
138,8.889
139,4.651
140,13.05
141,18.167
142,4.811
143,10.948
144,13.491
145,21.626
146,8.83
147,9.853
148,7.154
149,14.054
150,11.989
151,7.427
152,15.521
153,7.837
154,8.75
155,13.336
156,11.276
157,6.948
158,6.788
159,7.884
160,10.292
161,17.1
162,8.065
163,13.793
164,7.445
165,13.807
166,9.504
167,11.945
168,9.892
169,8.342
170,9.769
171,7.443
172,11.203
173,6.424
174,11.267
175,14.055
176,8.251
177,10.366
178,11.112
179,7.553
180,8.009
181,6.976
182,15.55
183,9.896
184,10.976
185,14.136
186,11.731
187,9.646
188,10.327
189,14.596
190,9.902
191,10.137
192,5.367
193,6.284
194,15.683
195,18.996
196,11.371
197,5.298
198,10.355
199,12.945
200,4.937
201,12.242
202,11.125
203,10.332
204,13.329
205,18.56
206,7.659
207,17.339
208,8.727
209,6.756
210,9.21
211,13.237
212,8.525
213,14.06
214,6.353
215,4.732
216,10.243
217,12.285
218,8.641
219,7.555
220,13.712
221,9.707
222,7.356
223,11.816
224,15.847
225,16.871
226,10.424
227,8.886
228,14.028
229,13.065
230,9.496
231,9.931
232,6.391
233,6.062
234,9.365
235,5.933
236,8.186
237,7.665
238,17.582
239,8.41
240,7.782
241,18.98
242,12.434
243,15.146
244,5.417
245,6.606
246,10.394
247,9.293
248,17.104
249,9.059
250,11.182
251,7.012
252,8.193
253,8.521
254,10.749
255,7.644
256,17.311
257,10.069
258,15.289
259,11.1
260,9.78
261,6.447
262,11.563
263,7.176
264,10.552
265,11.271
266,12.581
267,12.436
268,14.073
269,8.367
270,6.503
271,9.044
272,8.055
273,9.669
274,11.111
275,9.54
276,6.04
277,8.242
278,7.643
279,15.726
280,10.872
281,6.675
282,7.872
283,9.548
284,10.867
285,9.882
286,9.371
287,15.375
288,11.728
289,12.406
290,11.687
291,10.017
292,12.826
293,10.402
294,10.866
295,8.078
296,11.192
297,19.431
298,12.827
299,9.206
300,11.26
301,6.764
302,13.756
303,9.367
304,5.599
305,9.092
306,10.587
307,11.473
308,7.382
309,6.542
310,12.416
311,8.014
312,6.629
313,12.673
314,13.801
315,9.886
316,12.032
317,11.521
318,7.826
319,10.847
320,13.127
321,8.039
322,6.287
323,13.48
324,6.574
325,12.463
326,15.451
327,5.868
328,13.189
329,11.818
330,8.483
331,10.813
332,10.923
333,8.694
334,10.132
335,11.21
336,7.82
337,11.586
338,16.388
339,14.176
340,5.348
341,13.523
342,12.177
343,8.842
344,9.322
345,12.198
346,10.933
347,6.943
348,10.956
349,19.232
350,16.788
351,9.06
352,11.194
353,12.983
354,11.125
355,7.047
356,11.052
357,6.607
358,15.655
359,9.05
360,4.577
361,12.137
362,9.97
363,8.646
364,9.976
365,14.556
366,10.638
367,6.778
368,13.678
369,8.122
370,9.03
371,10.56
372,19.519
373,20.078
374,12.739
375,6.255
376,11.395
377,10.636
378,11.28
379,12.253
380,15.331
381,11.523
382,9.244
383,7.27
384,8.266
385,7.819
386,13.83
387,26.262
388,6.15
389,15.63
390,9.443
391,9.716
392,13.085
393,8.425
394,13.521
395,9.584
396,3.765
397,8.895
398,7.174
399,10.907
400,15.347
401,7.921
402,13.963
403,13.332
404,14.197
405,9.784
406,8.525
407,11.54
408,10.419
409,10.554
410,9.179
411,8.793
412,8.235
413,18.32
414,7.715
415,9.001
416,9.172
417,7.645
418,5.658
419,16.344
420,14.45
421,9.336
422,7.086
423,7.973
424,6.132
425,14.105
426,8.097
427,11.634
428,13.792
429,14.256
430,6.798
431,13.177
432,8.862
433,8.654
434,8.364
435,6.921
436,10.442
437,8.206
438,13.131
439,7.398
440,7.764
441,11.73
442,8.162
443,15.543
444,7.647
445,12.56
