crack_id,x_um,y_um,feature,orientation_deg,length_um
1,453.19,425.7,grain_boundary,40.7,0.95
2,247.47,286.02,pore_edge,105.6,3.61
3,432.39,484.59,grain_boundary,83.3,2.72
4,304.51,160.44,grain_boundary,114.6,8.48
5,387.15,344.22,pore_edge,171.0,6.53
6,177.27,132.05,triple_junction,129.2,2.42
7,251.96,37.12,grain_boundary,79.1,3.28
8,335.23,19.04,grain_boundary,88.7,3.13
9,391.4,106.83,grain_boundary,143.2,9.0
10,245.5,484.25,grain_boundary,131.3,4.85
11,11.4,165.6,grain_boundary,179.3,3.1
12,311.7,99.28,pore_edge,54.2,4.21
13,361.32,432.05,grain_boundary,17.6,4.47
14,395.89,475.38,intra_granular,149.9,5.95
15,160.98,155.78,grain_boundary,89.2,2.27
16,166.01,225.41,pore_edge,33.4,8.98
17,97.13,413.98,pore_edge,86.8,2.35
18,21.67,90.42,grain_boundary,67.5,0.89
19,185.72,289.73,grain_boundary,40.8,9.87
20,52.59,203.54,intra_granular,167.2,1.69
21,481.8,420.95,pore_edge,118.7,3.73
22,472.59,305.48,grain_boundary,86.8,3.9
23,282.12,296.81,pore_edge,13.5,2.07
24,369.71,374.81,grain_boundary,152.7,5.86
25,122.04,77.08,triple_junction,66.3,3.92
26,308.26,366.37,pore_edge,177.7,2.4
27,340.74,97.75,grain_boundary,86.2,2.56
28,100.99,67.1,intra_granular,171.1,4.01
29,455.4,312.07,grain_boundary,138.6,1.55
30,200.52,147.37,grain_boundary,53.6,9.2
31,206.78,281.36,pore_edge,150.8,12.07
32,236.03,192.22,grain_boundary,9.6,2.61
33,390.34,339.92,grain_boundary,94.7,2.33
34,339.85,88.33,pore_edge,49.9,1.19
35,317.9,186.36,intra_granular,77.2,5.95
36,234.24,351.69,grain_boundary,35.3,14.53
37,112.93,343.3,triple_junction,23.7,0.63
38,216.67,39.86,pore_edge,100.3,1.12
39,436.48,291.65,pore_edge,112.8,2.66
40,214.55,237.09,pore_edge,160.4,2.23
41,464.31,167.17,pore_edge,53.8,0.57
42,357.49,270.43,intra_granular,81.5,3.91
43,470.8,108.45,grain_boundary,105.0,4.2
44,449.54,202.78,pore_edge,8.7,3.62
45,124.68,326.65,pore_edge,160.9,3.91
46,397.22,484.22,grain_boundary,6.6,5.48
47,294.4,137.8,triple_junction,147.1,1.67
48,438.48,334.37,triple_junction,159.4,5.67
49,209.75,369.26,grain_boundary,54.0,0.9
50,498.21,155.14,grain_boundary,127.2,1.9
51,209.15,213.41,pore_edge,2.6,1.68
52,395.52,450.38,grain_boundary,145.9,4.03
53,247.25,445.67,pore_edge,148.6,1.74
54,79.53,178.27,grain_boundary,102.7,1.08
55,245.04,267.54,triple_junction,54.4,3.28
56,10.98,51.79,triple_junction,94.3,2.89
57,73.9,213.47,grain_boundary,90.7,1.85
58,278.88,83.76,grain_boundary,88.9,7.11
59,283.3,73.8,pore_edge,84.2,13.07
60,423.21,85.69,grain_boundary,166.8,6.39
61,470.84,294.15,grain_boundary,117.5,4.24
62,327.45,210.07,grain_boundary,118.1,1.95
63,269.56,485.61,triple_junction,40.0,3.34
64,141.02,94.83,grain_boundary,116.8,0.99
65,223.0,41.98,grain_boundary,64.8,2.3
66,113.65,250.67,grain_boundary,159.6,1.35
67,296.74,311.8,triple_junction,111.5,7.7
68,361.91,285.65,pore_edge,173.4,1.58
69,487.45,369.59,triple_junction,125.5,2.49
70,46.48,211.74,pore_edge,109.0,2.86
71,83.15,323.88,pore_edge,164.1,2.12
72,270.32,409.33,grain_boundary,61.3,2.5
73,498.24,201.03,grain_boundary,63.4,12.98
74,107.19,18.64,pore_edge,117.2,7.02
75,128.4,422.67,grain_boundary,155.8,1.36
76,403.7,4.14,grain_boundary,94.9,4.54
77,433.73,290.54,triple_junction,11.4,2.03
78,314.86,489.42,pore_edge,165.1,3.85
79,422.56,478.0,triple_junction,39.6,0.52
80,52.1,218.1,grain_boundary,20.7,1.63
