x_um,y_um,porosity_fraction
1.0,1.0,0.0859
1.0,3.0,0.0923
1.0,5.0,0.072
1.0,7.0,0.0839
1.0,9.0,0.0961
1.0,11.0,0.0836
1.0,13.0,0.0877
1.0,15.0,0.077
1.0,17.0,0.0874
1.0,19.0,0.0578
1.0,21.0,0.0789
1.0,23.0,0.0683
1.0,25.0,0.0951
1.0,27.0,0.0904
1.0,29.0,0.0796
1.0,31.0,0.0804
1.0,33.0,0.0868
1.0,35.0,0.0913
1.0,37.0,0.0828
1.0,39.0,0.0933
1.0,41.0,0.0859
1.0,43.0,0.0892
1.0,45.0,0.0781
1.0,47.0,0.092
1.0,49.0,0.0814
1.0,51.0,0.0963
1.0,53.0,0.1026
1.0,55.0,0.0714
1.0,57.0,0.1049
1.0,59.0,0.088
1.0,61.0,0.0776
1.0,63.0,0.1008
1.0,65.0,0.0766
1.0,67.0,0.0751
1.0,69.0,0.0851
1.0,71.0,0.0652
1.0,73.0,0.0566
1.0,75.0,0.0601
1.0,77.0,0.0828
1.0,79.0,0.0762
1.0,81.0,0.0725
1.0,83.0,0.0802
1.0,85.0,0.0791
1.0,87.0,0.0796
1.0,89.0,0.0868
1.0,91.0,0.0746
1.0,93.0,0.0938
1.0,95.0,0.0742
1.0,97.0,0.07
1.0,99.0,0.0794
1.0,101.0,0.0868
1.0,103.0,0.0759
1.0,105.0,0.0936
1.0,107.0,0.0794
1.0,109.0,0.0692
1.0,111.0,0.079
1.0,113.0,0.0724
1.0,115.0,0.0901
1.0,117.0,0.0843
1.0,119.0,0.067
1.0,121.0,0.0726
1.0,123.0,0.0854
1.0,125.0,0.0703
1.0,127.0,0.0725
1.0,129.0,0.0849
1.0,131.0,0.0948
1.0,133.0,0.0811
1.0,135.0,0.0636
1.0,137.0,0.0865
1.0,139.0,0.0713
1.0,141.0,0.077
1.0,143.0,0.0823
1.0,145.0,0.0819
1.0,147.0,0.0834
1.0,149.0,0.0777
1.0,151.0,0.085
1.0,153.0,0.0636
1.0,155.0,0.0858
1.0,157.0,0.069
1.0,159.0,0.0764
3.0,1.0,0.086
3.0,3.0,0.0938
3.0,5.0,0.0917
3.0,7.0,0.0796
3.0,9.0,0.0826
3.0,11.0,0.0803
3.0,13.0,0.0692
3.0,15.0,0.0777
3.0,17.0,0.0827
3.0,19.0,0.0744
3.0,21.0,0.0895
3.0,23.0,0.0754
3.0,25.0,0.0921
3.0,27.0,0.0786
3.0,29.0,0.0773
3.0,31.0,0.0701
3.0,33.0,0.077
3.0,35.0,0.0847
3.0,37.0,0.0765
3.0,39.0,0.0876
3.0,41.0,0.0877
3.0,43.0,0.0678
3.0,45.0,0.092
3.0,47.0,0.0816
3.0,49.0,0.0729
3.0,51.0,0.0942
3.0,53.0,0.095
3.0,55.0,0.0813
3.0,57.0,0.1021
3.0,59.0,0.1034
3.0,61.0,0.0801
3.0,63.0,0.0918
3.0,65.0,0.0817
3.0,67.0,0.0789
3.0,69.0,0.0737
3.0,71.0,0.0811
3.0,73.0,0.0849
3.0,75.0,0.081
3.0,77.0,0.0774
3.0,79.0,0.0978
3.0,81.0,0.0616
3.0,83.0,0.0644
3.0,85.0,0.069
3.0,87.0,0.082
3.0,89.0,0.0898
3.0,91.0,0.0769
3.0,93.0,0.0788
3.0,95.0,0.084
3.0,97.0,0.0668
3.0,99.0,0.0999
3.0,101.0,0.0776
3.0,103.0,0.09
3.0,105.0,0.0728
3.0,107.0,0.0702
3.0,109.0,0.0746
3.0,111.0,0.0605
3.0,113.0,0.0702
3.0,115.0,0.0844
3.0,117.0,0.0861
3.0,119.0,0.0907
3.0,121.0,0.0716
3.0,123.0,0.093
3.0,125.0,0.0781
3.0,127.0,0.0746
3.0,129.0,0.058
3.0,131.0,0.0751
3.0,133.0,0.0676
3.0,135.0,0.0811
3.0,137.0,0.0562
3.0,139.0,0.0778
3.0,141.0,0.0995
3.0,143.0,0.0557
3.0,145.0,0.0797
3.0,147.0,0.0729
3.0,149.0,0.0721
3.0,151.0,0.0814
3.0,153.0,0.0898
3.0,155.0,0.0854
3.0,157.0,0.0753
3.0,159.0,0.0809
5.0,1.0,0.0849
5.0,3.0,0.072
5.0,5.0,0.0984
5.0,7.0,0.0768
5.0,9.0,0.0974
5.0,11.0,0.1144
5.0,13.0,0.0775
5.0,15.0,0.0883
5.0,17.0,0.0811
5.0,19.0,0.0946
5.0,21.0,0.0799
5.0,23.0,0.0908
5.0,25.0,0.0871
5.0,27.0,0.0944
5.0,29.0,0.1083
5.0,31.0,0.0905
5.0,33.0,0.0843
5.0,35.0,0.0999
5.0,37.0,0.0756
5.0,39.0,0.0839
5.0,41.0,0.0841
5.0,43.0,0.0954
5.0,45.0,0.082
5.0,47.0,0.0982
5.0,49.0,0.0865
5.0,51.0,0.0869
5.0,53.0,0.092
5.0,55.0,0.0843
5.0,57.0,0.0682
5.0,59.0,0.0883
5.0,61.0,0.0884
5.0,63.0,0.0897
5.0,65.0,0.0755
5.0,67.0,0.0939
5.0,69.0,0.0668
5.0,71.0,0.0939
5.0,73.0,0.079
5.0,75.0,0.0803
5.0,77.0,0.0747
5.0,79.0,0.0871
5.0,81.0,0.073
5.0,83.0,0.0908
5.0,85.0,0.0915
5.0,87.0,0.0856
5.0,89.0,0.0876
5.0,91.0,0.0721
5.0,93.0,0.0804
5.0,95.0,0.07
5.0,97.0,0.068
5.0,99.0,0.0803
5.0,101.0,0.0852
5.0,103.0,0.0859
5.0,105.0,0.0718
5.0,107.0,0.0808
5.0,109.0,0.048
5.0,111.0,0.074
5.0,113.0,0.0774
5.0,115.0,0.0692
5.0,117.0,0.0666
5.0,119.0,0.0601
5.0,121.0,0.0687
5.0,123.0,0.0662
5.0,125.0,0.0855
5.0,127.0,0.0721
5.0,129.0,0.0624
5.0,131.0,0.0632
5.0,133.0,0.0765
5.0,135.0,0.0795
5.0,137.0,0.0717
5.0,139.0,0.0822
5.0,141.0,0.0495
5.0,143.0,0.0721
5.0,145.0,0.0931
5.0,147.0,0.0772
5.0,149.0,0.081
5.0,151.0,0.0639
5.0,153.0,0.0789
5.0,155.0,0.0757
5.0,157.0,0.0858
5.0,159.0,0.0764
7.0,1.0,0.0753
7.0,3.0,0.085
7.0,5.0,0.0685
7.0,7.0,0.0972
