datetime,year,month,day,hour,region,average_intensity,marginal_intensity,coal_fraction,gas_fraction,renewable_fraction,nuclear_fraction
2023-01-01 00:00:00,2023,1,1,0,PJM,0.3552441900686809,0.4618174470892852,0.12,0.35,0.07999999999999999,0.35
2023-01-01 01:00:00,2023,1,1,1,PJM,0.3322581995557323,0.43193565942245205,0.14588190451025207,0.3111771432346218,0.08340741737109315,0.35
2023-01-01 02:00:00,2023,1,1,2,PJM,0.31083866631009577,0.4040902662031245,0.16999999999999998,0.275,0.09339745962155613,0.35
2023-01-01 03:00:00,2023,1,1,3,PJM,0.29244529612500914,0.3801788849625119,0.19071067811865475,0.24393398282201784,0.10928932188134524,0.35
2023-01-01 04:00:00,2023,1,1,4,PJM,0.2783315667821046,0.36183103681673595,0.20660254037844386,0.22009618943233417,0.13,0.35
2023-01-01 05:00:00,2023,1,1,5,PJM,0.26945930561206055,0.3502970972956787,0.21659258262890685,0.20511112605663973,0.15411809548974792,0.35
2023-01-01 06:00:00,2023,1,1,6,PJM,0.2664331425515107,0.3463630853169639,0.22,0.19999999999999998,0.18,0.35
2023-01-01 07:00:00,2023,1,1,7,PJM,0.26945930561206055,0.3502970972956787,0.21659258262890685,0.20511112605663973,0.20588190451025207,0.35
2023-01-01 08:00:00,2023,1,1,8,PJM,0.2783315667821046,0.36183103681673595,0.2066025403784439,0.2200961894323342,0.22999999999999998,0.35
2023-01-01 09:00:00,2023,1,1,9,PJM,0.29244529612500914,0.3801788849625119,0.19071067811865478,0.24393398282201786,0.2507106781186548,0.35
2023-01-01 10:00:00,2023,1,1,10,PJM,0.3108386663100958,0.4040902662031246,0.16999999999999998,0.275,0.2666025403784439,0.35
2023-01-01 11:00:00,2023,1,1,11,PJM,0.3322581995557323,0.43193565942245205,0.1458819045102521,0.31117714323462187,0.27659258262890685,0.35
2023-01-01 12:00:00,2023,1,1,12,PJM,0.3552441900686809,0.4618174470892852,0.12000000000000001,0.35,0.28,0.35
2023-01-01 13:00:00,2023,1,1,13,PJM,0.3782301805816295,0.4916992347561184,0.09411809548974792,0.3888228567653781,0.27659258262890685,0.35
2023-01-01 14:00:00,2023,1,1,14,PJM,0.399649713827266,0.5195446279754458,0.07000000000000002,0.42499999999999993,0.2666025403784439,0.35
2023-01-01 15:00:00,2023,1,1,15,PJM,0.4180430840123527,0.5434560092160585,0.049289321881345285,0.4560660171779821,0.2507106781186548,0.35
2023-01-01 16:00:00,2023,1,1,16,PJM,0.4321568133552572,0.5618038573618344,0.03339745962155616,0.47990381056766573,0.22999999999999998,0.35
2023-01-01 17:00:00,2023,1,1,17,PJM,0.4410290745253013,0.5733377968828918,0.023407417371093156,0.49488887394336023,0.2058819045102521,0.35
2023-01-01 18:00:00,2023,1,1,18,PJM,0.44405523758585114,0.5772718088616065,0.01999999999999999,0.5,0.18,0.35
2023-01-01 19:00:00,2023,1,1,19,PJM,0.4410290745253013,0.5733377968828918,0.023407417371093142,0.49488887394336023,0.15411809548974792,0.35
2023-01-01 20:00:00,2023,1,1,20,PJM,0.4321568133552572,0.5618038573618344,0.03339745962155613,0.4799038105676658,0.13,0.35
2023-01-01 21:00:00,2023,1,1,21,PJM,0.4180430840123527,0.5434560092160585,0.04928932188134523,0.4560660171779821,0.10928932188134528,0.35
2023-01-01 22:00:00,2023,1,1,22,PJM,0.399649713827266,0.5195446279754458,0.06999999999999995,0.42499999999999993,0.09339745962155616,0.35
2023-01-01 23:00:00,2023,1,1,23,PJM,0.3782301805816295,0.4916992347561184,0.09411809548974784,0.38882285676537814,0.08340741737109315,0.35
2023-01-02 00:00:00,2023,1,2,0,PJM,0.3549527675632201,0.4614385978321861,0.12,0.35,0.07999999999999999,0.35
2023-01-02 01:00:00,2023,1,2,1,PJM,0.3319856334739177,0.431581323516093,0.14588190451025207,0.3111771432346218,0.08340741737109315,0.35
2023-01-02 02:00:00,2023,1,2,2,PJM,0.3105836716178175,0.40375877310316277,0.16999999999999998,0.275,0.09339745962155613,0.35
2023-01-02 03:00:00,2023,1,2,3,PJM,0.2922053903269987,0.3798670074250983,0.19071067811865475,0.24393398282201784,0.10928932188134524,0.35
2023-01-02 04:00:00,2023,1,2,4,PJM,0.27810323909988466,0.36153421082985004,0.20660254037844386,0.22009618943233417,0.13,0.35
2023-01-02 05:00:00,2023,1,2,5,PJM,0.26923825623769637,0.3500097331090053,0.21659258262890685,0.20511112605663973,0.15411809548974792,0.35
2023-01-02 06:00:00,2023,1,2,6,PJM,0.2662145756724151,0.3460789483741396,0.22,0.19999999999999998,0.18,0.35
2023-01-02 07:00:00,2023,1,2,7,PJM,0.26923825623769637,0.3500097331090053,0.21659258262890685,0.20511112605663973,0.20588190451025207,0.35
2023-01-02 08:00:00,2023,1,2,8,PJM,0.27810323909988466,0.36153421082985004,0.2066025403784439,0.2200961894323342,0.22999999999999998,0.35
2023-01-02 09:00:00,2023,1,2,9,PJM,0.29220539032699877,0.37986700742509844,0.19071067811865478,0.24393398282201786,0.2507106781186548,0.35
2023-01-02 10:00:00,2023,1,2,10,PJM,0.3105836716178176,0.4037587731031629,0.16999999999999998,0.275,0.2666025403784439,0.35
2023-01-02 11:00:00,2023,1,2,11,PJM,0.3319856334739177,0.431581323516093,0.1458819045102521,0.31117714323462187,0.27659258262890685,0.35
2023-01-02 12:00:00,2023,1,2,12,PJM,0.3549527675632201,0.4614385978321861,0.12000000000000001,0.35,0.28,0.35
2023-01-02 13:00:00,2023,1,2,13,PJM,0.3779199016525225,0.49129587214827924,0.09411809548974792,0.3888228567653781,0.27659258262890685,0.35
2023-01-02 14:00:00,2023,1,2,14,PJM,0.3993218635086226,0.5191184225612094,0.07000000000000002,0.42499999999999993,0.2666025403784439,0.35
2023-01-02 15:00:00,2023,1,2,15,PJM,0.41770014479944145,0.5430101882392739,0.049289321881345285,0.4560660171779821,0.2507106781186548,0.35
2023-01-02 16:00:00,2023,1,2,16,PJM,0.43180229602655545,0.5613429848345222,0.03339745962155616,0.47990381056766573,0.22999999999999998,0.35
2023-01-02 17:00:00,2023,1,2,17,PJM,0.44066727888874385,0.572867462555367,0.023407417371093156,0.49488887394336023,0.2058819045102521,0.35
2023-01-02 18:00:00,2023,1,2,18,PJM,0.4436909594540251,0.5767982472902327,0.01999999999999999,0.5,0.18,0.35
2023-01-02 19:00:00,2023,1,2,19,PJM,0.44066727888874385,0.572867462555367,0.023407417371093142,0.49488887394336023,0.15411809548974792,0.35
2023-01-02 20:00:00,2023,1,2,20,PJM,0.43180229602655545,0.5613429848345222,0.03339745962155613,0.4799038105676658,0.13,0.35
2023-01-02 21:00:00,2023,1,2,21,PJM,0.41770014479944145,0.5430101882392739,0.04928932188134523,0.4560660171779821,0.10928932188134528,0.35
2023-01-02 22:00:00,2023,1,2,22,PJM,0.3993218635086226,0.5191184225612094,0.06999999999999995,0.42499999999999993,0.09339745962155616,0.35
2023-01-02 23:00:00,2023,1,2,23,PJM,0.3779199016525225,0.49129587214827924,0.09411809548974784,0.38882285676537814,0.08340741737109315,0.35
2023-01-03 00:00:00,2023,1,3,0,PJM,0.35467913834865566,0.46108287985325236,0.12,0.35,0.07999999999999999,0.35
2023-01-03 01:00:00,2023,1,3,1,PJM,0.3317297093723597,0.4312486221840676,0.14588190451025207,0.3111771432346218,0.08340741737109315,0.35
2023-01-03 02:00:00,2023,1,3,2,PJM,0.31034424605507366,0.40344751987159577,0.16999999999999998,0.275,0.09339745962155613,0.35
2023-01-03 03:00:00,2023,1,3,3,PJM,0.2919801323807216,0.3795741720949381,0.19071067811865475,0.24393398282201784,0.10928932188134524,0.35
2023-01-03 04:00:00,2023,1,3,4,PJM,0.2778888523480778,0.3612555080525012,0.20660254037844386,0.22009618943233417,0.13,0.35
2023-01-03 05:00:00,2023,1,3,5,PJM,0.2690307034044257,0.3497399144257534,0.21659258262890685,0.20511112605663973,0.15411809548974792,0.35
2023-01-03 06:00:00,2023,1,3,6,PJM,0.26600935376149176,0.3458121598899393,0.22,0.19999999999999998,0.18,0.35
2023-01-03 07:00:00,2023,1,3,7,PJM,0.2690307034044257,0.3497399144257534,0.21659258262890685,0.20511112605663973,0.20588190451025207,0.35
2023-01-03 08:00:00,2023,1,3,8,PJM,0.2778888523480778,0.3612555080525012,0.2066025403784439,0.2200961894323342,0.22999999999999998,0.35
2023-01-03 09:00:00,2023,1,3,9,PJM,0.2919801323807216,0.3795741720949381,0.19071067811865478,0.24393398282201786,0.2507106781186548,0.35
2023-01-03 10:00:00,2023,1,3,10,PJM,0.3103442460550737,0.4034475198715958,0.16999999999999998,0.275,0.2666025403784439,0.35
2023-01-03 11:00:00,2023,1,3,11,PJM,0.3317297093723597,0.4312486221840676,0.1458819045102521,0.31117714323462187,0.27659258262890685,0.35
2023-01-03 12:00:00,2023,1,3,12,PJM,0.35467913834865566,0.46108287985325236,0.12000000000000001,0.35,0.28,0.35
2023-01-03 13:00:00,2023,1,3,13,PJM,0.37762856732495165,0.49091713752243715,0.09411809548974792,0.3888228567653781,0.27659258262890685,0.35
2023-01-03 14:00:00,2023,1,3,14,PJM,0.3990140306422376,0.518718239834909,0.07000000000000002,0.42499999999999993,0.2666025403784439,0.35
2023-01-03 15:00:00,2023,1,3,15,PJM,0.4173781443165897,0.5425915876115667,0.049289321881345285,0.4560660171779821,0.2507106781186548,0.35
2023-01-03 16:00:00,2023,1,3,16,PJM,0.43146942434923347,0.5609102516540035,0.03339745962155616,0.47990381056766573,0.22999999999999998,0.35
2023-01-03 17:00:00,2023,1,3,17,PJM,0.4403275732928857,0.5724258452807515,0.023407417371093156,0.49488887394336023,0.2058819045102521,0.35
2023-01-03 18:00:00,2023,1,3,18,PJM,0.44334892293581957,0.5763535998165654,0.01999999999999999,0.5,0.18,0.35
2023-01-03 19:00:00,2023,1,3,19,PJM,0.4403275732928857,0.5724258452807515,0.023407417371093142,0.49488887394336023,0.15411809548974792,0.35
2023-01-03 20:00:00,2023,1,3,20,PJM,0.43146942434923347,0.5609102516540035,0.03339745962155613,0.4799038105676658,0.13,0.35
2023-01-03 21:00:00,2023,1,3,21,PJM,0.4173781443165897,0.5425915876115667,0.04928932188134523,0.4560660171779821,0.10928932188134528,0.35
2023-01-03 22:00:00,2023,1,3,22,PJM,0.3990140306422376,0.518718239834909,0.06999999999999995,0.42499999999999993,0.09339745962155616,0.35
2023-01-03 23:00:00,2023,1,3,23,PJM,0.37762856732495165,0.49091713752243715,0.09411809548974784,0.38882285676537814,0.08340741737109315,0.35
2023-01-04 00:00:00,2023,1,4,0,PJM,0.35442338350722946,0.4607503985593983,0.12,0.35,0.07999999999999999,0.35
2023-01-04 01:00:00,2023,1,4,1,PJM,0.33149050308689304,0.43093765401296097,0.14588190451025207,0.3111771432346218,0.08340741737109315,0.35
2023-01-04 02:00:00,2023,1,4,2,PJM,0.31012046056882575,0.4031565987394735,0.16999999999999998,0.275,0.09339745962155613,0.35
2023-01-04 03:00:00,2023,1,4,3,PJM,0.29176958903496886,0.3793004657454595,0.19071067811865475,0.24393398282201784,0.10928932188134524,0.35
2023-01-04 04:00:00,2023,1,4,4,PJM,0.27768847005410563,0.3609950110703373,0.20660254037844386,0.22009618943233417,0.13,0.35
2023-01-04 05:00:00,2023,1,4,5,PJM,0.2688367086146325,0.34948772119902227,0.21659258262890685,0.20511112605663973,0.15411809548974792,0.35
2023-01-04 06:00:00,2023,1,4,6,PJM,0.2658175376304221,0.3455627989195487,0.22,0.19999999999999998,0.18,0.35
2023-01-04 07:00:00,2023,1,4,7,PJM,0.2688367086146325,0.34948772119902227,0.21659258262890685,0.20511112605663973,0.20588190451025207,0.35
2023-01-04 08:00:00,2023,1,4,8,PJM,0.27768847005410563,0.3609950110703373,0.2066025403784439,0.2200961894323342,0.22999999999999998,0.35
2023-01-04 09:00:00,2023,1,4,9,PJM,0.2917695890349689,0.3793004657454596,0.19071067811865478,0.24393398282201786,0.2507106781186548,0.35
2023-01-04 10:00:00,2023,1,4,10,PJM,0.3101204605688258,0.40315659873947357,0.16999999999999998,0.275,0.2666025403784439,0.35
2023-01-04 11:00:00,2023,1,4,11,PJM,0.33149050308689304,0.43093765401296097,0.1458819045102521,0.31117714323462187,0.27659258262890685,0.35
2023-01-04 12:00:00,2023,1,4,12,PJM,0.35442338350722946,0.4607503985593983,0.12000000000000001,0.35,0.28,0.35
2023-01-04 13:00:00,2023,1,4,13,PJM,0.3773562639275659,0.49056314310583565,0.09411809548974792,0.3888228567653781,0.27659258262890685,0.35
2023-01-04 14:00:00,2023,1,4,14,PJM,0.3987263064456331,0.5183441983793231,0.07000000000000002,0.42499999999999993,0.2666025403784439,0.35
2023-01-04 15:00:00,2023,1,4,15,PJM,0.41707717797949007,0.5422003313733371,0.049289321881345285,0.4560660171779821,0.2507106781186548,0.35
2023-01-04 16:00:00,2023,1,4,16,PJM,0.4311582969603533,0.5605057860484594,0.03339745962155616,0.47990381056766573,0.22999999999999998,0.35
2023-01-04 17:00:00,2023,1,4,17,PJM,0.4400100583998265,0.5720130759197745,0.023407417371093156,0.49488887394336023,0.2058819045102521,0.35
2023-01-04 18:00:00,2023,1,4,18,PJM,0.4430292293840368,0.5759379981992478,0.01999999999999999,0.5,0.18,0.35
2023-01-04 19:00:00,2023,1,4,19,PJM,0.4400100583998265,0.5720130759197745,0.023407417371093142,0.49488887394336023,0.15411809548974792,0.35
2023-01-04 20:00:00,2023,1,4,20,PJM,0.4311582969603533,0.5605057860484594,0.03339745962155613,0.4799038105676658,0.13,0.35
