wavenumber_cm_1,absorbance
4000,0.0739
3996,0.0712
3992,0.0555
3988,0.0593
3984,0.068
3980,0.0724
3976,0.073
3972,0.0622
3968,0.0552
3964,0.0587
3960,0.0547
3956,0.0725
3952,0.0427
3948,0.0622
3944,0.0698
3940,0.0803
3936,0.0655
3932,0.0745
3928,0.0602
3924,0.0565
3920,0.0569
3916,0.0786
3912,0.073
3908,0.0676
3904,0.0957
3900,0.0618
3896,0.068
3892,0.0645
3888,0.0589
3884,0.084
3880,0.0755
3876,0.0461
3872,0.0558
3868,0.0637
3864,0.0669
3860,0.0452
3856,0.0358
3852,0.0389
3848,0.0569
3844,0.0562
3840,0.0603
3836,0.0488
3832,0.0439
3828,0.0355
3824,0.0586
3820,0.0587
3816,0.0645
3812,0.0621
3808,0.0519
3804,0.0669
3800,0.0516
3796,0.046
3792,0.047
3788,0.046
3784,0.0298
3780,0.0526
3776,0.0531
3772,0.0466
3768,0.0427
3764,0.0531
3760,0.0662
3756,0.049
3752,0.0431
3748,0.0419
3744,0.0467
3740,0.0344
3736,0.0454
3732,0.0468
3728,0.0643
3724,0.0549
3720,0.0554
3716,0.0375
3712,0.051
3708,0.0325
3704,0.0466
3700,0.0473
3696,0.0351
3692,0.0624
3688,0.0477
3684,0.0226
3680,0.0468
3676,0.0369
3672,0.0406
3668,0.0449
3664,0.0438
3660,0.0192
3656,0.0276
3652,0.0466
3648,0.0516
3644,0.0573
3640,0.0559
3636,0.017
3632,0.045
3628,0.0178
3624,0.0528
3620,0.0389
3616,0.0247
3612,0.0559
3608,0.042
3604,0.0163
3600,0.0379
3596,0.0274
3592,0.0356
3588,0.0296
3584,0.0477
3580,0.0195
3576,0.0367
3572,0.0514
3568,0.0248
3564,0.035
3560,0.0347
3556,0.0256
3552,0.0388
3548,0.0331
3544,0.0225
3540,0.0494
3536,0.0395
3532,0.0298
3528,0.0249
3524,0.0233
3520,0.0433
3516,0.0294
3512,0.0354
3508,0.0288
3504,0.0367
3500,0.0293
3496,0.038
3492,0.0285
3488,0.0386
3484,0.0369
3480,0.029
3476,0.0215
3472,0.0207
3468,0.0226
3464,0.0202
3460,0.0387
3456,0.0295
3452,0.0457
3448,0.0528
3444,0.0303
3440,0.0146
3436,0.0263
3432,0.0294
3428,0.0153
3424,0.0277
3420,0.0332
3416,0.0258
3412,0.0228
3408,0.023
3404,0.0485
3400,0.0292
3396,0.0226
3392,0.0273
3388,0.0407
3384,0.0244
3380,0.0362
3376,0.0388
3372,0.0392
3368,0.0459
3364,0.0266
3360,0.0436
3356,0.0245
3352,0.0287
3348,0.0448
3344,0.0413
3340,0.0333
3336,0.0216
3332,0.0393
3328,0.0276
3324,0.0249
3320,0.028
3316,0.0372
3312,0.0137
3308,0.0388
3304,0.0372
3300,0.0299
3296,0.0464
3292,0.0425
3288,0.0306
3284,0.0302
3280,0.0442
3276,0.0224
3272,0.0345
3268,0.0319
3264,0.0392
3260,0.041
3256,0.0395
3252,0.0509
3248,0.0421
3244,0.0371
3240,0.0284
3236,0.0481
3232,0.0465
3228,0.0561
3224,0.0345
3220,0.0426
3216,0.0421
3212,0.0422
3208,0.0436
3204,0.0267
3200,0.0525
3196,0.0512
3192,0.0563
3188,0.0679
3184,0.0426
3180,0.0458
3176,0.0467
3172,0.0664
3168,0.0301
3164,0.0526
3160,0.0335
3156,0.0227
3152,0.0288
3148,0.0355
3144,0.0604
3140,0.0415
3136,0.0483
3132,0.0393
3128,0.0575
3124,0.0407
3120,0.0653
3116,0.0426
3112,0.0453
3108,0.0546
3104,0.054
3100,0.0684
3096,0.0557
3092,0.0428
3088,0.0497
3084,0.05
3080,0.0633
3076,0.0603
3072,0.0556
3068,0.0659
3064,0.0523
3060,0.0566
3056,0.0602
3052,0.0741
3048,0.0584
3044,0.0565
3040,0.0504
3036,0.0688
3032,0.0578
3028,0.0697
3024,0.051
3020,0.0861
3016,0.0705
3012,0.0878
3008,0.1225
3004,0.1208
3000,0.1629
2996,0.2027
2992,0.2401
2988,0.3226
2984,0.3945
2980,0.4416
2976,0.5392
2972,0.6633
2968,0.7507
2964,0.8726
2960,0.9913
2956,1.1077
2952,1.2028
2948,1.2996
2944,1.3705
2940,1.4534
2936,1.4775
2932,1.5
2928,1.4939
2924,1.4737
2920,1.4228
2916,1.3559
2912,1.2656
2908,1.1925
2904,1.1039
2900,1.0003
2896,0.9221
2892,0.854
2888,0.8035
2884,0.7656
2880,0.7528
2876,0.7651
2872,0.7771
2868,0.7954
2864,0.8371
2860,0.8466
2856,0.8854
2852,0.8965
2848,0.8957
2844,0.8587
2840,0.8238
2836,0.7574
2832,0.6791
2828,0.6002
2824,0.5268
2820,0.4461
2816,0.3938
2812,0.3199
2808,0.2707
2804,0.2178
2800,0.1885
2796,0.158
