material,temperature_K,surface_hkl,surface_energy_J_m2
Al,300,111,0.997764
Al,300,100,1.139017
Al,300,110,1.189724
Al,475,111,0.960080
Al,475,100,1.116047
Al,475,110,1.187425
Al,650,111,0.946393
Al,650,100,1.095641
Al,650,110,1.176190
Al,825,111,0.962296
Al,825,100,1.086443
Al,825,110,1.183185
Al,1000,111,0.924035
Al,1000,100,1.076369
Al,1000,110,1.163956
Cu,300,111,1.594807
Cu,300,100,1.820797
Cu,300,110,1.938190
Cu,475,111,1.569330
Cu,475,100,1.807813
Cu,475,110,1.945686
Cu,650,111,1.605288
Cu,650,100,1.786445
Cu,650,110,1.938355
Cu,825,111,1.562567
Cu,825,100,1.793407
Cu,825,110,1.958519
Cu,1000,111,1.583142
Cu,1000,100,1.791767
Cu,1000,110,1.929257
Ni,300,111,2.159735
Ni,300,100,2.473561
Ni,300,110,2.639921
Ni,475,111,2.151848
Ni,475,100,2.435476
Ni,475,110,2.656105
Ni,650,111,2.138890
Ni,650,100,2.469515
Ni,650,110,2.644925
Ni,825,111,2.105000
Ni,825,100,2.436782
Ni,825,110,2.613450
Ni,1000,111,2.168695
Ni,1000,100,2.413968
Ni,1000,110,2.614702
Fe,300,111,2.153035
Fe,300,100,2.441134
Fe,300,110,2.616003
Fe,475,111,2.144066
Fe,475,100,2.473153
Fe,475,110,2.652044
Fe,650,111,2.142451
Fe,650,100,2.443049
Fe,650,110,2.589751
Fe,825,111,2.175649
Fe,825,100,2.461278
Fe,825,110,2.636347
Fe,1000,111,2.117675
Fe,1000,100,2.438315
Fe,1000,110,2.650709
Ti,300,111,1.758652
Ti,300,100,1.980705
Ti,300,110,2.143052
Ti,475,111,1.764643
Ti,475,100,1.993459
Ti,475,110,2.185207
Ti,650,111,1.749308
Ti,650,100,1.996119
Ti,650,110,2.118151
Ti,825,111,1.759924
Ti,825,100,1.989666
Ti,825,110,2.150218
Ti,1000,111,1.772805
Ti,1000,100,1.990113
Ti,1000,110,2.153348
