material,dislocation_type,temperature_K,applied_shear_MPa,velocity_m_s
Al,edge,300,1300.00,0.000508
Al,edge,300,2009.09,0.015244
Al,edge,300,2718.18,0.000000
Al,edge,300,3427.27,0.004041
Al,edge,300,4136.36,0.000000
Al,edge,300,4845.45,0.025095
Al,edge,300,5554.55,0.000000
Al,edge,300,6263.64,0.006932
Al,edge,300,6972.73,0.011268
Al,edge,300,7681.82,0.000000
Al,edge,300,8390.91,0.007162
Al,edge,300,9100.00,0.000000
Al,screw,300,1300.00,0.000000
Al,screw,300,2009.09,0.000000
Al,screw,300,2718.18,0.011239
Al,screw,300,3427.27,0.026801
Al,screw,300,4136.36,0.000000
Al,screw,300,4845.45,0.000000
Al,screw,300,5554.55,0.016524
Al,screw,300,6263.64,0.006895
Al,screw,300,6972.73,0.004459
Al,screw,300,7681.82,0.019366
Al,screw,300,8390.91,0.002773
Al,screw,300,9100.00,0.000000
Al,edge,475,1300.00,0.000000
Al,edge,475,2009.09,0.010220
Al,edge,475,2718.18,0.000000
Al,edge,475,3427.27,0.000000
Al,edge,475,4136.36,0.011178
Al,edge,475,4845.45,0.021495
Al,edge,475,5554.55,0.018102
Al,edge,475,6263.64,0.000000
Al,edge,475,6972.73,0.000000
Al,edge,475,7681.82,0.000000
Al,edge,475,8390.91,0.000000
Al,edge,475,9100.00,0.000000
Al,screw,475,1300.00,0.000000
Al,screw,475,2009.09,0.000000
Al,screw,475,2718.18,0.000000
Al,screw,475,3427.27,0.000000
Al,screw,475,4136.36,0.021011
Al,screw,475,4845.45,0.014115
Al,screw,475,5554.55,0.000000
Al,screw,475,6263.64,0.000000
Al,screw,475,6972.73,0.028813
Al,screw,475,7681.82,0.018927
Al,screw,475,8390.91,0.000000
Al,screw,475,9100.00,0.000000
Al,edge,650,1300.00,0.000000
Al,edge,650,2009.09,0.000000
Al,edge,650,2718.18,0.015901
Al,edge,650,3427.27,0.000000
Al,edge,650,4136.36,0.000000
Al,edge,650,4845.45,0.008397
Al,edge,650,5554.55,0.000000
Al,edge,650,6263.64,0.000000
Al,edge,650,6972.73,0.010214
Al,edge,650,7681.82,0.000000
Al,edge,650,8390.91,0.012235
Al,edge,650,9100.00,0.000000
Al,screw,650,1300.00,0.000000
Al,screw,650,2009.09,0.027455
Al,screw,650,2718.18,0.004437
Al,screw,650,3427.27,0.000000
Al,screw,650,4136.36,0.009093
Al,screw,650,4845.45,0.000000
Al,screw,650,5554.55,0.004596
Al,screw,650,6263.64,0.002276
Al,screw,650,6972.73,0.037079
Al,screw,650,7681.82,0.000000
Al,screw,650,8390.91,0.000000
Al,screw,650,9100.00,0.000000
Al,edge,825,1300.00,0.000000
Al,edge,825,2009.09,0.028654
Al,edge,825,2718.18,0.050354
Al,edge,825,3427.27,0.046337
Al,edge,825,4136.36,0.060491
Al,edge,825,4845.45,0.079203
Al,edge,825,5554.55,0.069892
Al,edge,825,6263.64,0.075748
Al,edge,825,6972.73,0.083089
Al,edge,825,7681.82,0.139919
Al,edge,825,8390.91,0.116030
Al,edge,825,9100.00,0.099946
Al,screw,825,1300.00,0.000000
Al,screw,825,2009.09,0.000000
Al,screw,825,2718.18,0.038473
Al,screw,825,3427.27,0.034726
Al,screw,825,4136.36,0.018031
Al,screw,825,4845.45,0.035924
Al,screw,825,5554.55,0.004661
Al,screw,825,6263.64,0.000000
