material,temperature_K,process,solute_at_pct,barrier_eV
Al,300,vacancy_migration,,0.52900
Al,300,solute_drag,0.00,0.29914
Al,300,solute_drag,0.50,0.29622
Al,300,solute_drag,1.00,0.32953
Al,300,solute_drag,2.00,0.40094
Al,300,solute_drag,5.00,0.43693
Al,300,dislocation_climb,,1.61242
Al,475,vacancy_migration,,0.51231
Al,475,solute_drag,0.00,0.20575
Al,475,solute_drag,0.50,0.26327
Al,475,solute_drag,1.00,0.35615
Al,475,solute_drag,2.00,0.45686
Al,475,solute_drag,5.00,0.42086
Al,475,dislocation_climb,,1.58663
Al,650,vacancy_migration,,0.55153
Al,650,solute_drag,0.00,0.22297
Al,650,solute_drag,0.50,0.24929
Al,650,solute_drag,1.00,0.32714
Al,650,solute_drag,2.00,0.30234
Al,650,solute_drag,5.00,0.45830
Al,650,dislocation_climb,,1.62350
Al,825,vacancy_migration,,0.51736
Al,825,solute_drag,0.00,0.22441
Al,825,solute_drag,0.50,0.23857
Al,825,solute_drag,1.00,0.29020
Al,825,solute_drag,2.00,0.38098
Al,825,solute_drag,5.00,0.40288
Al,825,dislocation_climb,,1.58057
Al,1000,vacancy_migration,,0.56449
Al,1000,solute_drag,0.00,0.22146
Al,1000,solute_drag,0.50,0.29289
Al,1000,solute_drag,1.00,0.30763
Al,1000,solute_drag,2.00,0.34496
Al,1000,solute_drag,5.00,0.38958
Al,1000,dislocation_climb,,1.70863
Cu,300,vacancy_migration,,0.74335
Cu,300,solute_drag,0.00,0.27741
Cu,300,solute_drag,0.50,0.29417
Cu,300,solute_drag,1.00,0.31326
Cu,300,solute_drag,2.00,0.40955
Cu,300,solute_drag,5.00,0.52452
Cu,300,dislocation_climb,,1.80574
Cu,475,vacancy_migration,,0.71538
Cu,475,solute_drag,0.00,0.26226
Cu,475,solute_drag,0.50,0.33327
Cu,475,solute_drag,1.00,0.37301
Cu,475,solute_drag,2.00,0.37124
Cu,475,solute_drag,5.00,0.46628
Cu,475,dislocation_climb,,1.84589
Cu,650,vacancy_migration,,0.79607
Cu,650,solute_drag,0.00,0.19409
Cu,650,solute_drag,0.50,0.27000
Cu,650,solute_drag,1.00,0.33790
Cu,650,solute_drag,2.00,0.39623
Cu,650,solute_drag,5.00,0.41162
Cu,650,dislocation_climb,,1.85032
Cu,825,vacancy_migration,,0.78541
Cu,825,solute_drag,0.00,0.26364
Cu,825,solute_drag,0.50,0.30352
Cu,825,solute_drag,1.00,0.28822
Cu,825,solute_drag,2.00,0.36770
Cu,825,solute_drag,5.00,0.47171
Cu,825,dislocation_climb,,1.85586
Cu,1000,vacancy_migration,,0.73796
Cu,1000,solute_drag,0.00,0.23325
Cu,1000,solute_drag,0.50,0.30422
Cu,1000,solute_drag,1.00,0.29246
Cu,1000,solute_drag,2.00,0.31161
Cu,1000,solute_drag,5.00,0.44718
Cu,1000,dislocation_climb,,1.91534
Ni,300,vacancy_migration,,0.98379
Ni,300,solute_drag,0.00,0.23007
Ni,300,solute_drag,0.50,0.35602
Ni,300,solute_drag,1.00,0.33678
Ni,300,solute_drag,2.00,0.40317
Ni,300,solute_drag,5.00,0.41368
Ni,300,dislocation_climb,,2.30798
Ni,475,vacancy_migration,,1.02529
Ni,475,solute_drag,0.00,0.21402
Ni,475,solute_drag,0.50,0.32026
Ni,475,solute_drag,1.00,0.32681
Ni,475,solute_drag,2.00,0.36506
Ni,475,solute_drag,5.00,0.47879
Ni,475,dislocation_climb,,2.20803
Ni,650,vacancy_migration,,1.00458
Ni,650,solute_drag,0.00,0.28725
Ni,650,solute_drag,0.50,0.33788
Ni,650,solute_drag,1.00,0.34921
Ni,650,solute_drag,2.00,0.33242
Ni,650,solute_drag,5.00,0.48856
Ni,650,dislocation_climb,,2.28842
Ni,825,vacancy_migration,,1.03626
Ni,825,solute_drag,0.00,0.19905
Ni,825,solute_drag,0.50,0.27043
Ni,825,solute_drag,1.00,0.35122
Ni,825,solute_drag,2.00,0.39595
Ni,825,solute_drag,5.00,0.39462
Ni,825,dislocation_climb,,2.29843
Ni,1000,vacancy_migration,,0.99057
Ni,1000,solute_drag,0.00,0.20367
Ni,1000,solute_drag,0.50,0.27624
Ni,1000,solute_drag,1.00,0.31082
Ni,1000,solute_drag,2.00,0.34188
Ni,1000,solute_drag,5.00,0.38724
Ni,1000,dislocation_climb,,2.16534
Fe,300,vacancy_migration,,0.65496
Fe,300,solute_drag,0.00,0.23774
Fe,300,solute_drag,0.50,0.31398
Fe,300,solute_drag,1.00,0.39557
Fe,300,solute_drag,2.00,0.33376
Fe,300,solute_drag,5.00,0.43352
Fe,300,dislocation_climb,,2.49707
Fe,475,vacancy_migration,,0.64351
Fe,475,solute_drag,0.00,0.20744
Fe,475,solute_drag,0.50,0.30413
Fe,475,solute_drag,1.00,0.33788
Fe,475,solute_drag,2.00,0.42716
Fe,475,solute_drag,5.00,0.52343
Fe,475,dislocation_climb,,2.57482
Fe,650,vacancy_migration,,0.64794
Fe,650,solute_drag,0.00,0.18061
Fe,650,solute_drag,0.50,0.25236
Fe,650,solute_drag,1.00,0.32493
Fe,650,solute_drag,2.00,0.35789
Fe,650,solute_drag,5.00,0.44497
Fe,650,dislocation_climb,,2.46545
Fe,825,vacancy_migration,,0.67050
Fe,825,solute_drag,0.00,0.18041
Fe,825,solute_drag,0.50,0.27395
Fe,825,solute_drag,1.00,0.26111
Fe,825,solute_drag,2.00,0.29769
Fe,825,solute_drag,5.00,0.43706
Fe,825,dislocation_climb,,2.45350
Fe,1000,vacancy_migration,,0.62560
Fe,1000,solute_drag,0.00,0.24623
Fe,1000,solute_drag,0.50,0.28077
Fe,1000,solute_drag,1.00,0.30466
Fe,1000,solute_drag,2.00,0.32316
Fe,1000,solute_drag,5.00,0.43032
Fe,1000,dislocation_climb,,2.58360
Ti,300,vacancy_migration,,1.13538
Ti,300,solute_drag,0.00,0.22679
Ti,300,solute_drag,0.50,0.33179
Ti,300,solute_drag,1.00,0.33642
Ti,300,solute_drag,2.00,0.39539
Ti,300,solute_drag,5.00,0.48505
Ti,300,dislocation_climb,,2.27419
Ti,475,vacancy_migration,,1.07954
Ti,475,solute_drag,0.00,0.22135
Ti,475,solute_drag,0.50,0.29895
Ti,475,solute_drag,1.00,0.34672
Ti,475,solute_drag,2.00,0.37236
Ti,475,solute_drag,5.00,0.46450
Ti,475,dislocation_climb,,2.50463
Ti,650,vacancy_migration,,1.08205
Ti,650,solute_drag,0.00,0.26599
Ti,650,solute_drag,0.50,0.27883
Ti,650,solute_drag,1.00,0.32882
Ti,650,solute_drag,2.00,0.41613
Ti,650,solute_drag,5.00,0.46650
Ti,650,dislocation_climb,,2.36998
Ti,825,vacancy_migration,,1.07590
Ti,825,solute_drag,0.00,0.21753
Ti,825,solute_drag,0.50,0.28360
Ti,825,solute_drag,1.00,0.35500
Ti,825,solute_drag,2.00,0.33291
Ti,825,solute_drag,5.00,0.43389
Ti,825,dislocation_climb,,2.39379
Ti,1000,vacancy_migration,,1.08590
Ti,1000,solute_drag,0.00,0.21040
Ti,1000,solute_drag,0.50,0.25835
Ti,1000,solute_drag,1.00,0.27631
Ti,1000,solute_drag,2.00,0.32979
Ti,1000,solute_drag,5.00,0.44525
Ti,1000,dislocation_climb,,2.37882
