material,temperature_K,defect_type,energy_eV
Al,300,vacancy,0.62441
Al,300,interstitial,1.15958
Al,475,vacancy,0.61533
Al,475,interstitial,1.28584
Al,650,vacancy,0.69612
Al,650,interstitial,1.32171
Al,825,vacancy,0.57275
Al,825,interstitial,1.27888
Al,1000,vacancy,0.66579
Al,1000,interstitial,1.14963
Cu,300,vacancy,1.31382
Cu,300,interstitial,2.19553
Cu,475,vacancy,1.20823
Cu,475,interstitial,2.04990
Cu,650,vacancy,1.33066
Cu,650,interstitial,2.26512
Cu,825,vacancy,1.23372
Cu,825,interstitial,2.18288
Cu,1000,vacancy,1.22349
Cu,1000,interstitial,2.09012
Ni,300,vacancy,1.55607
Ni,300,interstitial,2.83481
Ni,475,vacancy,1.64234
Ni,475,interstitial,2.64220
Ni,650,vacancy,1.64229
Ni,650,interstitial,2.64948
Ni,825,vacancy,1.47657
Ni,825,interstitial,2.77232
Ni,1000,vacancy,1.60029
Ni,1000,interstitial,2.65359
Fe,300,vacancy,1.95947
Fe,300,interstitial,3.19492
Fe,475,vacancy,1.95169
Fe,475,interstitial,3.35515
Fe,650,vacancy,1.98466
Fe,650,interstitial,3.35568
Fe,825,vacancy,1.89996
Fe,825,interstitial,3.30192
Fe,1000,vacancy,1.94475
Fe,1000,interstitial,3.29751
Ti,300,vacancy,1.73921
Ti,300,interstitial,3.08992
Ti,475,vacancy,1.73473
Ti,475,interstitial,2.94259
Ti,650,vacancy,1.75709
Ti,650,interstitial,2.97173
Ti,825,vacancy,1.75656
Ti,825,interstitial,3.07883
Ti,1000,vacancy,1.83544
Ti,1000,interstitial,2.92080
