curve_id,material,gb_sigma,temperature_K,misorientation_deg,strain,shear_stress_MPa,sliding_velocity_m_s
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00000,1.861,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00169,43.101,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00339,95.116,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00508,131.978,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00678,177.681,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.00847,227.704,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01017,257.740,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01186,311.826,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01356,352.320,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01525,400.631,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01695,434.179,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.01864,489.976,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02034,522.414,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02203,509.780,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02373,493.450,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02542,484.526,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02712,477.279,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.02881,461.003,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.03051,446.361,0.000000
48291763-6df9-473f-80e1-f1a59c398e52,Al,3,300,37.27,0.03220,445.607,0.000000
