FirmID,Year,Size,Subsector,Ownership,FDI_Presence,Knowledge_Absorption,Task_Performance,Innovation_Score,Skilled_Labor_Ratio,IoT_Use,RD_Spend_Ratio,Liquidity_Ratio,Tax_Incentives,Regulatory_Stability,Infrastructure_Support,Corruption_Experience,Policy_Effectiveness_Index,ROI,ROA,Export_Intensity,Market_Share,Operational_Efficiency,Employees,Assets_MUSD,Age,FDI_Total_Nigeria_USD_Bn,FDI_Lagos_USD_Bn,FDI_Sector_Food_Bev_Tob_USD_Bn,FDI_Type_Greenfield_pct,FDI_Type_MA_pct,Top_Origin_Countries,Ease_Doing_Business_Index,Regulatory_Quality_Index,Corruption_Perception_Index,EEG_Disbursement_USD_M,Tax_Incentive_Spend_USD_M,Power_Supply_Stability_Index,Logistics_Performance_Index,Port_Dwell_Time_Days,Food_Sector_GDP_Contribution_USD_Bn,Food_Sector_Employment_Thousands,Food_Sector_Output_Growth_pct,Food_Sector_Exports_USD_Bn,Lagos_GDP_USD_Bn,Lagos_Manufacturing_Employment_Thousands
FIRM_003,2023,SME,Fruit & vegetable processing,Joint Venture,1,3.41,3.1,3.79,0.758,1,0.123,2.23,4.68,1.48,3.38,3.77,3.42,0.1204,0.115,0.16,0.15,3.81,159,3.86,7,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
FIRM_004,2022,SME,Fish processing,Domestic,1,4.71,3.6,3.65,0.374,1,0.237,1.27,3.45,3.55,2.87,4.24,3.35,0.0978,0.1507,0.383,0.1224,4.62,118,3.99,7,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_006,2024,SME,Beverages,Joint Venture,1,2.53,3.02,2.42,0.498,0,0.25,1.83,5.26,3.72,4.61,5.04,4.34,0.2265,0.115,0.484,0.15,4.5,91,4.78,48,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_007,2024,SME,Grain milling,Domestic,1,3.98,3.09,4.69,0.318,0,0.25,1.58,5.29,3.96,5.56,2.72,5.04,0.2462,0.1947,0.136,0.15,4.27,108,3.82,47,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_008,2022,SME,Beverages,Domestic,0,3.47,3.56,2.26,0.784,0,0.055,0.91,5.51,3.06,3.7,3.68,4.18,0.1451,0.0367,0.039,0.0071,3.9,35,4.6,7,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_010,2022,SME,Bakery products,Domestic,0,2.44,3.87,2.45,0.578,1,0.25,1.3,3.06,3.36,3.29,5.05,3.19,0.1909,0.0749,0.32,0.0709,3.3,50,1.69,33,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_011,2024,Large,Bakery products,Joint Venture,1,3.5,3.35,2.79,0.45,1,0.25,1.81,4.72,4.14,3.44,6.72,3.68,0.1678,0.1083,0.493,0.1208,4.39,812,19.06,20,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_012,2024,SME,Bakery products,Domestic,0,3.21,3.84,3.63,0.568,0,0.085,1.22,4.7,4.85,1.0,4.33,3.47,0.1298,0.1129,0.083,0.15,3.26,80,1.82,35,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_014,2024,SME,Grain milling,Foreign,1,4.76,4.58,2.33,0.494,0,0.25,1.98,3.68,1.35,4.22,4.91,3.17,0.1427,0.169,0.414,0.0697,4.09,155,4.02,7,4.5,2.4,0.63,65,35,"UK, South Africa, China",58.7,-0.59,25,140,330,44,2.4,17.5,50.5,2145,2.6,1.35,140,845
FIRM_018,2022,SME,Meat processing,Domestic,0,2.37,4.65,3.56,0.208,0,0.103,1.71,3.15,3.16,3.35,4.37,3.28,0.1187,0.0976,0.085,0.15,3.25,144,3.19,16,4.1,2.1,0.55,62,38,"UK, USA, China",56.9,-0.65,24,120,310,38,2.31,19.0,48.2,2100,2.1,1.1,130,820
FIRM_020,2023,SME,Beverages,Domestic,0,2.51,3.35,3.94,0.523,1,0.151,1.67,5.77,3.86,3.67,6.83,3.97,0.0584,0.0365,0.246,0.15,3.13,257,14.0,38,3.8,1.9,0.52,58,42,"USA, Netherlands, China",58.1,-0.61,24,95,295,41,2.35,18.2,49.0,2120,2.4,1.2,134,830
