FirmID,Year,Size,Employees,Assets_USD_millions,Age_Years,Subsector,Ownership_Type,FDI_Presence,FDI_Equity_Share_percent,Knowledge_Absorption_1_5,Task_Performance_1_5,Innovation_1_5,Firm_Resources_1_5,Skilled_Labor_Ratio,IoT_Use,RD_Spend_percent_of_Revenue,Liquidity_Ratio,Tax_Incentives_1_7,Regulatory_Stability_1_7,Infrastructure_Support_1_7,Corruption_Experience_1_7,Govt_Policy_Score_1_7,ROI_Self_percent,ROA_Self_percent,Export_Intensity_percent,Market_Share_percent,Operational_Efficiency_Index_0_100,Revenue_USD_millions,Assets_Verified_USD_millions,Export_Value_USD_millions,ROI_Verified_percent,ROA_Verified_percent,Country,Region,FDI_Inflow_Total_USD_billion,FDI_Inflow_Manufacturing_USD_billion,FDI_Inflow_FoodProcessing_USD_billion,FDI_Inflow_Lagos_USD_billion,FDI_Type_Share_Greenfield_percent,FDI_Type_Share_MA_percent,Ease_of_Doing_Business_Score,EEG_Disbursement_USD_billion,Regulatory_Quality_Index,Corruption_Perception_Index_0_100,Power_Supply_Reliability_Hours_per_Day,Logistics_Quality_Index_1_5,Food_Sector_GDP_Contribution_percent,Sector_Employment_thousands,Sector_Output_Growth_percent,Sector_Export_Value_USD_billion,Top_Origin_Countries,FDI_x_Policy,Innovation_x_Policy
FIRM_001,2024,Large,1498,30.11,15,Ready Meals,Domestic,0,0.0,2.8,5.0,3.4,3.6,0.56,1,2.02,2.35,4.0,5.9,2.7,2.3,4.6,5.71,5.42,9.07,4.94,81.6,89.74,27.27,8.14,5.26,5.49,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.639999999999999
FIRM_002,2024,Large,357,28.91,35,Dairy,Foreign,1,97.0,4.9,3.7,4.1,4.0,0.7,1,3.13,1.06,5.5,3.6,3.9,4.9,4.0,16.06,10.12,23.61,5.13,72.8,88.39,26.92,20.87,14.62,10.41,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,4.0,16.4
FIRM_003,2024,SME,14,2.63,40,Oils & Fats,Domestic,0,0.0,1.8,4.9,4.0,2.7,0.48,0,3.36,2.03,4.6,3.0,3.4,4.8,3.6,4.63,4.93,18.56,0.09,68.2,9.92,1.97,1.84,3.17,4.91,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,14.4
FIRM_004,2024,Large,1384,23.77,33,Seafood Processing,Joint Venture,1,76.0,3.5,4.7,4.7,3.8,0.63,1,4.57,1.36,4.7,5.2,2.3,6.6,3.4,9.41,7.75,11.5,4.65,57.6,68.78,27.0,7.91,10.92,8.31,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.4,15.98
FIRM_005,2024,SME,26,0.8,1,Bakery,Domestic,0,0.0,2.9,3.2,2.5,2.4,0.49,1,0.0,1.87,2.9,4.1,2.8,5.3,3.1,0.73,1.31,11.51,1.01,38.0,7.04,2.91,0.81,-0.74,-0.35,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,7.75
FIRM_006,2024,SME,150,2.6,50,Fruits & Vegetables,Domestic,0,0.0,2.8,5.0,3.2,3.5,0.81,0,0.26,2.15,5.1,4.4,5.0,3.8,4.7,4.04,3.48,4.24,1.28,74.7,7.43,0.4,0.32,5.03,3.16,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,15.040000000000001
FIRM_007,2024,SME,166,0.61,2,Fruits & Vegetables,Domestic,0,0.0,3.4,4.9,3.7,2.5,0.58,0,3.76,1.97,3.9,3.7,3.7,5.3,3.5,9.44,2.18,3.74,0.58,62.8,8.66,3.31,0.32,8.62,0.73,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.950000000000001
FIRM_008,2024,Large,1594,25.39,50,Meat Processing,Domestic,0,0.0,3.3,4.7,3.6,2.3,0.5,1,4.0,2.05,5.1,3.5,2.4,2.6,4.1,7.33,2.06,9.13,14.38,61.5,17.35,28.09,1.58,7.0,2.11,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,14.76
FIRM_009,2024,SME,92,4.64,2,Confectionery,Joint Venture,1,80.0,3.6,4.8,4.3,2.6,0.58,1,1.37,1.02,3.4,3.6,3.8,3.1,3.9,12.84,5.88,16.76,1.72,76.9,4.47,2.29,0.75,13.21,7.16,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,3.9,16.77
FIRM_010,2024,Large,1408,14.16,26,Grains & Cereals,Domestic,0,0.0,2.9,4.4,3.6,3.4,0.73,1,3.91,2.16,4.4,2.4,3.3,4.7,3.4,3.14,6.0,1.11,0.36,56.7,66.02,9.12,0.73,2.12,5.37,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,12.24
FIRM_011,2024,SME,117,2.14,6,Grains & Cereals,Domestic,0,0.0,2.8,4.1,3.5,2.6,0.46,1,3.59,1.17,4.6,3.7,7.0,1.7,5.4,2.14,3.0,15.8,0.37,64.4,11.96,2.0,1.89,2.52,2.91,Nigeria,Lagos,3.6,0.95,0.22,2.1,60.0,40.0,56.0,0.15,-0.8,24,15.5,2.5,4.1,820,3.2,0.78,Netherlands; United Kingdom; United States; China; South Africa,0.0,18.900000000000002
