x_mm,y_mm,z_mm
0.0,0.0,4.0240803699255245
6.25,0.0,3.7465349877790013
12.5,0.0,3.511781458281295
18.75,0.0,3.1154048319081427
25.0,0.0,2.756931525550606
31.25,0.0,2.5417353852807842
37.5,0.0,2.539598824440639
43.75,0.0,2.372920975679925
50.0,0.0,2.1285827818122054
56.25,0.0,2.0717749231860254
62.5,0.0,2.0270538833495464
68.75,0.0,1.9484021072377442
75.0,0.0,2.0264922375505567
81.25,0.0,2.079399150180506
87.5,0.0,2.1366058353740383
93.75,0.0,2.2581202704611147
100.0,0.0,2.329224587384816
106.25,0.0,2.188051482071289
112.5,0.0,2.810748159841257
118.75,0.0,2.555922675587357
125.0,0.0,2.9049464291488087
131.25,0.0,3.0646977074622646
137.5,0.0,3.752870922905768
143.75,0.0,3.5307840751519044
150.0,0.0,4.3525175877395865
0.0,6.25,3.5695663195567606
6.25,6.25,2.9484368478163394
12.5,6.25,2.828909831557663
18.75,6.25,2.6906379864161143
25.0,6.25,2.6354645670135186
31.25,6.25,2.2968973145728926
37.5,6.25,2.309900557586877
43.75,6.25,2.1294994120176143
50.0,6.25,1.8206498580337038
56.25,6.25,1.7439923292669222
62.5,6.25,1.8014053310758529
68.75,6.25,1.5067934857460732
75.0,6.25,1.8410494275794629
81.25,6.25,1.6581785583430448
87.5,6.25,1.9962193614484884
93.75,6.25,1.9001312960875874
100.0,6.25,1.968187402042025
106.25,6.25,2.07369834382332
112.5,6.25,2.278254514213568
118.75,6.25,2.554032337451303
125.0,6.25,2.441731188279376
131.25,6.25,2.9040718011408675
137.5,6.25,2.9726705450346955
143.75,6.25,3.4490216511844918
150.0,6.25,4.043065944732859
0.0,12.5,3.473927164146359
6.25,12.5,2.924536700800809
12.5,12.5,3.0446511188559793
18.75,12.5,2.6258443199096866
25.0,12.5,2.0846984112570492
31.25,12.5,2.156998460839076
37.5,12.5,1.8532719147433014
43.75,12.5,1.7396585012748615
50.0,12.5,1.523009859339177
56.25,12.5,1.3478482124104076
62.5,12.5,1.4264208852535256
68.75,12.5,1.4289957278344099
75.0,12.5,1.4673120763833705
81.25,12.5,1.4902301604064194
87.5,12.5,1.5389889243351065
93.75,12.5,1.6166229344836582
100.0,12.5,1.5810627088097329
106.25,12.5,
112.5,12.5,1.9693550478546635
118.75,12.5,1.9681111627934633
125.0,12.5,2.5439266361726274
131.25,12.5,2.5441810295246667
137.5,12.5,2.6176006252408333
143.75,12.5,2.8053452110192514
150.0,12.5,3.314466574975755
0.0,18.75,3.0470312029757456
6.25,18.75,3.0458788526520055
12.5,18.75,2.479945565481647
18.75,18.75,2.489772512734814
25.0,18.75,2.103650282986947
31.25,18.75,1.9287577004174246
37.5,18.75,1.6499852009663678
43.75,18.75,1.4100060965234449
50.0,18.75,1.2957371760569603
56.25,18.75,1.20915232980322
62.5,18.75,1.0944763182871324
68.75,18.75,1.1814161119657063
75.0,18.75,1.300860781206403
81.25,18.75,1.2563930297369326
87.5,18.75,1.174367684975427
93.75,18.75,1.3469231005456377
100.0,18.75,1.3528643920744123
106.25,18.75,1.455826001564283
112.5,18.75,1.6347742272726749
118.75,18.75,1.7077223315597003
125.0,18.75,1.9863656137932133
131.25,18.75,2.3655995689977063
137.5,18.75,2.487278836372637
143.75,18.75,2.3639469889686318
150.0,18.75,2.8859560710371275
0.0,25.0,2.791626493462354
6.25,25.0,2.7795314916329343
12.5,25.0,2.17805671017108
18.75,25.0,2.041615762171039
25.0,25.0,1.8966085737214298
31.25,25.0,1.5196413275401777
37.5,25.0,1.3897646524603335
43.75,25.0,1.2994895584433415
50.0,25.0,1.169589232038247
56.25,25.0,1.0170349947766208
62.5,25.0,0.94273609417429
68.75,25.0,0.8469243765794542
75.0,25.0,0.7737958447282021
81.25,25.0,0.9526311806394143
87.5,25.0,0.9542385093641845
93.75,25.0,1.118372214736679
100.0,25.0,1.07390873064209
106.25,25.0,1.175100187697591
112.5,25.0,1.4514579316490916
118.75,25.0,1.4831379725319715
125.0,25.0,1.734760544264843
131.25,25.0,2.056826050935375
137.5,25.0,2.1589259519900885
143.75,25.0,2.3786057509537124
150.0,25.0,2.8267816699887756
0.0,31.25,2.5100159314202672
6.25,31.25,2.4140048480923446
12.5,31.25,2.0150168725947855
18.75,31.25,1.7936406174674262
25.0,31.25,1.5811698970833643
31.25,31.25,1.2909697226054477
37.5,31.25,1.286115331591418
43.75,31.25,0.9607029397197642
50.0,31.25,0.9270013621775437
56.25,31.25,0.8160857835881783
62.5,31.25,0.43911535120972894
68.75,31.25,0.678466337470452
75.0,31.25,0.6982343339128909
81.25,31.25,0.6541780052614827
87.5,31.25,0.7105060935945718
93.75,31.25,0.7774800122684901
100.0,31.25,0.8824367933470934
106.25,31.25,1.0190513738348874
112.5,31.25,1.0719407036564708
118.75,31.25,1.3973451308920835
125.0,31.25,1.6055355447732425
131.25,31.25,1.6463989765652647
137.5,31.25,1.959167363565852
143.75,31.25,2.4228278908241045
150.0,31.25,2.446712658566471
0.0,37.5,2.4742809343997085
6.25,37.5,
12.5,37.5,1.7229341052907035
18.75,37.5,1.4903942371138863
25.0,37.5,1.4318371948823225
31.25,37.5,1.2741129525828723
37.5,37.5,1.0141023000061868
43.75,37.5,0.9129274486973844
50.0,37.5,0.7117875138920979
56.25,37.5,0.6491962071365096
62.5,37.5,0.5356747684528261
68.75,37.5,0.5228576497064591
75.0,37.5,0.4825657827370556
81.25,37.5,0.48413136353367037
87.5,37.5,0.5665283097097937
93.75,37.5,0.6363848169727757
100.0,37.5,0.733700583753432
106.25,37.5,0.8185287485344506
112.5,37.5,0.8778545490483005
118.75,37.5,1.0592900709845032
125.0,37.5,1.289753501673551
131.25,37.5,1.6871817305999457
137.5,37.5,1.81631720221686
143.75,37.5,2.094836104251057
150.0,37.5,2.3662301726829296
0.0,43.75,2.1136530475131217
6.25,43.75,1.8162126409828916
12.5,43.75,1.5369848115391196
18.75,43.75,1.4831656827476734
25.0,43.75,1.1680751414315997
31.25,43.75,1.037776003454344
37.5,43.75,0.9050908580833253
43.75,43.75,0.6861131273660585
50.0,43.75,0.561048093340901
56.25,43.75,0.4222540866273549
62.5,43.75,0.4106147047476665
68.75,43.75,0.35963638075179494
75.0,43.75,0.35927747031546525
81.25,43.75,0.3946553071482941
87.5,43.75,0.41777580679782284
93.75,43.75,0.4930333798476792
100.0,43.75,0.5878477923297802
106.25,43.75,0.6751330432875857
112.5,43.75,0.8827857468251575
118.75,43.75,1.0714468515523075
125.0,43.75,1.2380502063144427
131.25,43.75,1.4312183949664483
137.5,43.75,1.6487503525032616
143.75,43.75,1.8989663111836261
150.0,43.75,2.207990542713972
0.0,50.0,2.1132878299435394
6.25,50.0,1.749307482291557
12.5,50.0,1.5577754727632378
18.75,50.0,1.4156626090355247
25.0,50.0,1.0710589271948838
31.25,50.0,0.9322471218634194
37.5,50.0,0.7607553781985975
43.75,50.0,0.6325343289790885
50.0,50.0,0.5160546464806591
56.25,50.0,0.3473710842497772
62.5,50.0,0.3044399874905239
68.75,50.0,0.24733939006196368
75.0,50.0,0.21343907981940863
81.25,50.0,0.2483160301211147
87.5,50.0,0.2806578267388317
93.75,50.0,0.3188424995991929
100.0,50.0,0.4284810542090089
106.25,50.0,0.5144898599665307
112.5,50.0,0.7226769120717204
118.75,50.0,0.9143693179193895
125.0,50.0,1.0362193608559227
131.25,50.0,1.3267219137568913
137.5,50.0,1.4314517318801598
143.75,50.0,1.6756554611901708
150.0,50.0,2.2289170454162903
0.0,56.25,2.0187551744089913
6.25,56.25,1.8386663396958085
12.5,56.25,1.464254065421581
18.75,56.25,1.2081711219794595
25.0,56.25,0.9548335685849231
31.25,56.25,
37.5,56.25,0.6647571149655894
43.75,56.25,0.47756344615597474
50.0,56.25,0.3345959680699538
56.25,56.25,0.20979814622663898
62.5,56.25,0.15024267096534152
68.75,56.25,0.13573851566891065
75.0,56.25,0.12485537418789656
81.25,56.25,0.14245255259279455
87.5,56.25,0.19608218962048132
93.75,56.25,0.23244951723992024
100.0,56.25,0.35653979518398904
106.25,56.25,0.48529134978382393
112.5,56.25,0.6437824981500496
118.75,56.25,0.8246198048629382
125.0,56.25,0.9818857123532786
131.25,56.25,1.1550069633646929
137.5,56.25,1.5263259870299917
143.75,56.25,1.7639957861425464
150.0,56.25,1.9238636033761203
0.0,62.5,1.738388980273642
6.25,62.5,1.7241616868133178
12.5,62.5,1.4283019985956118
18.75,62.5,1.1530255343454006
25.0,62.5,0.9832278970608767
31.25,62.5,0.7000855370683535
37.5,62.5,0.5431199460080435
43.75,62.5,0.3704657628693215
50.0,62.5,0.23631148941531302
56.25,62.5,0.18384057856024943
62.5,62.5,0.10528937788525944
68.75,62.5,
75.0,62.5,0.036149962150546985
81.25,62.5,0.03214799931736708
87.5,62.5,0.1449173723662031
93.75,62.5,0.20223540508606125
100.0,62.5,0.29358858511471464
106.25,62.5,0.4318352776728129
112.5,62.5,0.6071518674321877
118.75,62.5,0.8364774712151862
125.0,62.5,1.0020477390992744
131.25,62.5,0.6867916951740087
137.5,62.5,1.4502657787234592
143.75,62.5,1.434606825960518
150.0,62.5,
0.0,68.75,2.037735499859572
6.25,68.75,1.6592529681495094
12.5,68.75,1.379833471912114
