x_mm,y_mm,z_m
-13.128053,-11.286263,1.867701073e-07
-12.711290,-11.286263,9.101692829e-08
-12.294526,-11.286263,1.558108426e-07
-11.877762,-11.286263,6.965152947e-08
-11.460999,-11.286263,4.725506237e-08
-11.044235,-11.286263,1.156182760e-07
-10.627472,-11.286263,-8.061681388e-08
-10.210708,-11.286263,-1.811361105e-08
-9.793944,-11.286263,-1.709861728e-07
-9.377181,-11.286263,-2.408212485e-08
-8.960417,-11.286263,-2.311964390e-07
-8.543654,-11.286263,-6.756812743e-08
-8.126890,-11.286263,1.410605139e-07
-7.710126,-11.286263,-5.005475906e-08
-7.293363,-11.286263,7.166124962e-08
-6.876599,-11.286263,-1.251501548e-08
-6.459836,-11.286263,1.230571653e-07
-6.043072,-11.286263,6.032601817e-08
-5.626308,-11.286263,-5.785117082e-08
-5.209545,-11.286263,-7.149071502e-08
-4.792781,-11.286263,5.060643594e-08
-4.376018,-11.286263,-9.013288352e-08
-3.959254,-11.286263,6.580201864e-08
-3.542491,-11.286263,4.913933236e-08
-3.125727,-11.286263,1.232772086e-07
-2.708963,-11.286263,-1.876115197e-07
-2.292200,-11.286263,7.239217041e-08
-1.875436,-11.286263,-1.522029135e-09
-1.458673,-11.286263,7.888110073e-08
-1.041909,-11.286263,2.514997905e-07
-0.625145,-11.286263,2.189382274e-07
-0.208382,-11.286263,7.456107783e-08
0.208382,-11.286263,-1.555165216e-07
0.625145,-11.286263,2.203981676e-07
1.041909,-11.286263,1.558442506e-07
1.458673,-11.286263,-1.174656838e-08
1.875436,-11.286263,6.061541349e-08
2.292200,-11.286263,1.336023584e-07
2.708963,-11.286263,2.290400459e-08
3.125727,-11.286263,-1.121836626e-07
3.542491,-11.286263,1.545111541e-07
3.959254,-11.286263,-9.002537305e-08
4.376018,-11.286263,6.090827316e-08
4.792781,-11.286263,-2.841660398e-08
5.209545,-11.286263,-8.725774645e-08
5.626308,-11.286263,-1.924495052e-07
6.043072,-11.286263,6.972057560e-08
6.459836,-11.286263,1.633247961e-07
6.876599,-11.286263,-1.117293885e-07
7.293363,-11.286263,9.250439550e-08
7.710126,-11.286263,2.100742134e-08
8.126890,-11.286263,5.050088679e-08
8.543654,-11.286263,1.372921467e-07
8.960417,-11.286263,6.646069851e-08
9.377181,-11.286263,9.249686316e-08
9.793944,-11.286263,1.569574143e-07
10.210708,-11.286263,-2.430444499e-07
10.627472,-11.286263,-1.909571534e-07
11.044235,-11.286263,5.649145397e-08
11.460999,-11.286263,-7.525068428e-08
11.877762,-11.286263,-4.102318609e-08
12.294526,-11.286263,-6.327528899e-08
12.711290,-11.286263,-4.855431920e-08
13.128053,-11.286263,-4.622265326e-08
-13.128053,-10.927969,-9.204355389e-08
-12.711290,-10.927969,1.921793471e-07
-12.294526,-10.927969,-2.586220455e-08
-11.877762,-10.927969,9.758179550e-08
-11.460999,-10.927969,1.334465012e-07
-11.044235,-10.927969,1.120199326e-07
-10.627472,-10.927969,-1.180090896e-07
-10.210708,-10.927969,1.385467379e-07
-9.793944,-10.927969,-1.660678681e-09
-9.377181,-10.927969,3.949641083e-08
-8.960417,-10.927969,-1.040335290e-07
-8.543654,-10.927969,-1.797575698e-07
-8.126890,-10.927969,2.007431643e-08
-7.710126,-10.927969,-1.924155941e-07
