frequency_hz,sound_speed_ms,attenuation_db_m,temperature_c,pressure_pa,density_kg_m3,viscosity_pa_s,measurement_id,timestamp
100,343.2,0.0001,20.0,101325,1.204,0.0000181,A001,2024-01-15T12:00:00
200,343.2,0.0004,20.0,101325,1.204,0.0000181,A002,2024-01-15T12:05:00
500,343.3,0.0010,20.0,101325,1.204,0.0000181,A003,2024-01-15T12:10:00
1000,343.4,0.0020,20.0,101325,1.204,0.0000181,A004,2024-01-15T12:15:00
2000,343.6,0.0040,20.0,101325,1.204,0.0000181,A005,2024-01-15T12:20:00
5000,344.2,0.0100,20.0,101325,1.204,0.0000181,A006,2024-01-15T12:25:00
10000,345.4,0.0200,20.0,101325,1.204,0.0000181,A007,2024-01-15T12:30:00
20000,348.2,0.0400,20.0,101325,1.204,0.0000181,A008,2024-01-15T12:35:00
50000,355.8,0.1000,20.0,101325,1.204,0.0000181,A009,2024-01-15T12:40:00
100000,371.4,0.2000,20.0,101325,1.204,0.0000181,A010,2024-01-15T12:45:00
100,331.3,0.0001,5.0,101325,1.269,0.0000171,A011,2024-01-15T13:00:00
200,331.3,0.0004,5.0,101325,1.269,0.0000171,A012,2024-01-15T13:05:00
500,331.4,0.0010,5.0,101325,1.269,0.0000171,A013,2024-01-15T13:10:00
1000,331.5,0.0020,5.0,101325,1.269,0.0000171,A014,2024-01-15T13:15:00
2000,331.7,0.0040,5.0,101325,1.269,0.0000171,A015,2024-01-15T13:20:00
5000,332.3,0.0100,5.0,101325,1.269,0.0000171,A016,2024-01-15T13:25:00
10000,333.5,0.0200,5.0,101325,1.269,0.0000171,A017,2024-01-15T13:30:00
20000,336.3,0.0400,5.0,101325,1.269,0.0000171,A018,2024-01-15T13:35:00
50000,343.9,0.1000,5.0,101325,1.269,0.0000171,A019,2024-01-15T13:40:00
100000,359.5,0.2000,5.0,101325,1.269,0.0000171,A020,2024-01-15T13:45:00
100,355.1,0.0001,35.0,101325,1.146,0.0000190,A021,2024-01-15T14:00:00
200,355.1,0.0004,35.0,101325,1.146,0.0000190,A022,2024-01-15T14:05:00
500,355.2,0.0010,35.0,101325,1.146,0.0000190,A023,2024-01-15T14:10:00
1000,355.3,0.0020,35.0,101325,1.146,0.0000190,A024,2024-01-15T14:15:00
2000,355.5,0.0040,35.0,101325,1.146,0.0000190,A025,2024-01-15T14:20:00
5000,356.1,0.0100,35.0,101325,1.146,0.0000190,A026,2024-01-15T14:25:00
10000,357.3,0.0200,35.0,101325,1.146,0.0000190,A027,2024-01-15T14:30:00
20000,360.1,0.0400,35.0,101325,1.146,0.0000190,A028,2024-01-15T14:35:00
50000,367.7,0.1000,35.0,101325,1.146,0.0000190,A029,2024-01-15T14:40:00
100000,383.3,0.2000,35.0,101325,1.146,0.0000190,A030,2024-01-15T14:45:00
