frequency_hz,sound_speed_ms,attenuation_db_m,temperature_c,pressure_pa,density_kg_m3,viscosity_pa_s,measurement_id,timestamp
100,1482.3,0.0021,20.0,101325,998.2,0.001002,W001,2024-01-15T09:00:00
200,1482.5,0.0042,20.0,101325,998.2,0.001002,W002,2024-01-15T09:05:00
500,1483.1,0.0105,20.0,101325,998.2,0.001002,W003,2024-01-15T09:10:00
1000,1484.2,0.0210,20.0,101325,998.2,0.001002,W004,2024-01-15T09:15:00
2000,1485.8,0.0420,20.0,101325,998.2,0.001002,W005,2024-01-15T09:20:00
5000,1489.5,0.1050,20.0,101325,998.2,0.001002,W006,2024-01-15T09:25:00
10000,1495.2,0.2100,20.0,101325,998.2,0.001002,W007,2024-01-15T09:30:00
20000,1506.8,0.4200,20.0,101325,998.2,0.001002,W008,2024-01-15T09:35:00
50000,1535.4,1.0500,20.0,101325,998.2,0.001002,W009,2024-01-15T09:40:00
100000,1578.9,2.1000,20.0,101325,998.2,0.001002,W010,2024-01-15T09:45:00
100,1478.9,0.0019,15.0,101325,999.1,0.001139,W011,2024-01-15T10:00:00
200,1479.1,0.0038,15.0,101325,999.1,0.001139,W012,2024-01-15T10:05:00
500,1479.7,0.0095,15.0,101325,999.1,0.001139,W013,2024-01-15T10:10:00
1000,1480.8,0.0190,15.0,101325,999.1,0.001139,W014,2024-01-15T10:15:00
2000,1482.4,0.0380,15.0,101325,999.1,0.001139,W015,2024-01-15T10:20:00
5000,1486.1,0.0950,15.0,101325,999.1,0.001139,W016,2024-01-15T10:25:00
10000,1491.8,0.1900,15.0,101325,999.1,0.001139,W017,2024-01-15T10:30:00
20000,1503.4,0.3800,15.0,101325,999.1,0.001139,W018,2024-01-15T10:35:00
50000,1532.0,0.9500,15.0,101325,999.1,0.001139,W019,2024-01-15T10:40:00
100000,1575.5,1.9000,15.0,101325,999.1,0.001139,W020,2024-01-15T10:45:00
100,1486.7,0.0023,25.0,101325,997.0,0.000890,W021,2024-01-15T11:00:00
200,1486.9,0.0046,25.0,101325,997.0,0.000890,W022,2024-01-15T11:05:00
500,1487.5,0.0115,25.0,101325,997.0,0.000890,W023,2024-01-15T11:10:00
1000,1488.6,0.0230,25.0,101325,997.0,0.000890,W024,2024-01-15T11:15:00
2000,1490.2,0.0460,25.0,101325,997.0,0.000890,W025,2024-01-15T11:20:00
5000,1493.9,0.1150,25.0,101325,997.0,0.000890,W026,2024-01-15T11:25:00
10000,1499.6,0.2300,25.0,101325,997.0,0.000890,W027,2024-01-15T11:30:00
20000,1511.2,0.4600,25.0,101325,997.0,0.000890,W028,2024-01-15T11:35:00
50000,1539.8,1.1500,25.0,101325,997.0,0.000890,W029,2024-01-15T11:40:00
100000,1583.3,2.3000,25.0,101325,997.0,0.000890,W030,2024-01-15T11:45:00
