hour,mode,current_density_A_cm2,price_USD_MWh
0,standby,0.0,44.75
1,standby,0.0,58.89
2,SOFC,0.4,63.87
3,standby,0.0,57.51
4,SOFC,0.4,80.0
5,SOFC,0.4,75.83
6,SOFC,0.4,73.62
7,SOFC,0.4,73.21
8,standby,0.0,58.8
9,standby,0.0,55.57
10,SOFC,0.4,74.83
11,standby,0.0,55.78
12,standby,0.0,50.96
13,standby,0.0,37.91
14,standby,0.0,53.54
15,standby,0.0,44.62
16,standby,0.0,43.04
17,standby,0.0,42.47
18,standby,0.0,42.78
19,standby,0.0,39.69
20,standby,0.0,41.69
21,standby,0.0,43.48
22,standby,0.0,38.39
23,standby,0.0,45.29
24,SOFC,0.4,75.9
25,SOFC,0.4,79.92
26,standby,0.0,53.86
27,SOFC,0.4,80.32
28,SOFC,0.4,70.67
29,SOFC,0.4,100.97
30,SOFC,0.4,74.73
31,SOFC,0.4,87.08
32,SOFC,0.4,81.5
33,SOFC,0.4,83.13
34,SOFC,0.4,82.84
35,SOFC,0.4,61.36
36,SOFC,0.4,76.67
37,standby,0.0,54.0
38,standby,0.0,40.99
39,standby,0.0,46.95
40,standby,0.0,46.41
41,standby,0.0,55.16
42,standby,0.0,50.02
43,standby,0.0,49.94
44,standby,0.0,41.94
45,SOFC,0.4,60.06
46,standby,0.0,58.42
47,SOFC,0.4,63.76
48,SOFC,0.4,75.35
49,SOFC,0.4,65.76
50,SOFC,0.4,88.5
51,SOFC,0.4,83.59
52,SOFC,0.4,88.73
53,SOFC,0.4,85.42
54,SOFC,0.4,80.94
55,SOFC,0.4,100.66
56,SOFC,0.4,80.07
57,SOFC,0.4,71.47
58,SOFC,0.4,64.75
59,SOFC,0.4,82.27
60,SOFC,0.4,67.51
61,standby,0.0,46.56
62,standby,0.0,49.53
63,standby,0.0,45.9
64,standby,0.0,37.06
65,standby,0.0,46.25
66,standby,0.0,38.38
67,standby,0.0,39.93
68,SOEC,-0.4,32.61
69,standby,0.0,39.41
70,standby,0.0,39.57
71,SOFC,0.4,73.28
72,standby,0.0,35.58
73,standby,0.0,56.05
74,SOFC,0.4,65.49
75,SOFC,0.4,65.11
76,SOFC,0.4,73.89
77,SOFC,0.4,66.49
78,SOFC,0.4,75.98
79,SOFC,0.4,82.19
80,standby,0.0,53.65
81,SOFC,0.4,61.62
82,standby,0.0,57.52
83,SOFC,0.4,68.12
84,standby,0.0,52.36
85,standby,0.0,37.35
86,standby,0.0,39.81
87,SOEC,-0.4,22.51
88,standby,0.0,42.93
89,SOEC,-0.4,31.14
90,SOEC,-0.4,25.98
91,SOEC,-0.4,29.37
92,SOEC,-0.4,26.12
93,SOEC,-0.4,22.83
94,SOEC,-0.4,30.61
95,standby,0.0,47.5
96,standby,0.0,43.71
97,standby,0.0,50.99
98,SOFC,0.4,61.55
99,SOFC,0.4,62.86
100,standby,0.0,54.65
101,SOFC,0.4,66.88
