hour,thermal_power_MWth,He_outlet_temp_C,steam_outlet_temp_C
0,603.39,798.77,746.34
1,592.42,801.67,746.95
2,594.3,802.42,755.68
3,600.43,799.14,750.06
4,599.22,800.06,749.58
5,601.14,796.3,746.19
6,591.65,799.6,746.42
7,598.37,799.68,750.63
8,598.81,800.62,751.48
9,601.06,801.45,752.24
10,604.34,800.74,749.39
11,600.34,802.23,753.47
12,594.64,800.1,751.04
13,601.76,798.0,748.86
14,591.39,802.45,752.31
15,600.65,797.76,747.51
16,602.58,798.24,747.42
17,599.86,799.88,750.16
18,603.46,797.76,743.35
19,593.59,799.42,749.51
20,611.55,796.93,746.29
21,595.61,798.97,753.81
22,587.2,797.1,743.84
23,593.84,801.13,747.2
24,614.92,800.39,748.36
25,605.72,797.75,748.53
26,593.94,797.45,746.7
27,606.16,798.97,743.75
28,606.69,799.45,745.51
29,593.05,801.62,754.96
30,606.42,797.27,753.16
31,598.27,802.01,753.65
32,603.83,799.16,748.65
33,605.16,799.08,749.71
34,605.05,797.58,745.25
35,599.37,799.44,753.32
36,596.27,797.61,752.32
37,603.02,800.21,748.0
38,604.51,802.3,753.75
39,602.75,804.37,753.0
40,600.12,799.98,751.68
41,603.8,800.6,749.66
42,592.3,800.59,748.33
43,604.12,803.65,754.35
44,599.45,800.17,746.02
45,606.04,798.39,748.31
46,601.3,799.74,749.01
47,603.52,797.62,749.47
48,603.43,803.55,754.17
49,598.66,801.09,751.17
50,596.78,802.18,754.86
51,605.23,798.73,751.09
52,602.18,801.15,753.7
53,601.95,799.94,746.81
54,605.19,796.52,748.53
55,603.69,797.81,752.42
56,607.4,800.82,745.86
57,598.86,804.99,751.24
58,603.3,802.01,757.49
59,607.31,801.51,752.76
60,597.56,803.23,751.39
61,595.82,799.01,745.29
62,600.18,801.39,749.43
63,600.86,797.92,741.72
64,601.83,800.23,751.21
65,604.65,798.86,751.55
66,603.37,802.02,756.13
67,613.79,796.16,740.64
68,607.12,798.26,749.94
69,597.71,803.2,753.42
70,605.24,802.2,754.45
71,600.58,800.44,743.18
72,604.0,801.29,751.2
73,602.4,800.88,747.61
74,591.98,804.96,751.71
75,597.26,800.78,756.21
76,601.58,801.17,756.16
77,604.61,799.27,749.85
78,595.33,800.45,744.39
79,607.79,797.5,745.47
