hour,grid_demand_MW,day_ahead_price_USD_MWh
0,4847.4,44.75
1,5210.4,58.89
2,5038.4,63.87
3,5109.9,57.51
4,5112.6,80.0
5,5687.7,75.83
6,5548.8,73.62
7,5358.9,73.21
8,5300.4,58.8
9,5433.1,55.57
10,5047.3,74.83
11,4931.7,55.78
12,5183.7,50.96
13,5220.5,37.91
14,4764.7,53.54
15,4851.0,44.62
16,4843.4,43.04
17,4750.8,42.47
18,4782.9,42.78
19,4705.5,39.69
20,4368.1,41.69
21,4790.2,43.48
22,4984.3,38.39
23,5017.4,45.29
24,4951.4,75.9
25,5249.3,79.92
26,5171.8,53.86
27,5292.7,80.32
28,5190.3,70.67
29,5252.1,100.97
30,5362.7,74.73
31,5320.4,87.08
32,5235.9,81.5
33,5162.7,83.13
34,4828.2,82.84
35,4918.6,61.36
36,5006.3,76.67
37,4929.6,54.0
38,4932.2,40.99
39,5005.6,46.95
40,4694.3,46.41
41,4553.9,55.16
42,4952.4,50.02
43,4807.4,49.94
44,4687.2,41.94
45,4555.6,60.06
46,5239.9,58.42
47,4920.1,63.76
48,5093.3,75.35
49,4971.7,65.76
50,5022.4,88.5
51,5435.8,83.59
52,5227.4,88.73
53,5242.1,85.42
54,5345.2,80.94
55,5334.6,100.66
56,5458.7,80.07
57,5234.6,71.47
58,5281.7,64.75
59,5018.2,82.27
60,4901.1,67.51
61,4826.2,46.56
62,4781.2,49.53
63,5082.1,45.9
64,4702.9,37.06
65,4673.2,46.25
66,4858.9,38.38
67,4864.0,39.93
68,4624.5,32.61
69,4804.4,39.41
70,4525.8,39.57
71,5050.6,73.28
72,5152.5,35.58
73,5226.0,56.05
74,5504.8,65.49
75,5334.7,65.11
76,5327.7,73.89
77,5371.4,66.49
78,5266.8,75.98
79,5659.4,82.19
80,5585.6,53.65
81,5187.1,61.62
82,5035.4,57.52
83,5147.5,68.12
84,5053.6,52.36
85,4993.7,37.35
86,4942.1,39.81
87,4591.4,22.51
88,4768.1,42.93
89,4794.9,31.14
90,4611.6,25.98
91,4960.7,29.37
92,4718.6,26.12
93,4815.4,22.83
94,5175.1,30.61
95,4743.2,47.5
96,5054.4,43.71
97,4995.1,50.99
98,5276.2,61.55
99,5351.9,62.86
100,5338.0,54.65
101,5223.6,66.88
102,5235.6,61.99
103,5276.8,52.55
104,5184.6,62.79
105,5356.4,61.15
106,5141.3,36.2
107,5176.2,35.7
108,4994.8,31.06
109,5185.7,48.72
110,5074.9,21.49
111,4855.2,8.56
112,4891.2,9.93
113,4937.7,23.71
114,4780.7,11.24
115,4682.8,10.13
116,4921.7,5.1
117,4851.6,28.74
118,4689.4,32.66
119,4943.0,32.13
120,5263.4,27.9
121,5185.6,35.78
122,4974.4,40.39
123,5200.2,47.16
124,5284.3,46.12
125,5220.8,46.12
126,5180.3,54.78
127,5077.3,65.84
128,5329.7,43.19
129,5357.9,50.82
130,4905.8,54.3
131,5465.7,41.61
132,4933.3,36.42
133,5069.1,23.85
134,5018.8,32.11
135,4670.2,30.21
136,4798.3,29.44
137,4952.7,21.76
138,4628.3,13.42
139,5006.8,16.97
140,4439.3,12.24
141,4884.7,24.41
142,5032.8,30.1
143,4948.6,36.39
144,5224.1,48.93
145,5089.2,44.25
146,5264.1,43.19
147,5445.4,52.17
148,5171.5,59.67
149,5466.1,65.66
150,5322.8,57.56
151,5494.9,57.15
152,5233.6,63.88
153,5467.5,49.85
154,4747.6,56.13
155,5030.7,55.28
156,5411.0,43.62
157,5116.2,44.13
158,4811.0,26.1
159,4736.1,28.92
160,4775.8,21.12
161,4800.2,31.02
162,4778.4,6.8
163,5004.7,34.3
164,5170.8,25.14
165,4882.7,27.91
166,5013.3,48.84
167,4990.3,43.02
168,4971.5,46.29
169,5302.7,58.1
170,5281.5,62.48
171,5519.2,64.73
172,5275.4,78.02
173,5407.9,54.06
174,5204.1,64.85
175,5413.5,64.93
176,5431.2,84.51
177,5241.8,80.03
178,5290.2,66.59
179,5249.6,60.75
180,4856.8,53.76
181,4857.6,60.11
182,4960.6,37.93
183,4836.3,50.96
184,5026.5,54.29
185,4905.2,41.27
186,4857.3,41.72
187,4939.8,41.72
188,4977.0,39.56
189,4822.1,33.4
190,5071.4,52.19
191,5318.4,51.11
192,5252.7,54.67
193,5165.3,65.59
194,4997.3,78.14
195,5141.5,80.23
196,5422.4,83.21
