system_id,description,interval_years,cost_usd
roof_insulation,Roof inspection and minor repairs,5,1500
wall_insulation,Façade inspection and sealant refresh,7,2500
windows,Gasket and seal replacement,10,10000
airtightness,Blower-door test and resealing,8,3000
boiler,Annual service and tune-up,1,1200
heat_pump,Filter and refrigerant check,1,900
vrf,VRF system inspection and cleaning,1,1300
hrv,HRV core cleaning and filter change,1,700
pv,Inverter inspection and cleaning,1,600
battery,BMS calibration and health check,1,800
solar_thermal,Glycol top-up and pump check,2,1000
