firm_code,ka1,ka2,ka3,ka4,inn1,inn2,inn3,gp1,gp2,gp3,TP,FR,FDI,PERFORM
FIRM001,4,2,2,2,12.0,4,0.667,6,4,5,3.5,0.575,0.453,0.75
FIRM003,1,4,1,1,12.0,0,0.667,1,1,1,2.25,0.536,0.375,0.624
FIRM006,1,2,3,2,12.0,5,1.0,3,6,6,2.5,0.662,0.269,0.665
FIRM007,2,3,5,4,7.0,1,0.333,6,4,4,4.5,0.532,0.413,0.763
FIRM012,5,5,4,2,6.43,3,0.333,4,2,4,4.0,0.691,0.36,0.764
FIRM016,4,4,4,1,12.0,2,0.333,5,6,1,4.75,0.502,0.416,0.865
FIRM017,4,1,2,4,11.58,6,0.667,7,7,7,2.75,0.643,0.372,0.721
FIRM018,2,2,4,3,12.0,5,0.667,7,6,6,2.5,0.368,0.269,0.695
FIRM019,4,1,2,3,12.0,4,0.667,1,3,4,3.5,0.677,0.395,0.75
FIRM020,3,2,2,1,2.39,3,0.333,2,4,5,4.5,0.526,0.269,0.543
FIRM023,2,1,2,3,12.0,2,0.667,5,3,1,4.0,0.654,0.269,0.712
FIRM025,2,3,2,5,12.0,5,1.0,4,2,1,3.0,0.318,0.269,0.713
FIRM026,3,2,5,5,7.91,1,0.333,2,1,3,3.75,0.437,0.269,0.757
FIRM029,2,3,5,3,12.0,3,0.667,6,3,4,4.0,0.74,0.36,0.828
FIRM030,3,1,4,4,12.0,1,0.667,4,3,3,3.5,0.586,0.269,0.785
FIRM031,3,3,3,1,11.34,2,1.0,6,4,7,2.0,0.38,0.438,0.646
FIRM032,3,2,1,5,12.0,6,0.667,5,6,5,1.25,0.443,0.269,0.61
FIRM037,1,5,4,3,10.94,4,0.667,6,7,6,4.0,0.82,0.404,0.805
FIRM038,1,4,1,1,8.58,2,0.667,2,2,2,1.5,0.462,0.269,0.47
FIRM039,2,4,2,3,12.0,3,1.0,7,5,4,2.25,0.475,0.398,0.691
FIRM042,5,2,1,3,12.0,3,1.0,5,6,7,3.25,0.496,0.419,0.738
FIRM043,2,5,4,3,8.9,5,0.667,4,1,3,2.0,0.362,0.269,0.68
FIRM046,4,1,5,2,12.0,5,1.0,3,1,3,2.5,0.454,0.269,0.708
FIRM047,5,1,3,1,12.0,2,0.667,5,7,5,4.75,0.323,0.378,0.812
FIRM052,1,4,4,5,12.0,4,1.0,3,4,3,3.5,0.463,0.269,0.803
FIRM058,3,5,5,2,12.0,2,0.333,4,4,7,2.5,0.362,0.269,0.754
FIRM061,3,4,3,1,12.0,5,0.333,3,2,3,3.0,0.7,0.45,0.742
FIRM062,2,3,1,3,12.0,2,0.667,4,1,1,2.25,0.37,0.269,0.664
FIRM064,2,1,3,5,12.0,6,1.0,2,5,2,3.75,0.801,0.269,0.78
FIRM067,2,4,1,3,12.0,2,0.333,4,3,1,3.0,0.754,0.269,0.713
FIRM069,5,5,5,5,12.0,2,0.333,2,1,3,3.25,0.687,0.416,0.912
FIRM070,4,4,3,4,9.35,4,1.0,4,3,5,3.0,0.607,0.269,0.703
FIRM074,5,3,5,4,12.0,1,0.333,1,2,1,3.5,0.528,0.269,0.872
FIRM075,3,1,5,2,12.0,2,1.0,2,4,2,2.5,0.682,0.269,0.699
FIRM076,1,1,1,3,8.83,3,0.667,4,5,4,2.25,0.497,0.426,0.514
FIRM077,4,4,3,2,12.0,1,1.0,6,6,2,2.25,0.214,0.395,0.74
FIRM078,5,1,2,2,12.0,5,0.667,3,5,3,3.5,0.451,0.269,0.75
FIRM079,1,1,5,4,12.0,3,0.333,2,1,3,3.5,0.744,0.357,0.748
